group,year,bev_share,ice_share,phev_share
world,2015.0,0.3904,99.5309,0.1526
world,2015.1,0.4169,99.4990,0.1608
world,2015.2,0.4447,99.4654,0.1694
world,2015.3,0.4740,99.4298,0.1783
world,2015.4,0.5047,99.3924,0.1876
world,2015.5,0.5370,99.3529,0.1972
world,2015.6,0.5708,99.3114,0.2072
world,2015.7,0.6063,99.2677,0.2175
world,2015.8,0.6433,99.2217,0.2282
world,2015.9,0.6821,99.1735,0.2393
world,2016.0,0.7226,99.1228,0.2508
world,2016.1,0.7650,99.0697,0.2626
world,2016.2,0.8091,99.0140,0.2748
world,2016.3,0.8552,98.9557,0.2874
world,2016.4,0.9032,98.8947,0.3004
world,2016.5,0.9531,98.8309,0.3138
world,2016.6,1.0051,98.7641,0.3275
world,2016.7,1.0592,98.6944,0.3416
world,2016.8,1.1154,98.6216,0.3562
world,2016.9,1.1738,98.5457,0.3711
world,2017.0,1.2345,98.4664,0.3864
world,2017.1,1.2975,98.3829,0.4028
world,2017.2,1.3630,98.2959,0.4196
world,2017.3,1.4308,98.2052,0.4369
world,2017.4,1.5011,98.1107,0.4548
world,2017.5,1.5739,98.0123,0.4732
world,2017.6,1.6492,97.9098,0.4920
world,2017.7,1.7272,97.8032,0.5114
world,2017.8,1.8079,97.6924,0.5312
world,2017.9,1.8912,97.5772,0.5515
world,2018.0,1.9774,97.4576,0.5723
world,2018.1,2.0672,97.3333,0.6015
world,2018.2,2.1593,97.2043,0.6385
world,2018.3,2.2543,97.0705,0.6773
world,2018.4,2.3523,96.9319,0.7180
world,2018.5,2.4533,96.7882,0.7606
world,2018.6,2.5574,96.6394,0.8052
world,2018.7,2.6647,96.4853,0.8519
world,2018.8,2.7752,96.3258,0.9008
world,2018.9,2.8890,96.1609,0.9518
world,2019.0,3.0061,95.9903,1.0051
world,2019.1,3.1266,95.8140,1.0608
world,2019.2,3.2505,95.6318,1.1188
world,2019.3,3.3780,95.4436,1.1794
world,2019.4,3.5090,95.2493,1.2426
world,2019.5,3.6436,95.0488,1.3084
world,2019.6,3.7819,94.8420,1.3769
world,2019.7,3.9239,94.6287,1.4482
world,2019.8,4.0697,94.4087,1.5222
world,2019.9,4.2193,94.1821,1.5991
world,2020.0,4.3728,93.9487,1.6791
world,2020.1,4.5302,93.7082,1.7620
world,2020.2,4.6916,93.4608,1.8480
world,2020.3,4.8571,93.2061,1.9372
world,2020.4,5.0267,92.9442,2.0295
world,2020.5,5.2004,92.6749,2.1251
world,2020.6,5.3784,92.3981,2.2240
world,2020.7,5.5606,92.1136,2.3262
world,2020.8,5.7471,91.8215,2.4318
world,2020.9,5.9379,91.5215,2.5409
world,2021.0,6.1332,91.2137,2.6535
world,2021.1,6.3330,90.8979,2.7696
world,2021.2,6.5373,90.5740,2.8892
world,2021.3,6.7461,90.2419,3.0125
world,2021.4,6.9596,89.9016,3.1393
world,2021.5,7.1777,89.5530,3.2698
world,2021.6,7.4005,89.1961,3.4040
world,2021.7,7.6281,88.8307,3.5418
world,2021.8,7.8606,88.4569,3.6832
world,2021.9,8.0978,88.0745,3.8284
world,2022.0,8.3400,87.6836,3.9772
world,2022.1,8.5871,87.2841,4.1296
world,2022.2,8.8392,86.8759,4.2857
world,2022.3,9.0963,86.4592,4.4453
world,2022.4,9.3585,86.0338,4.6085
world,2022.5,9.6259,85.5997,4.7753
world,2022.6,9.8983,85.1570,4.9455
world,2022.7,10.1760,84.7058,5.1191
world,2022.8,10.4589,84.2459,5.2960
world,2022.9,10.7471,83.7775,5.4762
world,2023.0,11.0406,83.3006,5.6596
world,2023.1,11.3394,82.8153,5.8461
world,2023.2,11.6436,82.3216,6.0355
world,2023.3,11.9532,81.8196,6.2278
world,2023.4,12.2682,81.3094,6.4228
world,2023.5,12.5888,80.7912,6.6204
world,2023.6,12.9148,80.2649,6.8206
world,2023.7,13.2463,79.7308,7.0232
world,2023.8,13.5834,79.1889,7.2279
world,2023.9,13.9261,78.6395,7.4346
world,2024.0,14.2743,78.0827,7.6431
world,2024.1,14.6282,77.5186,7.8533
world,2024.2,14.9878,76.9474,8.0648
world,2024.3,15.3530,76.3694,8.2777
world,2024.4,15.7238,75.7846,8.4916
world,2024.5,16.1004,75.1934,8.7062
world,2024.6,16.4826,74.5959,8.9214
world,2024.7,16.8706,73.9925,9.1369
world,2024.8,17.2643,73.3832,9.3525
world,2024.9,17.6637,72.7684,9.5678
world,2025.0,18.0688,72.1484,9.7827
world,2025.1,18.4797,71.5234,9.9969
world,2025.2,18.8963,70.8938,10.2100
