"country","variant","weight","data_per","model_date"
"Austria","Whole",309894,"2016-03","2016-03"
"Brazil","Whole",2296206.3872,"2016-03","2016-03"
"China","Whole",2335833.33333333,"2016-03","2016-03"
"Czechia","Whole",237190,"2016-03","2016-03"
"Denmark","Whole",209719,"2016-03","2016-03"
"Finland","Buses",508,"2016-03","2016-03"
"Finland","HDV",2905,"2016-03","2016-03"
"Finland","Industry",37787,"2016-03","2016-03"
"Finland","Private",74790,"2016-03","2016-03"
"Finland","Vans",11718,"2016-03","2016-03"
"Finland","Whole",112577,"2016-03","2016-03"
"France","Whole",1997639,"2016-03","2016-03"
"Germany","Whole",3239836,"2016-03","2016-03"
"Indonesia","Whole",730097,"2016-03","2016-03"
"Ireland","Buses",371,"2016-03","2016-03"
"Ireland","HDV",2260,"2016-03","2016-03"
"Ireland","Vans",27108,"2016-03","2016-03"
"Ireland","Whole",143174,"2016-03","2016-03"
"Japan","Whole",1000914,"2016-03","2016-03"
"Luxembourg","HDV",1407,"2016-03","2016-03"
"Luxembourg","Vans",4018,"2016-03","2016-03"
"Luxembourg","Whole",47582,"2016-03","2016-03"
"Netherlands","Whole",440340,"2016-03","2016-03"
"New Zealand","Whole",296035,"2016-03","2016-03"
"Norway","Whole",153842,"2016-03","2016-03"
"Poland","Whole",136454,"2016-03","2016-03"
"Portugal","Whole",190703,"2016-03","2016-03"
"Sweden","Whole",368714,"2016-03","2016-03"
"Switzerland","Whole",326375,"2016-03","2016-03"
"USA","Whole",17499259,"2016-03","2016-03"
