"country","variant","weight","data_per","model_date"
"Austria","Whole",323034,"2016-09","2016-09"
"Brazil","Whole",2056564.9735,"2016-09","2016-09"
"China","Whole",2335833.33333333,"2016-09","2016-09"
"Czechia","Whole",252125,"2016-09","2016-09"
"Denmark","Whole",220477,"2016-09","2016-09"
"Finland","Buses",550,"2016-09","2016-09"
"Finland","HDV",3171,"2016-09","2016-09"
"Finland","Industry",39002,"2016-09","2016-09"
"Finland","Private",79762,"2016-09","2016-09"
"Finland","Vans",12893,"2016-09","2016-09"
"Finland","Whole",118764,"2016-09","2016-09"
"France","Whole",2042297,"2016-09","2016-09"
"Germany","Whole",3353887,"2016-09","2016-09"
"Indonesia","Whole",781293,"2016-09","2016-09"
"Ireland","Buses",410,"2016-09","2016-09"
"Ireland","HDV",2535,"2016-09","2016-09"
"Ireland","Vans",28204,"2016-09","2016-09"
"Ireland","Whole",147046,"2016-09","2016-09"
"Japan","Whole",952978,"2016-09","2016-09"
"Luxembourg","HDV",1412,"2016-09","2016-09"
"Luxembourg","Vans",4307,"2016-09","2016-09"
"Luxembourg","Whole",49829,"2016-09","2016-09"
"Netherlands","Whole",435546,"2016-09","2016-09"
"New Zealand","Whole",296177,"2016-09","2016-09"
"Norway","Whole",156610,"2016-09","2016-09"
"Poland","Whole",130793,"2016-09","2016-09"
"Portugal","Whole",199163,"2016-09","2016-09"
"Sweden","Whole",383917,"2016-09","2016-09"
"Switzerland","Whole",318470,"2016-09","2016-09"
"USA","Whole",17524550,"2016-09","2016-09"
