"country","variant","weight","data_per","model_date"
"Austria","Whole",353316,"2017-12","2017-12"
"Brazil","Whole",2176217.2632,"2017-12","2017-12"
"Chile","Whole",363231,"2017-12","2017-12"
"China","Whole",23778739,"2017-12","2017-12"
"Czechia","Whole",265789,"2017-12","2017-12"
"Denmark","Whole",221473,"2017-12","2017-12"
"Finland","Buses",514,"2017-12","2017-12"
"Finland","HDV",3473,"2017-12","2017-12"
"Finland","Industry",41324,"2017-12","2017-12"
"Finland","Private",77263,"2017-12","2017-12"
"Finland","Vans",15525,"2017-12","2017-12"
"Finland","Whole",118587,"2017-12","2017-12"
"France","Whole",2157670,"2017-12","2017-12"
"Germany","Whole",3441262,"2017-12","2017-12"
"Indonesia","Whole",841232,"2017-12","2017-12"
"Ireland","Buses",339,"2017-12","2017-12"
"Ireland","HDV",2264,"2017-12","2017-12"
"Ireland","Vans",24217,"2017-12","2017-12"
"Ireland","Whole",131333,"2017-12","2017-12"
"Italy","NonRental",1517021,"2017-12","2017-12"
"Italy","Rental",472752,"2017-12","2017-12"
"Italy","Whole",1989773,"2017-12","2017-12"
"Japan","Whole",927897,"2017-12","2017-12"
"Latvia","Whole",16611,"2017-12","2017-12"
"Luxembourg","HDV",1377,"2017-12","2017-12"
"Luxembourg","Vans",4754,"2017-12","2017-12"
"Luxembourg","Whole",52775,"2017-12","2017-12"
"Netherlands","Whole",418461,"2017-12","2017-12"
"New Zealand","Whole",329846,"2017-12","2017-12"
"Norway","Whole",161381,"2017-12","2017-12"
"Poland","Whole",164963,"2017-12","2017-12"
"Portugal","Whole",222129,"2017-12","2017-12"
"Singapore","Whole",10156.8333333333,"2017-12","2017-12"
"Spain","2-Wheelers",159668,"2017-12","2017-12"
"Spain","Buses",3832,"2017-12","2017-12"
"Spain","HDV",24509,"2017-12","2017-12"
"Spain","Whole",1293092,"2017-12","2017-12"
"Spain","NonRental",924886,"2017-12","2017-12"
"Spain","Rental",368206,"2017-12","2017-12"
"Spain","Used",76129,"2017-12","2017-12"
"Spain","Vans",95379,"2017-12","2017-12"
"Sweden","Whole",392728,"2017-12","2017-12"
"Switzerland","Whole",315032,"2017-12","2017-12"
"Türkiye","Whole",55092.9975311165,"2017-12","2017-12"
"UK","Whole",2547806,"2017-12","2017-12"
"USA","Whole",17241387,"2017-12","2017-12"
