"country","variant","weight","data_per","model_date"
"Austria","Whole",325874,"2019-11","2019-11"
"Brazil","Whole",2639664.3764,"2019-11","2019-11"
"Chile","Whole",376769,"2019-11","2019-11"
"China","Whole",20817415,"2019-11","2019-11"
"Czechia","Whole",245874,"2019-11","2019-11"
"Denmark","Whole",224050,"2019-11","2019-11"
"Finland","Buses",539,"2019-11","2019-11"
"Finland","HDV",4111,"2019-11","2019-11"
"Finland","Industry",42068,"2019-11","2019-11"
"Finland","Private",70084,"2019-11","2019-11"
"Finland","Vans",14689,"2019-11","2019-11"
"Finland","Whole",112152,"2019-11","2019-11"
"France","Whole",2211336,"2019-11","2019-11"
"Germany","Whole",3560936,"2019-11","2019-11"
"Greece","Whole",32366,"2019-11","2019-11"
"Indonesia","Whole",785678,"2019-11","2019-11"
"Ireland","Buses",472,"2019-11","2019-11"
"Ireland","HDV",2190,"2019-11","2019-11"
"Ireland","Vans",25384,"2019-11","2019-11"
"Ireland","Whole",117027,"2019-11","2019-11"
"Israel","Vans",7625,"2019-11","2019-11"
"Israel","Whole",232730,"2019-11","2019-11"
"Italy","NonRental",1512212,"2019-11","2019-11"
"Italy","Rental",398982,"2019-11","2019-11"
"Italy","Whole",1911194,"2019-11","2019-11"
"Japan","Whole",872669,"2019-11","2019-11"
"Latvia","Whole",18013,"2019-11","2019-11"
"Lithuania","Whole",15212,"2019-11","2019-11"
"Luxembourg","HDV",1472,"2019-11","2019-11"
"Luxembourg","Vans",5121,"2019-11","2019-11"
"Luxembourg","Whole",54496,"2019-11","2019-11"
"Netherlands","Whole",421429,"2019-11","2019-11"
"New Zealand","Whole",297045,"2019-11","2019-11"
"Norway","Whole",146795,"2019-11","2019-11"
"Poland","Whole",175702,"2019-11","2019-11"
"Portugal","Whole",223254,"2019-11","2019-11"
"Romania","Whole",53855.66667,"2019-11","2019-11"
"Singapore","Whole",83185.5833333333,"2019-01","2019-11"
"Slovenia","Whole",71967,"2019-11","2019-11"
"South Korea","Whole",1713104,"2019-11","2019-11"
"Spain","2-Wheelers",193691,"2019-11","2019-11"
"Spain","Buses",3589,"2019-11","2019-11"
"Spain","HDV",24273,"2019-11","2019-11"
"Spain","Whole",1317047,"2019-11","2019-11"
"Spain","NonRental",901482,"2019-11","2019-11"
"Spain","Rental",415565,"2019-11","2019-11"
"Spain","Used",83422,"2019-11","2019-11"
"Spain","Vans",111372,"2019-11","2019-11"
"Sweden","Whole",342010,"2019-11","2019-11"
"Switzerland","Whole",305305,"2019-11","2019-11"
"Türkiye","Whole",402474,"2019-11","2019-11"
"UK","Whole",2306232,"2019-11","2019-11"
"USA","Whole",17058447,"2019-11","2019-11"
