"country","variant","weight","data_per","model_date"
"Albania","2-Wheelers",7229,"2024-09","2024-09"
"Albania","Buses",461,"2024-09","2024-09"
"Albania","HDV",915,"2024-09","2024-09"
"Albania","Whole",82286,"2024-09","2024-09"
"Argentina","Industry",39103,"2024-09","2024-09"
"Argentina","Private",214762,"2024-09","2024-09"
"Argentina","Whole",253865,"2024-09","2024-09"
"Australia","Whole",1194223,"2024-09","2024-09"
"Austria","Used",803782,"2024-09","2024-09"
"Austria","Whole",247287,"2024-09","2024-09"
"Belgium","Whole",458395,"2024-09","2024-09"
"Brazil","Whole",2397555,"2024-09","2024-09"
"Bulgaria","Whole",42742,"2024-09","2024-09"
"Canada","Pickups",368944,"2024-08","2024-09"
"Canada","Vans",64550,"2024-08","2024-09"
"Canada","Whole",1404535,"2024-08","2024-09"
"Chile","Whole",299459,"2024-09","2024-09"
"China","Whole",22026000,"2024-09","2024-09"
"Colombia","Whole",187447,"2024-09","2024-09"
"Croatia","Whole",63341,"2024-09","2024-09"
"Cyprus","Whole",15456,"2024-09","2024-09"
"Czechia","Whole",225856,"2024-09","2024-09"
"Denmark","HDV",2235,"2024-09","2024-09"
"Denmark","Industry",70029,"2024-09","2024-09"
"Denmark","Private",105498,"2024-09","2024-09"
"Denmark","Vans",28541,"2024-09","2024-09"
"Denmark","Whole",175527,"2024-09","2024-09"
"Estonia","Whole",21193,"2024-09","2024-09"
"Finland","Buses",509,"2024-09","2024-09"
"Finland","HDV",3467,"2024-09","2024-09"
"Finland","Industry",35991,"2024-09","2024-09"
"Finland","Private",38448,"2024-09","2024-09"
"Finland","Vans",10052,"2024-09","2024-09"
"Finland","Whole",74439,"2024-09","2024-09"
"France","Whole",1792120,"2024-09","2024-09"
"Georgia","Whole",146863,"2024-08","2024-09"
"Germany","Whole",2822617,"2024-09","2024-09"
"Greece","Whole",138009,"2024-09","2024-09"
"Hong Kong","Used",5776,"2024-09","2024-09"
"Hong Kong","Vans",1544,"2024-09","2024-09"
"Hong Kong","Whole",42034,"2024-09","2024-09"
"Hungary","Whole",113758,"2024-09","2024-09"
"Iceland","Whole",11505,"2024-09","2024-09"
"India","Whole",4112004,"2024-09","2024-09"
"Indonesia","Whole",694440,"2024-09","2024-09"
"Ireland","Buses",592,"2024-09","2024-09"
"Ireland","HDV",2904,"2024-09","2024-09"
"Ireland","Vans",31144,"2024-09","2024-09"
"Ireland","Whole",120844,"2024-09","2024-09"
"Israel","Vans",8330,"2024-09","2024-09"
"Israel","Whole",248692,"2024-09","2024-09"
"Italy","NonRental",1188350,"2024-09","2024-09"
"Italy","Rental",424531,"2024-09","2024-09"
"Italy","Whole",1612881,"2024-09","2024-09"
"Japan","Whole",2524468,"2024-09","2024-09"
"Latvia","Whole",16765,"2024-09","2024-09"
"Lithuania","Whole",28223,"2024-09","2024-09"
"Luxembourg","HDV",1270,"2024-09","2024-09"
"Luxembourg","Vans",4066,"2024-09","2024-09"
"Luxembourg","Whole",47039,"2024-09","2024-09"
"Malaysia","Whole",861872,"2024-09","2024-09"
"Malta","Whole",7721,"2024-09","2024-09"
"Nepal","3-Wheelers",15902,"2024-09","2024-09"
"Nepal","Whole",16750,"2024-09","2024-09"
"Netherlands","HDV",14180,"2024-09","2024-09"
"Netherlands","Used",264454,"2024-09","2024-09"
"Netherlands","Whole",354748,"2024-09","2024-09"
"New Zealand","Whole",236173,"2024-09","2024-09"
"Norway","Whole",124641,"2024-09","2024-09"
"Poland","Whole",523341,"2024-09","2024-09"
"Portugal","Whole",204108,"2024-09","2024-09"
"Romania","Whole",149409,"2024-09","2024-09"
"Singapore","Whole",40234,"2024-09","2024-09"
"Slovakia","Whole",89115,"2024-09","2024-09"
"Slovenia","Whole",51551,"2024-09","2024-09"
"South Korea","Whole",1634586,"2024-09","2024-09"
"Spain","2-Wheelers",223423,"2024-09","2024-09"
"Spain","Buses",4232,"2024-09","2024-09"
"Spain","HDV",28526,"2024-09","2024-09"
"Spain","Whole",1005764,"2024-09","2024-09"
"Spain","NonRental",630130,"2024-09","2024-09"
"Spain","Rental",375634,"2024-09","2024-09"
"Spain","Used",111637,"2024-09","2024-09"
"Spain","Vans",118032,"2024-09","2024-09"
"Sweden","Whole",280746,"2024-09","2024-09"
"Switzerland","Whole",250066,"2024-09","2024-09"
"Thailand","3-Wheelers",662,"2024-09","2024-09"
"Thailand","Buses",6597,"2024-09","2024-09"
"Thailand","HDV",62457,"2024-09","2024-09"
"Thailand","Whole",695514,"2024-09","2024-09"
"Türkiye","Whole",998207,"2024-09","2024-09"
"UK","Whole",1965240,"2024-09","2024-09"
"Ukraine","Industry",22774,"2024-09","2024-09"
"Ukraine","Private",47003,"2024-09","2024-09"
"Ukraine","Used",249265,"2024-09","2024-09"
"Ukraine","Vans",6333,"2024-09","2024-09"
"Ukraine","Whole",69777,"2024-09","2024-09"
"USA","Whole",15590811,"2024-09","2024-09"
