"country","variant","weight","data_per","model_date"
"Austria","Whole",323582,"2019-09","2019-09"
"Brazil","Whole",2633030.036,"2019-09","2019-09"
"Chile","Whole",395109,"2019-09","2019-09"
"China","Whole",20878846,"2019-09","2019-09"
"Czechia","Whole",244763,"2019-09","2019-09"
"Denmark","Whole",222164,"2019-09","2019-09"
"Finland","Buses",492,"2019-09","2019-09"
"Finland","HDV",4144,"2019-09","2019-09"
"Finland","Industry",41061,"2019-09","2019-09"
"Finland","Private",69644,"2019-09","2019-09"
"Finland","Vans",15147,"2019-09","2019-09"
"Finland","Whole",110705,"2019-09","2019-09"
"France","Whole",2194314,"2019-09","2019-09"
"Germany","Whole",3502518,"2019-09","2019-09"
"Greece","Whole",40302,"2019-09","2019-09"
"Indonesia","Whole",799744,"2019-09","2019-09"
"Ireland","Buses",454,"2019-09","2019-09"
"Ireland","HDV",2162,"2019-09","2019-09"
"Ireland","Vans",25021,"2019-09","2019-09"
"Ireland","Whole",116421,"2019-09","2019-09"
"Israel","Vans",7802,"2019-09","2019-09"
"Israel","Whole",238053,"2019-09","2019-09"
"Italy","NonRental",1497629,"2019-09","2019-09"
"Italy","Rental",398291,"2019-09","2019-09"
"Italy","Whole",1895920,"2019-09","2019-09"
"Japan","Whole",1008389,"2019-09","2019-09"
"Latvia","Whole",17802,"2019-09","2019-09"
"Lithuania","Whole",15572,"2019-09","2019-09"
"Luxembourg","HDV",1469,"2019-09","2019-09"
"Luxembourg","Vans",5187,"2019-09","2019-09"
"Luxembourg","Whole",53480,"2019-09","2019-09"
"Netherlands","Whole",413587,"2019-09","2019-09"
"New Zealand","Whole",299258,"2019-09","2019-09"
"Norway","Whole",150357,"2019-09","2019-09"
"Poland","Whole",177547,"2019-09","2019-09"
"Portugal","Whole",220656,"2019-09","2019-09"
"Romania","Whole",53855.33334,"2019-09","2019-09"
"Singapore","Whole",83185.5833333333,"2019-01","2019-09"
"Slovenia","Whole",71778,"2019-09","2019-09"
"South Korea","Whole",1718686,"2019-09","2019-09"
"Spain","2-Wheelers",188852,"2019-09","2019-09"
"Spain","Buses",3636,"2019-09","2019-09"
"Spain","HDV",23621,"2019-09","2019-09"
"Spain","Whole",1306719,"2019-09","2019-09"
"Spain","NonRental",901743,"2019-09","2019-09"
"Spain","Rental",404976,"2019-09","2019-09"
"Spain","Used",81944,"2019-09","2019-09"
"Spain","Vans",114687,"2019-09","2019-09"
"Sweden","Whole",330876,"2019-09","2019-09"
"Switzerland","Whole",301762,"2019-09","2019-09"
"Türkiye","Whole",430095,"2019-09","2019-09"
"UK","Whole",2318598,"2019-09","2019-09"
"USA","Whole",17064133,"2019-09","2019-09"
