"country","variant","weight","data_per","model_date"
"Austria","Whole",324068,"2019-07","2019-07"
"Brazil","Whole",2622115.9616,"2019-07","2019-07"
"Chile","Whole",402117,"2019-07","2019-07"
"China","Whole",21081718,"2019-07","2019-07"
"Czechia","Whole",246329,"2019-07","2019-07"
"Denmark","Whole",220156,"2019-07","2019-07"
"Finland","Buses",474,"2019-07","2019-07"
"Finland","HDV",4195,"2019-07","2019-07"
"Finland","Industry",40787,"2019-07","2019-07"
"Finland","Private",70024,"2019-07","2019-07"
"Finland","Vans",14871,"2019-07","2019-07"
"Finland","Whole",110811,"2019-07","2019-07"
"France","Whole",2192484,"2019-07","2019-07"
"Germany","Whole",3460687,"2019-07","2019-07"
"Greece","Whole",48338,"2019-07","2019-07"
"Indonesia","Whole",807105,"2019-07","2019-07"
"Ireland","Buses",475,"2019-07","2019-07"
"Ireland","HDV",2226,"2019-07","2019-07"
"Ireland","Vans",24455,"2019-07","2019-07"
"Ireland","Whole",117028,"2019-07","2019-07"
"Israel","Vans",7733,"2019-07","2019-07"
"Israel","Whole",236743,"2019-07","2019-07"
"Italy","NonRental",1472687,"2019-07","2019-07"
"Italy","Rental",408663,"2019-07","2019-07"
"Italy","Whole",1881350,"2019-07","2019-07"
"Japan","Whole",918429,"2019-07","2019-07"
"Latvia","Whole",17555,"2019-07","2019-07"
"Lithuania","Whole",16964,"2019-07","2019-07"
"Luxembourg","HDV",1468,"2019-07","2019-07"
"Luxembourg","Vans",5191,"2019-07","2019-07"
"Luxembourg","Whole",53144,"2019-07","2019-07"
"Netherlands","Whole",412364,"2019-07","2019-07"
"New Zealand","Whole",300385,"2019-07","2019-07"
"Norway","Whole",152266,"2019-07","2019-07"
"Poland","Whole",187588,"2019-07","2019-07"
"Portugal","Whole",221810,"2019-07","2019-07"
"Romania","Whole",53855.00001,"2019-07","2019-07"
"Singapore","Whole",83185.5833333333,"2019-01","2019-07"
"South Korea","Whole",1732082,"2019-07","2019-07"
"Spain","2-Wheelers",188468,"2019-07","2019-07"
"Spain","Buses",3742,"2019-07","2019-07"
"Spain","HDV",24221,"2019-07","2019-07"
"Spain","Whole",1327294,"2019-07","2019-07"
"Spain","NonRental",926694,"2019-07","2019-07"
"Spain","Rental",400600,"2019-07","2019-07"
"Spain","Used",81594,"2019-07","2019-07"
"Spain","Vans",112871,"2019-07","2019-07"
"Sweden","Whole",318306,"2019-07","2019-07"
"Switzerland","Whole",299866,"2019-07","2019-07"
"Türkiye","Whole",496894,"2019-07","2019-07"
"UK","Whole",2315698,"2019-07","2019-07"
"USA","Whole",17072612,"2019-07","2019-07"
