"country","variant","weight","data_per","model_date"
"Albania","2-Wheelers",8192,"2026-03","2026-03"
"Albania","Buses",389,"2026-03","2026-03"
"Albania","HDV",971,"2026-03","2026-03"
"Albania","Whole",81687,"2026-03","2026-03"
"Argentina","Industry",47250,"2026-03","2026-03"
"Argentina","Private",361686,"2026-03","2026-03"
"Argentina","Whole",408936,"2026-03","2026-03"
"Australia","Whole",1191610,"2026-03","2026-03"
"Austria","Used",818165,"2026-03","2026-03"
"Austria","Whole",296196,"2026-03","2026-03"
"Belgium","Whole",407637,"2026-03","2026-03"
"Brazil","Whole",2632454,"2026-03","2026-03"
"Bulgaria","Whole",49344,"2026-03","2026-03"
"Canada","Pickups",359057,"2026-02","2026-03"
"Canada","Vans",83380,"2026-02","2026-03"
"Canada","Whole",1396089,"2026-02","2026-03"
"Chile","Whole",314697,"2026-03","2026-03"
"China","Whole",22787000,"2026-03","2026-03"
"Colombia","Whole",278018,"2026-03","2026-03"
"Croatia","Whole",71591,"2026-03","2026-03"
"Cyprus","Whole",13854,"2026-03","2026-03"
"Czechia","Whole",249583,"2026-03","2026-03"
"Denmark","HDV",2244,"2026-03","2026-03"
"Denmark","Industry",74388,"2026-03","2026-03"
"Denmark","Private",117412,"2026-03","2026-03"
"Denmark","Vans",25973,"2026-03","2026-03"
"Denmark","Whole",191800,"2026-03","2026-03"
"Estonia","Whole",15184,"2026-03","2026-03"
"Finland","Buses",417,"2026-03","2026-03"
"Finland","HDV",2957,"2026-03","2026-03"
"Finland","Industry",34520,"2026-03","2026-03"
"Finland","Private",37869,"2026-03","2026-03"
"Finland","Vans",10010,"2026-03","2026-03"
"Finland","Whole",72389,"2026-03","2026-03"
"France","Whole",1655672,"2026-03","2026-03"
"Georgia","Whole",166006,"2026-02","2026-03"
"Germany","Whole",2892424,"2026-03","2026-03"
"Greece","Whole",145815,"2026-03","2026-03"
"Hungary","Whole",132980,"2026-03","2026-03"
"Iceland","Whole",15763,"2026-03","2026-03"
"India","Whole",4842363,"2026-03","2026-03"
"Indonesia","Whole",597049,"2026-03","2026-03"
"Ireland","Buses",555,"2026-03","2026-03"
"Ireland","HDV",2655,"2026-03","2026-03"
"Ireland","Vans",35082,"2026-03","2026-03"
"Ireland","Whole",125067,"2026-03","2026-03"
"Israel","Vans",9891,"2026-03","2026-03"
"Israel","Whole",291262,"2026-03","2026-03"
"Italy","NonRental",1105964,"2026-03","2026-03"
"Italy","Rental",473864,"2026-03","2026-03"
"Italy","Whole",1579828,"2026-03","2026-03"
"Japan","Whole",2471215,"2026-03","2026-03"
"Latvia","Whole",22776,"2026-03","2026-03"
"Lithuania","Whole",42608,"2026-03","2026-03"
"Luxembourg","HDV",1256,"2026-03","2026-03"
"Luxembourg","Vans",4926,"2026-03","2026-03"
"Luxembourg","Whole",47039,"2026-03","2026-03"
"Malaysia","Whole",864334,"2026-03","2026-03"
"Malta","Whole",6547,"2025-06","2026-03"
"Nepal","3-Wheelers",22800,"2026-03","2026-03"
"Nepal","Whole",19309.29,"2026-03","2026-03"
"Netherlands","HDV",10996,"2026-03","2026-03"
"Netherlands","Used",322672,"2026-03","2026-03"
"Netherlands","Whole",371179,"2026-03","2026-03"
"New Zealand","Whole",225712,"2026-03","2026-03"
"Norway","Whole",175210,"2026-03","2026-03"
"Poland","Whole",606969,"2026-03","2026-03"
"Portugal","Whole",230555,"2026-03","2026-03"
"Romania","Whole",150386,"2026-03","2026-03"
"Singapore","Whole",55086,"2026-03","2026-03"
"Slovakia","Whole",92768,"2026-03","2026-03"
"Slovenia","Whole",59385,"2026-03","2026-03"
"South Korea","Whole",1700716,"2026-03","2026-03"
"Spain","2-Wheelers",265484,"2026-03","2026-03"
"Spain","Buses",4343,"2026-03","2026-03"
"Spain","HDV",31423,"2026-03","2026-03"
"Spain","Whole",1195632,"2026-03","2026-03"
"Spain","NonRental",759569,"2026-03","2026-03"
"Spain","Rental",436063,"2026-03","2026-03"
"Spain","Used",153913,"2026-03","2026-03"
"Spain","Vans",130590,"2026-03","2026-03"
"Sweden","Whole",282051,"2026-03","2026-03"
"Switzerland","Whole",239263,"2026-03","2026-03"
"Thailand","3-Wheelers",93,"2026-03","2026-03"
"Thailand","Buses",2831,"2026-03","2026-03"
"Thailand","HDV",28667,"2026-03","2026-03"
"Thailand","Whole",643148,"2026-03","2026-03"
"Türkiye","Whole",1077049,"2026-03","2026-03"
"UK","Whole",2054875,"2026-03","2026-03"
"Uruguay","Whole",50699,"2026-03","2026-03"
"USA","Whole",15970687,"2026-03","2026-03"
