"country","variant","weight","data_per","model_date"
"Austria","Whole",327414,"2016-11","2016-11"
"Brazil","Whole",2010295.3171,"2016-11","2016-11"
"China","Whole",28083606.3333333,"2016-11","2016-11"
"Czechia","Whole",256165,"2016-11","2016-11"
"Denmark","Whole",221564,"2016-11","2016-11"
"Finland","Buses",558,"2016-11","2016-11"
"Finland","HDV",3312,"2016-11","2016-11"
"Finland","Industry",39487,"2016-11","2016-11"
"Finland","Private",79287,"2016-11","2016-11"
"Finland","Vans",13196,"2016-11","2016-11"
"Finland","Whole",118774,"2016-11","2016-11"
"France","Whole",2049194,"2016-11","2016-11"
"Germany","Whole",3342429,"2016-11","2016-11"
"Indonesia","Whole",804578,"2016-11","2016-11"
"Ireland","Buses",394,"2016-11","2016-11"
"Ireland","HDV",2497,"2016-11","2016-11"
"Ireland","Vans",28195,"2016-11","2016-11"
"Ireland","Whole",146558,"2016-11","2016-11"
"Japan","Whole",906169,"2016-11","2016-11"
"Luxembourg","HDV",1420,"2016-11","2016-11"
"Luxembourg","Vans",4331,"2016-11","2016-11"
"Luxembourg","Whole",50132,"2016-11","2016-11"
"Netherlands","Whole",418474,"2016-11","2016-11"
"New Zealand","Whole",300007,"2016-11","2016-11"
"Norway","Whole",156027,"2016-11","2016-11"
"Poland","Whole",130412,"2016-11","2016-11"
"Portugal","Whole",203484,"2016-11","2016-11"
"Sweden","Whole",384456,"2016-11","2016-11"
"Switzerland","Whole",316456,"2016-11","2016-11"
"USA","Whole",17500543,"2016-11","2016-11"
