"country","variant","weight","data_per","model_date"
"Albania","2-Wheelers",4748,"2023-02","2023-02"
"Albania","Buses",382,"2023-02","2023-02"
"Albania","HDV",584,"2023-02","2023-02"
"Albania","Whole",49511,"2023-02","2023-02"
"Argentina","Industry",39243,"2023-02","2023-02"
"Argentina","Private",225521,"2023-02","2023-02"
"Argentina","Whole",264764,"2023-02","2023-02"
"Australia","Whole",1034721,"2023-02","2023-02"
"Austria","Used",734870,"2023-02","2023-02"
"Austria","Whole",220073,"2023-02","2023-02"
"Belgium","Whole",306490,"2023-02","2023-02"
"Brazil","Whole",1970955,"2023-02","2023-02"
"Bulgaria","Whole",29341,"2023-02","2023-02"
"Canada","Pickups",359520,"2023-02","2023-02"
"Canada","Vans",48034,"2023-02","2023-02"
"Canada","Whole",1121287,"2023-02","2023-02"
"Chile","Whole",411588,"2023-02","2023-02"
"China","Whole",19870000,"2023-02","2023-02"
"Colombia","Whole",255361,"2023-02","2023-02"
"Croatia","Whole",44238,"2023-02","2023-02"
"Cyprus","Whole",11702,"2023-02","2023-02"
"Czechia","Whole",195561,"2023-02","2023-02"
"Denmark","HDV",2038,"2023-02","2023-02"
"Denmark","Industry",73968,"2023-02","2023-02"
"Denmark","Private",77651,"2023-02","2023-02"
"Denmark","Vans",25910,"2023-02","2023-02"
"Denmark","Whole",151619,"2023-02","2023-02"
"Estonia","Whole",20704,"2023-02","2023-02"
"Finland","Buses",442,"2023-02","2023-02"
"Finland","HDV",3435,"2023-02","2023-02"
"Finland","Industry",36555,"2023-02","2023-02"
"Finland","Private",44248,"2023-02","2023-02"
"Finland","Vans",10888,"2023-02","2023-02"
"Finland","Whole",80803,"2023-02","2023-02"
"France","Whole",1597423,"2023-02","2023-02"
"Georgia","Whole",116925,"2023-02","2023-02"
"Germany","Whole",2652190,"2023-02","2023-02"
"Greece","Whole",113269,"2023-02","2023-02"
"Hungary","Whole",112610,"2023-02","2023-02"
"Iceland","Whole",16573,"2023-02","2023-02"
"India","Whole",3744097,"2023-02","2023-02"
"Indonesia","Whole",794644,"2023-02","2023-02"
"Ireland","Buses",264,"2023-02","2023-02"
"Ireland","HDV",2437,"2023-02","2023-02"
"Ireland","Vans",24283,"2023-02","2023-02"
"Ireland","Whole",108867,"2023-02","2023-02"
"Israel","Vans",9406,"2023-02","2023-02"
"Israel","Whole",269067,"2023-02","2023-02"
"Italy","NonRental",978518,"2023-02","2023-02"
"Italy","Rental",397618,"2023-02","2023-02"
"Italy","Whole",1376136,"2023-02","2023-02"
"Japan","Whole",2295607,"2023-02","2023-02"
"Latvia","Whole",17183,"2023-02","2023-02"
"Lithuania","Whole",25370,"2023-02","2023-02"
"Luxembourg","HDV",1379,"2023-02","2023-02"
"Luxembourg","Vans",4250,"2023-02","2023-02"
"Luxembourg","Whole",42988,"2023-02","2023-02"
"Malaysia","Whole",773950,"2023-02","2023-02"
"Nepal","3-Wheelers",8582,"2023-02","2023-02"
"Nepal","Whole",8075,"2023-02","2023-02"
"Netherlands","HDV",13243,"2023-02","2023-02"
"Netherlands","Used",232678,"2023-02","2023-02"
"Netherlands","Whole",311740,"2023-02","2023-02"
"New Zealand","Whole",262913,"2023-02","2023-02"
"Norway","Whole",169481,"2023-02","2023-02"
"Poland","Whole",430807,"2023-02","2023-02"
"Portugal","Whole",166150,"2023-02","2023-02"
"Romania","Whole",136090,"2023-02","2023-02"
"Singapore","Whole",30381.8333333333,"2023-02","2023-02"
"Slovakia","Whole",80399,"2023-02","2023-02"
"Slovenia","Whole",46429,"2023-02","2023-02"
"South Korea","Whole",1737562,"2023-02","2023-02"
"Spain","2-Wheelers",192315,"2023-02","2023-02"
"Spain","Buses",2624,"2023-02","2023-02"
"Spain","HDV",23636,"2023-02","2023-02"
"Spain","Whole",863058,"2023-02","2023-02"
"Spain","NonRental",563021,"2023-02","2023-02"
"Spain","Rental",300037,"2023-02","2023-02"
"Spain","Used",108582,"2023-02","2023-02"
"Spain","Vans",85894,"2023-02","2023-02"
"Sweden","Whole",291098,"2023-02","2023-02"
"Switzerland","Whole",230044,"2023-02","2023-02"
"Thailand","3-Wheelers",412,"2023-02","2023-02"
"Thailand","Buses",5748,"2023-02","2023-02"
"Thailand","HDV",75923,"2023-02","2023-02"
"Thailand","Whole",902543,"2023-02","2023-02"
"Türkiye","Whole",618335,"2023-02","2023-02"
"UK","Whole",1646444,"2023-02","2023-02"
"USA","Whole",13902817,"2023-02","2023-02"
