"country","variant","weight","data_per","model_date"
"Albania","2-Wheelers",5319,"2023-11","2023-11"
"Albania","Buses",416,"2023-11","2023-11"
"Albania","HDV",714,"2023-11","2023-11"
"Albania","Whole",63060,"2023-11","2023-11"
"Argentina","Industry",45324,"2023-11","2023-11"
"Argentina","Private",231949,"2023-11","2023-11"
"Argentina","Whole",277273,"2023-11","2023-11"
"Australia","Whole",1138592,"2023-11","2023-11"
"Austria","Used",757941,"2023-11","2023-11"
"Austria","Whole",238255,"2023-11","2023-11"
"Belgium","Whole",402011,"2023-11","2023-11"
"Brazil","Whole",2145650,"2023-11","2023-11"
"Bulgaria","Whole",36908,"2023-11","2023-11"
"Canada","Pickups",370823,"2023-11","2023-11"
"Canada","Vans",61940,"2023-11","2023-11"
"Canada","Whole",1282236,"2023-11","2023-11"
"Chile","Whole",320694,"2023-11","2023-11"
"China","Whole",21531000,"2023-11","2023-11"
"Colombia","Whole",188246,"2023-11","2023-11"
"Croatia","Whole",56769,"2023-11","2023-11"
"Cyprus","Whole",14773,"2023-11","2023-11"
"Czechia","Whole",220847,"2023-11","2023-11"
"Denmark","HDV",2153,"2023-11","2023-11"
"Denmark","Industry",72973,"2023-11","2023-11"
"Denmark","Private",96438,"2023-11","2023-11"
"Denmark","Vans",25180,"2023-11","2023-11"
"Denmark","Whole",169411,"2023-11","2023-11"
"Estonia","Whole",22152,"2023-11","2023-11"
"Finland","Buses",316,"2023-11","2023-11"
"Finland","HDV",3986,"2023-11","2023-11"
"Finland","Industry",41757,"2023-11","2023-11"
"Finland","Private",46138,"2023-11","2023-11"
"Finland","Vans",11224,"2023-11","2023-11"
"Finland","Whole",87895,"2023-11","2023-11"
"France","Whole",1792892,"2023-11","2023-11"
"Georgia","Whole",153615,"2023-11","2023-11"
"Germany","Whole",2917044,"2023-11","2023-11"
"Greece","Whole",130207,"2023-11","2023-11"
"Hong Kong","Used",5389,"2023-11","2023-11"
"Hong Kong","Vans",2573,"2023-11","2023-11"
"Hong Kong","Whole",38183,"2023-11","2023-11"
"Hungary","Whole",108320,"2023-11","2023-11"
"Iceland","Whole",17542,"2023-11","2023-11"
"India","Whole",3992031,"2023-11","2023-11"
"Indonesia","Whole",782914,"2023-11","2023-11"
"Ireland","Buses",347,"2023-11","2023-11"
"Ireland","HDV",2654,"2023-11","2023-11"
"Ireland","Vans",28989,"2023-11","2023-11"
"Ireland","Whole",122328,"2023-11","2023-11"
"Israel","Vans",8906,"2023-11","2023-11"
"Israel","Whole",264075,"2023-11","2023-11"
"Italy","NonRental",1117538,"2023-11","2023-11"
"Italy","Rental",466360,"2023-11","2023-11"
"Italy","Whole",1583898,"2023-11","2023-11"
"Japan","Whole",2631559,"2023-11","2023-11"
"Latvia","Whole",18519,"2023-11","2023-11"
"Lithuania","Whole",27312,"2023-11","2023-11"
"Luxembourg","HDV",1708,"2023-11","2023-11"
"Luxembourg","Vans",5395,"2023-11","2023-11"
"Luxembourg","Whole",48928,"2023-11","2023-11"
"Malaysia","Whole",827905,"2023-11","2023-11"
"Nepal","3-Wheelers",9502,"2023-11","2023-11"
"Nepal","Whole",9954,"2023-11","2023-11"
"Netherlands","HDV",14805,"2023-11","2023-11"
"Netherlands","Used",239634,"2023-11","2023-11"
"Netherlands","Whole",366706,"2023-11","2023-11"
"New Zealand","Whole",256620,"2023-11","2023-11"
"Norway","Whole",155950,"2023-11","2023-11"
"Poland","Whole",469785,"2023-11","2023-11"
"Portugal","Whole",197959,"2023-11","2023-11"
"Romania","Whole",145675,"2023-11","2023-11"
"Singapore","Whole",28160.8333333333,"2023-11","2023-11"
"Slovakia","Whole",91532,"2023-11","2023-11"
"Slovenia","Whole",48653,"2023-11","2023-11"
"South Korea","Whole",1781161,"2023-11","2023-11"
"Spain","2-Wheelers",213960,"2023-11","2023-11"
"Spain","Buses",3233,"2023-11","2023-11"
"Spain","HDV",25278,"2023-11","2023-11"
"Spain","Whole",953198,"2023-11","2023-11"
"Spain","NonRental",608513,"2023-11","2023-11"
"Spain","Rental",344685,"2023-11","2023-11"
"Spain","Used",103154,"2023-11","2023-11"
"Spain","Vans",111588,"2023-11","2023-11"
"Sweden","Whole",304292,"2023-11","2023-11"
"Switzerland","Whole",252531,"2023-11","2023-11"
"Thailand","3-Wheelers",730,"2023-11","2023-11"
"Thailand","Buses",8476,"2023-11","2023-11"
"Thailand","HDV",73126,"2023-11","2023-11"
"Thailand","Whole",853506,"2023-11","2023-11"
"Türkiye","Whole",912093,"2023-11","2023-11"
"UK","Whole",1890424,"2023-11","2023-11"
"Ukraine","Industry",19030,"2023-11","2023-11"
"Ukraine","Private",41004,"2023-11","2023-11"
"Ukraine","Used",214240,"2023-11","2023-11"
"Ukraine","Vans",4698,"2023-11","2023-11"
"Ukraine","Whole",60034,"2023-11","2023-11"
"USA","Whole",15296300,"2023-11","2023-11"
