"country","variant","weight","data_per","model_date"
"Austria","Whole",324492,"2020-02","2020-02"
"Belgium","Whole",158780,"2020-02","2020-02"
"Brazil","Whole",2663145.4575,"2020-02","2020-02"
"Bulgaria","Whole",38804.333334,"2020-02","2020-02"
"Chile","Whole",365555,"2020-02","2020-02"
"China","Whole",19351057,"2020-02","2020-02"
"Czechia","Whole",248299,"2020-02","2020-02"
"Denmark","Industry",91974,"2020-02","2020-02"
"Denmark","Private",127494,"2020-02","2020-02"
"Denmark","Vans",33079,"2020-02","2020-02"
"Denmark","Whole",219468,"2020-02","2020-02"
"Estonia","Whole",9468,"2020-02","2020-02"
"Finland","Buses",576,"2020-02","2020-02"
"Finland","HDV",4015,"2020-02","2020-02"
"Finland","Industry",43666,"2020-02","2020-02"
"Finland","Private",69786,"2020-02","2020-02"
"Finland","Vans",14447,"2020-02","2020-02"
"Finland","Whole",113452,"2020-02","2020-02"
"France","Whole",2229275,"2020-02","2020-02"
"Germany","Whole",3558932,"2020-02","2020-02"
"Greece","Whole",28484,"2020-02","2020-02"
"Hungary","Whole",156575,"2020-02","2020-02"
"Iceland","Whole",11958,"2020-02","2020-02"
"Indonesia","Whole",784690,"2020-02","2020-02"
"Ireland","Buses",405,"2020-02","2020-02"
"Ireland","HDV",2260,"2020-02","2020-02"
"Ireland","Vans",25161,"2020-02","2020-02"
"Ireland","Whole",113458,"2020-02","2020-02"
"Israel","Vans",7694,"2020-02","2020-02"
"Israel","Whole",237820,"2020-02","2020-02"
"Italy","NonRental",1482817,"2020-02","2020-02"
"Italy","Rental",420536,"2020-02","2020-02"
"Italy","Whole",1903353,"2020-02","2020-02"
"Japan","Whole",2769093,"2020-02","2020-02"
"Latvia","Whole",18162,"2020-02","2020-02"
"Lithuania","Whole",14926,"2020-02","2020-02"
"Luxembourg","HDV",1517,"2020-02","2020-02"
"Luxembourg","Vans",5141,"2020-02","2020-02"
"Luxembourg","Whole",54876,"2020-02","2020-02"
"Malaysia","Whole",614377,"2020-02","2020-02"
"Netherlands","HDV",14235,"2020-02","2020-02"
"Netherlands","Used",217077,"2020-02","2020-02"
"Netherlands","Whole",438398,"2020-02","2020-02"
"New Zealand","Whole",296305,"2020-02","2020-02"
"Norway","Whole",145396,"2020-02","2020-02"
"Poland","Whole",543886,"2020-02","2020-02"
"Portugal","Whole",224940,"2020-02","2020-02"
"Romania","Whole",47982.83334,"2020-02","2020-02"
"Singapore","Whole",24705.0833333333,"2020-02","2020-02"
"Slovakia","Whole",29373,"2020-02","2020-02"
"Slovenia","Whole",71508,"2020-02","2020-02"
"South Korea","Whole",1688909,"2020-02","2020-02"
"Spain","2-Wheelers",198976,"2020-02","2020-02"
"Spain","Buses",3372,"2020-02","2020-02"
"Spain","HDV",23779,"2020-02","2020-02"
"Spain","Whole",1310572,"2020-02","2020-02"
"Spain","NonRental",886413,"2020-02","2020-02"
"Spain","Rental",424159,"2020-02","2020-02"
"Spain","Used",85091,"2020-02","2020-02"
"Spain","Vans",106552,"2020-02","2020-02"
"Sweden","Whole",362334,"2020-02","2020-02"
"Switzerland","Whole",307503,"2020-02","2020-02"
"Thailand","3-Wheelers",211,"2020-02","2020-02"
"Thailand","Buses",11817,"2020-02","2020-02"
"Thailand","HDV",67692,"2020-02","2020-02"
"Thailand","Whole",991710,"2020-02","2020-02"
"Türkiye","Whole",421932,"2020-02","2020-02"
"UK","Whole",2297031,"2020-02","2020-02"
"USA","Whole",17055372,"2020-02","2020-02"
