"country","variant","weight","data_per","model_date"
"Austria","Whole",318654,"2016-07","2016-07"
"Brazil","Whole",2116183.0864,"2016-07","2016-07"
"China","Whole",2335833.33333333,"2016-07","2016-07"
"Czechia","Whole",247698,"2016-07","2016-07"
"Denmark","Whole",218567,"2016-07","2016-07"
"Finland","Buses",501,"2016-07","2016-07"
"Finland","HDV",3089,"2016-07","2016-07"
"Finland","Industry",38557,"2016-07","2016-07"
"Finland","Private",78272,"2016-07","2016-07"
"Finland","Vans",12324,"2016-07","2016-07"
"Finland","Whole",116829,"2016-07","2016-07"
"France","Whole",2031230,"2016-07","2016-07"
"Germany","Whole",3309602,"2016-07","2016-07"
"Indonesia","Whole",769151,"2016-07","2016-07"
"Ireland","Buses",415,"2016-07","2016-07"
"Ireland","HDV",2443,"2016-07","2016-07"
"Ireland","Vans",28023,"2016-07","2016-07"
"Ireland","Whole",146207,"2016-07","2016-07"
"Japan","Whole",870969,"2016-07","2016-07"
"Luxembourg","HDV",1420,"2016-07","2016-07"
"Luxembourg","Vans",4255,"2016-07","2016-07"
"Luxembourg","Whole",48914,"2016-07","2016-07"
"Netherlands","Whole",441393,"2016-07","2016-07"
"New Zealand","Whole",294316,"2016-07","2016-07"
"Norway","Whole",154420,"2016-07","2016-07"
"Poland","Whole",137302,"2016-07","2016-07"
"Portugal","Whole",196555,"2016-07","2016-07"
"Sweden","Whole",380418,"2016-07","2016-07"
"Switzerland","Whole",318303,"2016-07","2016-07"
"USA","Whole",17597954,"2016-07","2016-07"
