brand,model,scope,class,rule,units_total,units_last_12m,first_seen,last_seen
CITROEN,C4 CACTUS VTI AT FEEL + MY23,Whole,ICE,default-ice,1313,0,2023-08,2024-12
CITROEN,C4 CACTUS VTI AT FEEL MY23,Whole,ICE,default-ice,1366,0,2023-08,2025-08
CITROEN,C4 CACTUS VTI AT LIVE PACK + MY23,Whole,ICE,default-ice,3,0,2024-11,2025-01
CITROEN,C4 CACTUS VTI FEEL MY23,Whole,ICE,default-ice,1179,1,2023-04,2026-02
CITROEN,C4 CACTUS VTI LIVE PACK + MY23,Whole,ICE,default-ice,3,0,2024-11,2024-11
CITROEN,C4 HYBRID MAX,Whole,MHEV,mhev-stellantis-hybrid,72,72,2026-02,2026-08
CITROEN,C4 HYBRID PLUS,Whole,MHEV,mhev-stellantis-hybrid,260,260,2026-02,2026-08
CITROEN,C4 LOUNGE 1.6 HDI EXCLUSIVE,Whole,ICE,default-ice,6,0,2019-04,2024-09
CITROEN,C4 LOUNGE 1.6I THP 163 AT6 EXCLUSIVE,Whole,ICE,default-ice,3,0,2019-04,2019-07
CITROEN,C4 LOUNGE 143 FEEL PACK,Whole,ICE,default-ice,12,0,2018-01,2018-04
CITROEN,C4 LOUNGE 143 LIVE,Whole,ICE,default-ice,8,0,2018-01,2019-09
CITROEN,C4 LOUNGE 143 ORIGINE AM16,Whole,ICE,default-ice,2,0,2018-01,2018-03
CITROEN,C4 LOUNGE 143 TENDANCE PACK,Whole,ICE,default-ice,1,0,2018-09,2018-09
CITROEN,C4 LOUNGE 143 TENDANCE PACK AM16,Whole,ICE,default-ice,2,0,2018-02,2018-11
CITROEN,C4 LOUNGE HDI 115 MT6 FEEL,Whole,ICE,default-ice,2,0,2018-03,2018-12
CITROEN,C4 LOUNGE HDI 115 MT6 FEEL PACK,Whole,ICE,default-ice,7,0,2018-01,2019-04
CITROEN,C4 LOUNGE HDI 115 MT6 FEEL PACK 10 ANOS,Whole,ICE,default-ice,246,0,2018-01,2018-09
CITROEN,C4 LOUNGE HDI 115 MT6 FEEL PACK AM18,Whole,ICE,default-ice,385,0,2018-01,2019-04
CITROEN,C4 LOUNGE HDI 115 MT6 FEEL PACK AM19,Whole,ICE,default-ice,2274,0,2018-03,2022-05
CITROEN,C4 LOUNGE HDI 115 MT6 FEEL PACK AM19.5,Whole,ICE,default-ice,409,0,2020-04,2023-08
CITROEN,C4 LOUNGE HDI 115 MT6 FEEL PACK AM21,Whole,ICE,default-ice,231,0,2021-01,2022-05
CITROEN,C4 LOUNGE HDI 115 MT6 FEEL PACK AM21.5,Whole,ICE,default-ice,332,0,2021-06,2023-07
CITROEN,C4 LOUNGE HDI 115 MT6 ORIGINS,Whole,ICE,default-ice,82,0,2019-08,2022-05
CITROEN,C4 LOUNGE THP 165 AT6 EXCLUSIVE AM16,Whole,ICE,default-ice,3,0,2018-05,2018-08
CITROEN,C4 LOUNGE THP 165 AT6 FEEL,Whole,ICE,default-ice,19,0,2018-01,2024-05
CITROEN,C4 LOUNGE THP 165 AT6 FEEL AM18,Whole,ICE,default-ice,4,0,2018-01,2018-01
CITROEN,C4 LOUNGE THP 165 AT6 FEEL AM19,Whole,ICE,default-ice,219,0,2018-04,2020-01
CITROEN,C4 LOUNGE THP 165 AT6 FEEL PACK,Whole,ICE,default-ice,1,0,2018-10,2018-10
CITROEN,C4 LOUNGE THP 165 AT6 SHINE,Whole,ICE,default-ice,14,0,2018-01,2021-08
CITROEN,C4 LOUNGE THP 165 AT6 SHINE AM18,Whole,ICE,default-ice,276,0,2018-01,2019-05
CITROEN,C4 LOUNGE THP 165 AT6 SHINE AM19,Whole,ICE,default-ice,811,0,2018-03,2023-11
CITROEN,C4 LOUNGE THP 165 AT6 TENDANCE AM16,Whole,ICE,default-ice,1,0,2019-06,2019-06
CITROEN,C4 LOUNGE THP 165 EAT6 SHINE AM19.5,Whole,ICE,default-ice,176,0,2020-04,2023-06
CITROEN,C4 LOUNGE THP 165 EAT6 SHINE AM21,Whole,ICE,default-ice,37,0,2021-01,2022-11
CITROEN,C4 LOUNGE THP 165 EAT6 SHINE AM21.5,Whole,ICE,default-ice,136,1,2021-05,2025-11
CITROEN,C4 LOUNGE THP 165 MT6 FEEL,Whole,ICE,default-ice,25,0,2018-01,2019-11
CITROEN,C4 LOUNGE THP 165 MT6 FEEL AM18,Whole,ICE,default-ice,470,0,2018-01,2019-12
CITROEN,C4 LOUNGE THP 165 MT6 FEEL AM19,Whole,ICE,default-ice,88,0,2018-04,2019-12
CITROEN,C4 LOUNGE THP 165 MT6 FEEL PACK,Whole,ICE,default-ice,9,0,2018-01,2020-09
CITROEN,C4 LOUNGE THP 165 MT6 FEEL PACK 10 ANOS,Whole,ICE,default-ice,184,0,2018-01,2018-12
CITROEN,C4 LOUNGE THP 165 MT6 FEEL PACK AM18,Whole,ICE,default-ice,234,0,2018-01,2019-05
CITROEN,C4 LOUNGE THP 165 MT6 FEEL PACK AM19,Whole,ICE,default-ice,690,0,2018-03,2021-08
CITROEN,C4 LOUNGE THP 165 MT6 FEEL PACK AM19.5,Whole,ICE,default-ice,3,0,2023-06,2023-06
CITROEN,C4 LOUNGE THP 165 MT6 FEEL PACK AM21,Whole,ICE,default-ice,1,0,2021-10,2021-10
CITROEN,C4 LOUNGE THP 165 MT6 FEEL PACK AM21.5,Whole,ICE,default-ice,103,0,2021-05,2022-01
CITROEN,C4 LOUNGE THP 165 MT6 S EDITION,Whole,ICE,default-ice,1,0,2018-08,2018-08
CITROEN,C4 LOUNGE THP 165 MT6 TENDANCE AM16,Whole,ICE,default-ice,1,0,2018-03,2018-03
CITROEN,C4 LOUNGE VTI 115 LIVE AM19,Whole,ICE,default-ice,672,0,2018-03,2021-04
CITROEN,C4 LOUNGE VTI 115 LIVE AM19.5,Whole,ICE,default-ice,182,0,2020-04,2021-08
CITROEN,C4 LOUNGE VTI 115 LIVE AM21,Whole,ICE,default-ice,100,0,2021-01,2022-01
CITROEN,C4 LOUNGE VTI 115 LIVE AM21.5,Whole,ICE,default-ice,55,0,2021-06,2023-08
CITROEN,C4 PALLAS 2.0,Whole,ICE,default-ice,1,1,2026-03,2026-03
CITROEN,C4 PICASSO,Whole,ICE,default-ice,5,0,2018-06,2023-11
CITROEN,C4 PICASSO 1.6 HDI,Whole,ICE,default-ice,1,0,2019-04,2019-04
CITROEN,C4 PICASSO 2.0I 16V EXCLUSIVE,Whole,ICE,default-ice,1,0,2018-10,2018-10
CITROEN,C4 PICASSO E-HDI,Whole,ICE,default-ice,1,0,2018-10,2018-10
CITROEN,C4 PICASSO HDI 115 MT6 FEEL AM18,Whole,ICE,default-ice,121,0,2018-01,2020-09
CITROEN,C4 PICASSO HDI 115 MT6 FEEL PACK,Whole,ICE,default-ice,202,0,2018-01,2021-07
CITROEN,C4 PICASSO THP 165 AT6 FEEL AM18,Whole,ICE,default-ice,130,0,2018-01,2019-04
CITROEN,C4 PICASSO THP 165 AT6 FEEL PACK,Whole,ICE,default-ice,135,0,2018-01,2020-09
CITROEN,C4 SEDAN 1.6 HDI SX AM73,Whole,ICE,default-ice,1,0,2018-11,2018-11
CITROEN,C4 SPACETOURER HDI 115 MT6 FEEL,Whole,ICE,default-ice,8,0,2018-09,2019-06
CITROEN,C4 SPACETOURER HDI 115 MT6 FEEL PACK,Whole,ICE,default-ice,85,0,2018-09,2019-11
CITROEN,C4 SPACETOURER HDI 115 MT6 RIP CURL,Whole,ICE,default-ice,44,0,2019-01,2021-06
CITROEN,C4 SPACETOURER THP 165 EAT6 FEEL,Whole,ICE,default-ice,10,0,2018-10,2019-05
CITROEN,C4 SPACETOURER THP 165 EAT6 FEEL PACK,Whole,ICE,default-ice,81,0,2018-08,2019-09
CITROEN,C4 SPACETOURER THP 165 EAT6 RIP CURL,Whole,ICE,default-ice,50,0,2018-09,2021-08
CITROEN,C5 2.0 HDI,Whole,ICE,default-ice,1,0,2019-02,2019-02
CITROEN,C5 3.0I V6 EXCLUSIVE,Whole,ICE,default-ice,1,0,2021-10,2021-10
CITROEN,C5 AIRCROSS FEEL PK MY24,Whole,ICE,default-ice,112,4,2024-01,2026-01
CITROEN,C5 AIRCROSS MAX,Whole,ICE,default-ice,67,67,2026-05,2026-08
CITROEN,C5 AIRCROSS THP 165 EAT6 FEEL PACK,Whole,ICE,default-ice,390,0,2020-05,2022-02
CITROEN,C5 AIRCROSS THP 165 EAT6 FEEL PACK AM21,Whole,ICE,default-ice,135,0,2021-05,2022-05
CITROEN,C5 AIRCROSS THP 165 EAT6 FEEL PACK AM21.5,Whole,ICE,default-ice,166,0,2022-02,2023-03
CITROEN,C5 AIRCROSS THP 165 EAT6 FEEL PACK AM22,Whole,ICE,default-ice,233,0,2022-08,2025-04
CITROEN,CX 25,Whole,ICE,default-ice,1,1,2025-10,2025-10
CITROEN,DS 3,Whole,ICE,default-ice,1,0,2019-01,2019-01
CITROEN,DS21,Whole,ICE,default-ice,1,0,2018-10,2018-10
CITROEN,DS3 N3 1.6,Whole,ICE,default-ice,1,0,2018-05,2018-05
CITROEN,GRAND C4 PICASSO 1.6HDI,Whole,ICE,default-ice,4,0,2019-05,2021-07
CITROEN,GRAND C4 PICASSO 165 THP AT6 SHINE,Whole,ICE,default-ice,1,0,2021-03,2021-03
CITROEN,GRAND C4 PICASSO 2.0I BVA,Whole,ICE,default-ice,1,0,2020-10,2020-10
CITROEN,GRAND C4 PICASSO HDI 115 MT6 SHINE AM18,Whole,ICE,default-ice,69,0,2018-01,2018-11
CITROEN,GRAND C4 PICASSO THP 165 AT6 FEEL PACK,Whole,ICE,default-ice,57,0,2018-01,2021-07
CITROEN,GRAND C4 PICASSO THP 165 AT6 SHINE AM18,Whole,ICE,default-ice,46,0,2018-01,2019-01
CITROEN,GRAND C4 SPACETOURER HDI 115 MT6 SHINE,Whole,ICE,default-ice,41,0,2018-09,2020-10
CITROEN,GRAND C4 SPACETOURER HDI 115 MT6 SHINE AM20,Whole,ICE,default-ice,1,0,2020-08,2020-08
CITROEN,GRAND C4 SPACETOURER THP 165 EAT6 FEEL PACK,Whole,ICE,default-ice,1,0,2019-01,2019-01
CITROEN,GRAND C4 SPACETOURER THP 165 EAT6 SHINE,Whole,ICE,default-ice,33,0,2018-09,2019-09
CITROEN,GRAND C4 SPACETOURER THP 165 EAT6 SHINE AM20,Whole,ICE,default-ice,12,0,2019-11,2020-10
CITROEN,JUMPER HDI,Whole,ICE,default-ice,1,0,2019-01,2019-01
CITROEN,NUEVO C3 1.5I 90 ORIGINE PACK ZENITH,Whole,ICE,default-ice,1,0,2021-11,2021-11
CITROEN,NUEVO C3 1.5I 90 TENDANCE,Whole,ICE,default-ice,1,1,2025-11,2025-11
CITROEN,NUEVO C3 1.6 VTI 115 EXCLUSIVE PACK MY WAY,Whole,ICE,default-ice,1,0,2018-09,2018-09
CITROEN,SM,Whole,ICE,default-ice,1,0,2019-06,2019-06
CITROEN,SPACETOURER L2 HDI 150 AT6 FEEL,Whole,ICE,default-ice,58,0,2018-01,2019-01
CITROEN,SPACETOURER L2 HDI 150 AT6 FEEL PACK,Whole,ICE,default-ice,85,0,2018-04,2021-07
CITROEN,XSARA PICASSO,Whole,ICE,default-ice,2,0,2018-04,2019-06
CITROEN,XSARA PICASSO 1.6 I,Whole,ICE,default-ice,3,1,2018-11,2025-12
CORADIR,S2-100,Whole,BEV,bev-pure-ev-brands,1,0,2022-03,2022-03
DACIA,DUSTER 1.5 DCI AMBIANCE,Whole,ICE,default-ice,1,0,2018-05,2018-05
DACIA,SANDERO,Whole,ICE,default-ice,1,1,2026-05,2026-05
DACIA,SANDERO 90,Whole,ICE,default-ice,1,0,2018-06,2018-06
DACIA,SANDERO STEPWAY,Whole,ICE,default-ice,1,0,2022-08,2022-08
DATSUN,240Z,Whole,ICE,default-ice,2,1,2021-09,2026-03
DATSUN,280 ZX,Whole,ICE,default-ice,1,0,2020-12,2020-12
DEEPAL,L07,Whole,BEV,bev-pure-ev-brands,1,1,2026-08,2026-08
DELOREAN,DMC-12,Whole,ICE,default-ice,3,0,2018-02,2018-12
DFAC DONGFENG,CAPTAIN 412 SC,Pickups,ICE,default-ice,1,1,2025-09,2025-09
DFAC DONGFENG,CAPTAIN W 310 DC,Pickups,ICE,default-ice,11,11,2025-10,2026-08
DFAC DONGFENG,CAPTAIN W 310 SC,Pickups,ICE,default-ice,26,26,2026-02,2026-08
DFAC DONGFENG,CAPTAIN W 310SC,Pickups,ICE,default-ice,2,2,2026-02,2026-02
DFAC DONGFENG,CAPTAIN W 412 DC,Pickups,ICE,default-ice,58,58,2025-10,2026-08
DFAC DONGFENG,CAPTAIN W 412 SC,Pickups,ICE,default-ice,144,144,2025-09,2026-08
DFSK,C31,Pickups,ICE,default-ice,1210,167,2018-01,2026-08
DFSK,C31 BOX,Pickups,ICE,default-ice,57,57,2025-10,2026-08
DFSK,C31 BOX REFRIGERADO,Pickups,ICE,default-ice,37,37,2026-02,2026-08
DFSK,C32,Pickups,ICE,default-ice,733,121,2018-01,2026-08
DFSK,E5,Whole,PHEV,phev-dfsk-e5,70,70,2025-10,2026-08
DFSK,E5 PLUS PHEV,Whole,PHEV,phev-token,79,79,2026-06,2026-08
DFSK,EC31,Pickups,BEV,bev-dfsk-ec,4,2,2024-11,2026-07
DFSK,GLORY 500,Whole,ICE,default-ice,77,49,2025-02,2026-08
DFSK,GLORY 580,Whole,ICE,default-ice,172,70,2023-03,2026-08
DFSK,K01H,Pickups,ICE,default-ice,646,103,2018-01,2026-08
DFSK,K01H BOX,Pickups,ICE,default-ice,37,30,2025-07,2026-08
DFSK,K01H BOX REFRIGERADO,Pickups,ICE,default-ice,26,10,2025-06,2026-08
DODGE,CALIBER LX,Whole,ICE,default-ice,1,0,2023-02,2023-02
DODGE,CARAVAN,Whole,ICE,default-ice,2,1,2022-07,2026-08
DODGE,CHALLENGER,Whole,ICE,default-ice,11,4,2018-03,2026-07
DODGE,CHALLENGER R/T,Whole,ICE,default-ice,11,2,2018-02,2026-01
DODGE,CHALLENGER SRT,Whole,ICE,default-ice,4,2,2019-05,2026-04
DODGE,CHALLENGER SRT HELLCAT,Whole,ICE,default-ice,14,2,2018-05,2026-08
DODGE,CHARGER,Whole,ICE,default-ice,6,0,2019-03,2024-10
DODGE,CHARGER 500,Whole,ICE,default-ice,1,0,2021-01,2021-01
DODGE,CHARGER R/T,Whole,ICE,default-ice,2,0,2019-12,2019-12
DODGE,CHARGER SXT,Whole,ICE,default-ice,1,0,2018-02,2018-02
DODGE,DART STX,Whole,ICE,default-ice,1,0,2018-11,2018-11
DODGE,DURANGO,Whole,ICE,default-ice,1,1,2025-12,2025-12
DODGE,DURANGO 4.7 A/T,Whole,ICE,default-ice,1,0,2022-03,2022-03
DODGE,DURANGO 4.7 ST,Whole,ICE,default-ice,1,0,2024-11,2024-11
DODGE,DURANGO LIMITED 5.7 AT,Whole,ICE,default-ice,1,0,2022-09,2022-09
DODGE,DURANGO LIMITED 5.7L HEMI MAGNUM,Whole,ICE,default-ice,1,0,2020-08,2020-08
DODGE,DURANGO SLT,Whole,ICE,default-ice,3,0,2018-05,2021-05
DODGE,DURANGO SXT,Whole,ICE,default-ice,1,0,2021-09,2021-09
DODGE,FORZA LX,Whole,ICE,default-ice,1,0,2022-09,2022-09
DODGE,GRAND CARAVAN,Whole,ICE,default-ice,2,0,2018-11,2022-05
DODGE,GRAND CARAVAN SE,Whole,ICE,default-ice,4,0,2018-04,2023-02
DODGE,JOURNEY,Whole,ICE,default-ice,5,1,2018-11,2026-04
DODGE,JOURNEY AWD LUX,Whole,ICE,default-ice,1,0,2018-04,2018-04
DODGE,JOURNEY R/T,Whole,ICE,default-ice,2,0,2019-04,2021-01
DODGE,JOURNEY R/T 2.4,Whole,ICE,default-ice,1,0,2018-11,2018-11
DODGE,JOURNEY R/T 3.6L,Whole,ICE,default-ice,86,0,2018-01,2021-02
DODGE,JOURNEY SE 2.4,Whole,ICE,default-ice,2,0,2021-06,2025-01
DODGE,JOURNEY SE 2.4 AT,Whole,ICE,default-ice,1,1,2025-10,2025-10
DODGE,JOURNEY SXT 2.4,Whole,ICE,default-ice,384,0,2018-01,2024-10
DODGE,JOURNEY SXT 3.5,Whole,ICE,default-ice,1,0,2020-02,2020-02
DODGE,RAM 1500,Pickups,ICE,default-ice,2,0,2019-01,2022-08
DODGE,RAM 1500,Whole,ICE,default-ice,3,1,2018-07,2025-10
DODGE,RAM 1500 HEAVY DUTY SLT 4.7 AT,Pickups,ICE,default-ice,1,0,2022-06,2022-06
DODGE,RAM 1500 SRT 10,Pickups,ICE,default-ice,2,0,2022-01,2023-06
DODGE,RAM 2500,Pickups,ICE,default-ice,5,1,2018-10,2026-01
DODGE,RAM 2500 4X4,Pickups,ICE,default-ice,1,0,2020-11,2020-11
DODGE,RAM 2500 SLT 4X4 HEAVY DUTY,Pickups,ICE,default-ice,1,0,2022-09,2022-09
DODGE,RAM 2500 SXT HEAVY DUTY,Pickups,ICE,default-ice,1,0,2019-04,2019-04
DODGE,RAM CHARGER,Whole,ICE,default-ice,1,0,2025-04,2025-04
DODGE,VIPER,Whole,ICE,default-ice,4,4,2025-11,2026-06
DODGE,VIPER RT/10,Whole,ICE,default-ice,4,3,2025-07,2026-04
DOMY,K1,Pickups,ICE,default-ice,1,1,2026-02,2026-02
DOMY,K2,Pickups,ICE,default-ice,8,4,2025-06,2026-05
DOMY,X5,Whole,ICE,default-ice,1,0,2019-01,2019-01
DOMY,X7,Whole,ICE,default-ice,1,0,2019-01,2019-01
DONGFENG,BOX,Whole,BEV,bev-dongfeng,11,11,2026-04,2026-08
DONGFENG,HUGE AEOLUS HEV,Whole,HEV,hev-token,24,24,2026-04,2026-08
DONGFENG,MAGE AEOLUS HEV,Whole,HEV,hev-token,43,43,2026-04,2026-08
DONGFENG,MINI STAR,Whole,ICE,default-ice,1,0,2021-09,2021-09
DONGFENG,RICH,Pickups,ICE,default-ice,3,0,2019-01,2020-10
DONGFENG,ZNA RICH,Pickups,ICE,default-ice,1,0,2023-02,2023-02
DS,DS 3 CABRIO PURETECH 110 AT6 SO CHIC,Whole,ICE,default-ice,78,0,2018-01,2020-06
DS,DS 3 CABRIO PURETECH 110 AT6 SO CHIC AM19,Whole,ICE,default-ice,7,0,2019-03,2020-01
DS,DS 3 CROSSBACK PURETECH 155 BE CHIC AT8,Whole,ICE,default-ice,17,0,2020-02,2021-03
DS,DS 3 CROSSBACK PURETECH 155 GRAND CHIC AT8,Whole,ICE,default-ice,7,0,2019-10,2021-10
DS,DS 3 CROSSBACK PURETECH 155 GRAND CHIC AT8 MY21,Whole,ICE,default-ice,1,0,2021-08,2021-08
DS,DS 3 CROSSBACK PURETECH 155 RIVOLI + AT8,Whole,ICE,default-ice,1,0,2022-01,2022-01
DS,DS 3 CROSSBACK PURETECH 155 RIVOLI AT8,Whole,ICE,default-ice,203,0,2022-01,2023-03
DS,DS 3 CROSSBACK PURETECH 155 RIVOLI AT8 MY22,Whole,ICE,default-ice,71,0,2022-10,2024-05
DS,DS 3 CROSSBACK PURETECH 155 SO CHIC AT8,Whole,ICE,default-ice,302,0,2019-10,2021-09
DS,DS 3 CROSSBACK PURETECH 155 SO CHIC AT8 MY21,Whole,ICE,default-ice,239,0,2021-03,2022-06
DS,DS 3 ETOILE HYBRID MY 25.5,Whole,MHEV,mhev-stellantis-hybrid,34,34,2025-09,2026-08
DS,DS 3 ETOILE HYBRID MY25,Whole,MHEV,mhev-stellantis-hybrid,43,12,2025-05,2026-02
DS,DS 3 PERFORMANCE LINE 130 MY23,Whole,ICE,default-ice,12,0,2023-10,2024-03
DS,DS 3 PURE TECH 110 AT6 PERFORMANCE LINE,Whole,ICE,default-ice,6,0,2018-02,2018-02
DS,DS 3 PURETECH 110 AT6 CAFE RACER,Whole,ICE,default-ice,26,0,2019-02,2020-07
DS,DS 3 PURETECH 110 AT6 DARK SIDE,Whole,ICE,default-ice,30,0,2018-05,2019-03
DS,DS 3 PURETECH 110 AT6 PERFORMANCE LINE AM19,Whole,ICE,default-ice,17,0,2019-07,2019-12
DS,DS 3 PURETECH 110 AT6 SO CHIC,Whole,ICE,default-ice,332,0,2018-01,2019-11
DS,DS 3 PURETECH 110 AT6 SO CHIC AM19,Whole,ICE,default-ice,98,0,2019-03,2020-03
DS,DS 3 RIVOLI 130 MY23,Whole,ICE,default-ice,100,0,2023-09,2025-07
DS,DS 3 RIVOLI MY24,Whole,ICE,default-ice,46,0,2024-03,2025-05
DS,DS 3 RIVOLI MY24.5,Whole,ICE,default-ice,54,0,2024-09,2025-07
DS,DS 3 RIVOLI+ 130 MY23,Whole,ICE,default-ice,2,0,2024-01,2024-01
DS,DS 3 THP 165 MT6 SPORT CHIC,Whole,ICE,default-ice,160,0,2018-01,2020-03
DS,DS 3 THP 208 MT6 S&S PERFORMANCE,Whole,ICE,default-ice,73,0,2018-01,2020-12
DS,DS 3 VTI 120 BE CHIC,Whole,ICE,default-ice,174,0,2018-01,2020-12
DS,DS 3 VTI 120 GIVENCHY,Whole,ICE,default-ice,30,0,2018-01,2018-10
DS,DS 4 ETOILE HYBRID MY25,Whole,MHEV,mhev-stellantis-hybrid,70,61,2025-07,2026-08
DS,DS 4 ETOILE MY25,Whole,ICE,default-ice,167,11,2024-10,2026-08
DS,DS 4 PALLAS MY25,Whole,ICE,default-ice,2,2,2025-12,2025-12
DS,DS 4 PERFO LINE MY24,Whole,ICE,default-ice,2,0,2024-08,2024-09
DS,DS 4 PERFORMANCE LINE 215 A T8,Whole,ICE,default-ice,131,0,2022-09,2025-06
DS,DS 4 PERFORMANCE LINE 215 MY23,Whole,ICE,default-ice,130,0,2023-06,2025-08
DS,DS 4 THP 163 AT6 BE CHIC PACK CB,Whole,ICE,default-ice,120,0,2018-01,2020-08
DS,DS 4 THP 163 AT6 SO CHIC AM24,Whole,ICE,default-ice,1,0,2018-01,2018-01
DS,DS 4 THP 163 AT6 SO CHIC CROSSBACK AM24,Whole,ICE,default-ice,3,0,2018-01,2018-01
DS,DS 4 THP 208 MT6 S&S PERFORMANCE LINE,Whole,ICE,default-ice,8,0,2018-01,2018-05
DS,DS 4 TROCADERO 215 AT8,Whole,ICE,default-ice,37,0,2022-05,2023-07
DS,DS 4 TROCADERO 215 MY23,Whole,ICE,default-ice,46,0,2023-06,2024-07
DS,DS 4 TROCADERO MY24,Whole,ICE,default-ice,50,0,2024-04,2025-03
DS,DS 4 TROCADERO MY24.5,Whole,ICE,default-ice,38,0,2024-07,2025-04
DS,DS 7 BASTILLE 215 MY23,Whole,ICE,default-ice,369,1,2023-04,2026-05
DS,DS 7 BASTILLE E-TENSE 4X4 MY23,Whole,PHEV,phev-ds-etense,2,0,2023-11,2023-11
DS,DS 7 BASTILLE MY24,Whole,ICE,default-ice,1,0,2025-04,2025-04
DS,DS 7 CROSSBACK 165 A/T PERFORMANCE LINE MY22,Whole,ICE,default-ice,8,0,2022-09,2023-04
DS,DS 7 CROSSBACK E-TENSE 4X4 300 BASTILLE+,Whole,PHEV,phev-ds-etense,168,0,2021-07,2023-08
DS,DS 7 CROSSBACK HDI 180 AUTOMATIC BASTILLE + MY21,Whole,ICE,default-ice,266,0,2021-10,2023-05
DS,DS 7 CROSSBACK HDI 180 AUTOMATIC GRAND CHIC,Whole,ICE,default-ice,26,0,2018-10,2019-10
DS,DS 7 CROSSBACK HDI 180 AUTOMATIC GRAND CHIC MY20,Whole,ICE,default-ice,24,0,2019-10,2021-06
DS,DS 7 CROSSBACK HDI 180 AUTOMATIC GRAND CHIC MY21,Whole,ICE,default-ice,16,0,2021-03,2021-10
DS,DS 7 CROSSBACK HDI 180 AUTOMATIC RIVOLI MY21,Whole,ICE,default-ice,44,0,2021-10,2022-10
DS,DS 7 CROSSBACK HDI 180 AUTOMATIC RIVOLI MY22,Whole,ICE,default-ice,12,0,2023-01,2023-05
DS,DS 7 CROSSBACK HDI 180 AUTOMATIC SO CHIC,Whole,ICE,default-ice,81,0,2018-10,2021-04
DS,DS 7 CROSSBACK HDI 180 AUTOMATIC SO CHIC MY20,Whole,ICE,default-ice,270,0,2019-11,2021-08
DS,DS 7 CROSSBACK HDI 180 AUTOMATIC SO CHIC MY21,Whole,ICE,default-ice,145,0,2021-03,2022-01
DS,DS 7 CROSSBACK HDI 180 AUTOMOTIC BASTILLE+MY22,Whole,ICE,default-ice,16,0,2022-10,2024-06
DS,DS 7 CROSSBACK PURE TECH 165 AUTOMATIC BE CHIC,Whole,ICE,default-ice,103,0,2018-09,2021-12
DS,DS 7 CROSSBACK PURETECH 165 A/T PERFORMANCE LINE,Whole,ICE,default-ice,176,0,2019-09,2023-01
DS,DS 7 CROSSBACK PURETECH 165 AUTOMATIC BE CHIC MY20,Whole,ICE,default-ice,1,0,2020-11,2020-11
DS,DS 7 CROSSBACK THP 165 AUTOMATIC BE CHIC,Whole,ICE,default-ice,37,0,2018-09,2021-09
DS,DS 7 E-TENSE 4X4 MY25,Whole,PHEV,phev-ds-etense,37,3,2025-02,2026-01
DS,DS 7 PALLAS MY25,Whole,ICE,default-ice,279,112,2025-01,2026-04
DS,DS 7 PLUG-IN HYBRID AWD MY25,Whole,PHEV,phev-token,17,8,2025-06,2026-07
DS,DS 7 PLUG-IN HYBRID AWD MY25.5,Whole,PHEV,phev-token,4,4,2026-05,2026-07
DS,DS 7 RIVOLI 215 MY23,Whole,ICE,default-ice,12,1,2023-04,2025-10
DS,DS 7 RIVOLI MY24,Whole,ICE,default-ice,40,0,2024-07,2025-05
DS,DS 7 RIVOLI MY24.5,Whole,ICE,default-ice,38,0,2024-08,2025-07
DS,DS 9 RIVOLI 215 AT8,Whole,ICE,default-ice,12,0,2021-11,2022-04
DS,DS 9 RIVOLI 215 AT8 MY22,Whole,ICE,default-ice,18,0,2022-09,2024-06
DS,DS 9 RIVOLI 215 AT8 MY22.5,Whole,ICE,default-ice,22,0,2023-04,2024-07
DS,DS 9 RIVOLI 215 AT8 MY23,Whole,ICE,default-ice,1,0,2022-10,2022-10
DS,DS3 VTI 120 SO CHIC AM40,Whole,ICE,default-ice,2,0,2018-01,2018-05
DS,DS7 PALLAS MY 26,Whole,ICE,default-ice,86,86,2026-01,2026-08
EXEED,VX 2.0T DCT UNLIMITED AWD,Whole,ICE,default-ice,1,1,2026-08,2026-08
FAW,ACTIS T80,Pickups,ICE,default-ice,49,1,2022-07,2025-09
FAW,D60,Whole,ICE,default-ice,1,0,2022-12,2022-12
FAW,R7 SIRIUS,Whole,ICE,default-ice,1,0,2022-08,2022-08
FAW,T33,Whole,ICE,default-ice,32,0,2022-12,2025-06
FAW,X40,Whole,ICE,default-ice,32,0,2020-06,2024-06
FERRARI,296 GTB,Whole,PHEV,phev-ferrari,2,0,2024-04,2025-05
FERRARI,296 GTS,Whole,PHEV,phev-ferrari,3,1,2023-10,2026-06
FERRARI,308 GT4,Whole,ICE,default-ice,1,0,2021-06,2021-06
FERRARI,308 GTBI,Whole,ICE,default-ice,1,0,2021-11,2021-11
FERRARI,308 GTS,Whole,ICE,default-ice,2,0,2018-03,2020-03
FERRARI,308 GTSI,Whole,ICE,default-ice,2,0,2018-08,2019-06
FERRARI,330 GT,Whole,ICE,default-ice,1,0,2024-08,2024-08
FERRARI,348,Whole,ICE,default-ice,4,3,2021-09,2026-01
FERRARI,348 TB,Whole,ICE,default-ice,2,1,2021-06,2026-06
FERRARI,348 TS,Whole,ICE,default-ice,13,7,2020-03,2026-06
FERRARI,355 F1,Whole,ICE,default-ice,1,0,2024-05,2024-05
FERRARI,456 GT,Whole,ICE,default-ice,1,1,2026-08,2026-08
FERRARI,458 SPECIALE,Whole,ICE,default-ice,2,0,2020-09,2020-11
FERRARI,488 GTB,Whole,ICE,default-ice,6,0,2018-03,2021-10
