brand,model,scope,class,rule,units_total,units_last_12m,first_seen,last_seen
AUDI,A1 QUATTRO,Whole,ICE,default-ice,1,1,2026-04,2026-04
AUDI,A1 SPORTBACK 1.0 TFSI,Whole,ICE,default-ice,1,0,2019-08,2019-08
AUDI,A1 SPORTBACK 1.4 TFSI,Whole,ICE,default-ice,469,0,2018-01,2021-11
AUDI,A1 SPORTBACK 1.4 TFSI AMBITION,Whole,ICE,default-ice,1,0,2019-05,2019-05
AUDI,A1 SPORTBACK 1.4 TFSI STRONIC,Whole,ICE,default-ice,1,0,2018-07,2018-07
AUDI,A1 SPORTBACK 30 TFSI STRONIC,Whole,ICE,default-ice,1254,346,2020-01,2026-08
AUDI,A1 SPORTBACK 35 TFSI STRONIC,Whole,ICE,default-ice,259,1,2019-12,2025-11
AUDI,A1 TDI,Whole,ICE,default-ice,1,0,2022-01,2022-01
AUDI,A3 1.2 TFSI,Whole,ICE,default-ice,1,0,2019-09,2019-09
AUDI,A3 1.4,Whole,ICE,default-ice,2,1,2018-01,2026-01
AUDI,A3 1.4 T FSI,Whole,ICE,default-ice,395,0,2018-01,2023-02
AUDI,A3 1.4 TFSI MANUAL (150CV),Whole,ICE,default-ice,1,0,2018-12,2018-12
AUDI,A3 1.8,Whole,ICE,default-ice,2,1,2020-07,2026-07
AUDI,A3 1.8 T FSI,Whole,ICE,default-ice,1,0,2018-11,2018-11
AUDI,A3 1.8 T FSI QUATTRO,Whole,ICE,default-ice,1,0,2020-05,2020-05
AUDI,A3 1.9 TDI,Whole,ICE,default-ice,1,0,2018-04,2018-04
AUDI,A3 2.0 T,Whole,ICE,default-ice,2,0,2018-09,2024-01
AUDI,A3 2.0 TFSI,Whole,ICE,default-ice,129,0,2018-01,2020-07
AUDI,A3 2.0T FSI,Whole,ICE,default-ice,17,0,2018-01,2018-09
AUDI,A3 SEDAN 1.4 TFSI,Whole,ICE,default-ice,119,49,2025-01,2026-08
AUDI,A3 SEDAN 1.4 TFSI ADVANCED,Whole,ICE,default-ice,121,66,2025-01,2026-08
AUDI,A3 SEDAN 1.4 TFSI S-TRONIC,Whole,ICE,default-ice,11,0,2018-06,2020-08
AUDI,A3 SEDAN 2.0 TFSI S LINE,Whole,ICE,default-ice,5,5,2026-06,2026-08
AUDI,A3 SEDAN 2.0TFSI S-TRONIC,Whole,ICE,default-ice,149,0,2018-07,2020-11
AUDI,A3 SEDAN 35 TFSI,Whole,ICE,default-ice,95,1,2023-05,2025-12
AUDI,A3 SEDAN 35 TFSI S TRONIC,Whole,ICE,default-ice,113,0,2019-07,2021-06
AUDI,A3 SEDAN 40 TFSI S TRONIC,Whole,ICE,default-ice,74,1,2019-02,2026-05
AUDI,A3 SPORTBACK 1.4 T FSI,Whole,ICE,default-ice,256,0,2018-01,2022-01
AUDI,A3 SPORTBACK 1.4 TFSI,Whole,ICE,default-ice,302,172,2025-01,2026-08
AUDI,A3 SPORTBACK 1.4 TFSI ADVANCED,Whole,ICE,default-ice,252,144,2025-01,2026-08
AUDI,A3 SPORTBACK 1.8 TFSI QUATTRO,Whole,ICE,default-ice,2,0,2020-06,2020-07
AUDI,A3 SPORTBACK 2.0 T FSI,Whole,ICE,default-ice,90,0,2018-01,2020-06
AUDI,A3 SPORTBACK 2.0 TFSI S LINE,Whole,ICE,default-ice,40,40,2026-04,2026-08
AUDI,A3 SPORTBACK 2.0 TFSI S-TRONIC,Whole,ICE,default-ice,56,0,2018-08,2020-06
AUDI,A3 SPORTBACK 35 TFSI S TRONIC,Whole,ICE,default-ice,201,0,2019-03,2023-09
AUDI,A3 SPORTBACK 35 TFSI TIPTRONIC,Whole,ICE,default-ice,75,0,2023-08,2024-11
AUDI,A3 SPORTBACK 40 TFSI,Whole,ICE,default-ice,95,0,2023-05,2024-10
AUDI,A3 SPORTBACK 40 TFSI S TRONIC,Whole,ICE,default-ice,28,0,2019-03,2020-11
AUDI,A4 1.8,Whole,ICE,default-ice,1,0,2024-04,2024-04
AUDI,A4 1.8 T,Whole,ICE,default-ice,2,0,2018-10,2025-08
AUDI,A4 1.8 T FSI,Whole,ICE,default-ice,2,0,2018-06,2022-01
AUDI,A4 1.8T MULTITRONIC,Whole,ICE,default-ice,2,0,2018-10,2024-06
AUDI,A4 1.9 TDI,Whole,ICE,default-ice,1,0,2022-11,2022-11
AUDI,A4 2.0,Whole,ICE,default-ice,2,1,2018-01,2026-04
AUDI,A4 2.0 T FSI QUATTRO,Whole,ICE,default-ice,161,1,2018-01,2026-04
AUDI,A4 2.0 TDI,Whole,ICE,default-ice,3,2,2020-12,2026-06
AUDI,A4 2.0 TDI MULTITRONIC,Whole,ICE,default-ice,1,0,2018-04,2018-04
AUDI,A4 2.0 TFSI 252 CV S-TRONIC FRONT,Whole,ICE,default-ice,89,0,2018-07,2020-06
AUDI,A4 2.0T,Whole,ICE,default-ice,1,0,2021-04,2021-04
AUDI,A4 2.0T FSI,Whole,ICE,default-ice,449,0,2018-01,2021-04
AUDI,A4 2.0T QUATTRO,Whole,ICE,default-ice,1,0,2020-12,2020-12
AUDI,A4 2.0T SLINE,Whole,ICE,default-ice,2,0,2018-12,2021-04
AUDI,A4 2.5TDI,Whole,ICE,default-ice,1,0,2021-04,2021-04
AUDI,A4 3.2 QUATTRO,Whole,ICE,default-ice,1,0,2018-10,2018-10
AUDI,A4 40 TFSI,Whole,ICE,default-ice,259,0,2020-12,2025-08
AUDI,A4 40 TFSI ADVANCED,Whole,ICE,default-ice,99,1,2022-04,2026-06
AUDI,A4 40 TFSI STRONIC,Whole,ICE,default-ice,25,0,2023-03,2024-07
AUDI,A4 45 TFSI ADVANCED QUATTRO,Whole,ICE,default-ice,66,0,2023-07,2025-06
AUDI,A4 ALLROAD 2.0T FSI QUATTRO,Whole,ICE,default-ice,46,0,2018-01,2020-07
AUDI,A4 ALLROAD 45 TFSI STRONIC QUATTRO,Whole,ICE,default-ice,54,0,2023-02,2025-08
AUDI,A4 AVANT 1.8 TFSI MANUAL,Whole,ICE,default-ice,1,0,2018-03,2018-03
AUDI,A4 AVANT 1.9 TDI,Whole,ICE,default-ice,1,0,2019-05,2019-05
AUDI,A4 AVANT 2.0,Whole,ICE,default-ice,1,0,2018-03,2018-03
AUDI,A4 AVANT 2.0 TDI,Whole,ICE,default-ice,1,0,2020-10,2020-10
AUDI,A4 AVANT 2.0T QUATTRO TIPTRONIC,Whole,ICE,default-ice,1,0,2020-09,2020-09
AUDI,A4 TFSI 1.4 AUT,Whole,ICE,default-ice,1,1,2026-01,2026-01
AUDI,A5 2.0T FSI,Whole,ICE,default-ice,81,0,2018-01,2020-11
AUDI,A5 2.0T FSI QUATTRO,Whole,ICE,default-ice,46,0,2018-01,2023-01
AUDI,A5 ADVANCED,Whole,ICE,default-ice,138,115,2025-07,2026-08
AUDI,A5 COUPE 40 TFSI,Whole,ICE,default-ice,3,0,2023-04,2023-07
AUDI,A5 COUPE 45 TFSI SLINE QUATTRO,Whole,ICE,default-ice,16,1,2023-02,2025-12
AUDI,A5 S LINE QUATTRO,Whole,ICE,default-ice,217,155,2025-07,2026-08
AUDI,A5 SPORTBACK 1.8 TFSI,Whole,ICE,default-ice,1,1,2026-08,2026-08
AUDI,A5 SPORTBACK 2.0T FSI,Whole,ICE,default-ice,188,0,2018-01,2022-03
AUDI,A5 SPORTBACK 2.0T FSI QUATTRO,Whole,ICE,default-ice,80,0,2018-01,2021-01
AUDI,A5 SPORTBACK 40 TFSI,Whole,ICE,default-ice,20,0,2023-01,2025-07
AUDI,A5 SPORTBACK 45 TFSI SLINE QUATTRO,Whole,ICE,default-ice,40,1,2023-02,2026-03
AUDI,A6 1.8,Whole,ICE,default-ice,1,0,2021-02,2021-02
AUDI,A6 2.4,Whole,ICE,default-ice,3,0,2018-01,2018-09
AUDI,A6 2.8 FSI,Whole,ICE,default-ice,2,0,2018-05,2019-09
AUDI,A6 3.0 QUATTRO,Whole,ICE,default-ice,1,0,2019-06,2019-06
AUDI,A6 3.0 TDI QUATTRO,Whole,ICE,default-ice,2,1,2018-02,2025-09
AUDI,A6 3.0T FSI QUATTRO,Whole,ICE,default-ice,33,0,2018-01,2022-09
AUDI,A6 4.2 QUATTRO,Whole,ICE,default-ice,1,1,2026-05,2026-05
AUDI,A6 55 TFSI STRONIC QUATTRO,Whole,ICE,default-ice,67,2,2020-01,2026-08
AUDI,A6 ALLROAD 3.0T FSI QUATTRO,Whole,ICE,default-ice,14,0,2018-01,2020-02
AUDI,A6 ALLROAD 55 TFSI STRONIC QUATTRO,Whole,ICE,default-ice,29,3,2020-06,2026-05
AUDI,A6 S LINE QUATTRO,Whole,ICE,default-ice,1,1,2026-08,2026-08
AUDI,A7 SPORTBACK 3.0 T FSI QUATTRO,Whole,ICE,default-ice,12,0,2018-01,2020-08
AUDI,A7 SPORTBACK 55 TFSI STRONIC QUATTRO,Whole,ICE,default-ice,8,0,2020-01,2024-07
AUDI,A8 4.2 QUATTRO,Whole,ICE,default-ice,1,0,2021-02,2021-02
AUDI,A8 L 4.0 TFSI QUATTRO,Whole,ICE,default-ice,1,0,2018-10,2018-10
AUDI,A8 L 60 TFSI TIPTRONIC QUATTRO,Whole,ICE,default-ice,4,0,2019-12,2020-03
AUDI,E-TRON 55 QUATTRO,Whole,BEV,bev-token,8,0,2021-07,2023-11
AUDI,E-TRON SPORTBACK 55 QUATTRO,Whole,BEV,bev-token,20,1,2021-08,2025-11
AUDI,Q2 1.4 TFSI,Whole,ICE,default-ice,345,0,2018-01,2021-07
AUDI,Q2 1.4 TFSI SERIE,Whole,ICE,default-ice,68,0,2018-01,2019-10
