group,year,bev_share,ice_share,phev_share
world,2015.0,0.3513,99.5475,0.1546
world,2015.1,0.3747,99.5182,0.1624
world,2015.2,0.3992,99.4873,0.1704
world,2015.3,0.4250,99.4548,0.1788
world,2015.4,0.4521,99.4207,0.1874
world,2015.5,0.4804,99.3849,0.1963
world,2015.6,0.5101,99.3473,0.2056
world,2015.7,0.5411,99.3079,0.2151
world,2015.8,0.5735,99.2666,0.2249
world,2015.9,0.6074,99.2233,0.2351
world,2016.0,0.6427,99.1780,0.2456
world,2016.1,0.6797,99.1305,0.2564
world,2016.2,0.7182,99.0808,0.2675
world,2016.3,0.7585,99.0288,0.2790
world,2016.4,0.8005,98.9744,0.2909
world,2016.5,0.8442,98.9174,0.3031
world,2016.6,0.8898,98.8579,0.3157
world,2016.7,0.9372,98.7958,0.3286
world,2016.8,0.9865,98.7309,0.3419
world,2016.9,1.0378,98.6632,0.3555
world,2017.0,1.0910,98.5926,0.3695
world,2017.1,1.1465,98.5183,0.3845
world,2017.2,1.2040,98.4407,0.4000
world,2017.3,1.2638,98.3599,0.4160
world,2017.4,1.3257,98.2756,0.4324
world,2017.5,1.3899,98.1879,0.4493
world,2017.6,1.4564,98.0966,0.4667
world,2017.7,1.5253,98.0016,0.4846
world,2017.8,1.5966,97.9029,0.5042
world,2017.9,1.6704,97.8005,0.5332
world,2018.0,1.7466,97.6940,0.5636
world,2018.1,1.8259,97.5836,0.5954
world,2018.2,1.9075,97.4691,0.6286
world,2018.3,1.9917,97.3504,0.6635
world,2018.4,2.0786,97.2273,0.6998
world,2018.5,2.1682,97.0999,0.7378
world,2018.6,2.2607,96.9680,0.7775
world,2018.7,2.3560,96.8315,0.8189
world,2018.8,2.4542,96.6904,0.8620
world,2018.9,2.5554,96.5444,0.9070
world,2019.0,2.6596,96.3936,0.9540
world,2019.1,2.7668,96.2377,1.0030
world,2019.2,2.8772,96.0768,1.0539
world,2019.3,2.9908,95.9107,1.1068
world,2019.4,3.1075,95.7392,1.1619
world,2019.5,3.2276,95.5624,1.2190
world,2019.6,3.3510,95.3800,1.2784
world,2019.7,3.4777,95.1920,1.3400
world,2019.8,3.6079,94.9983,1.4038
world,2019.9,3.7416,94.7988,1.4700
world,2020.0,3.8788,94.5934,1.5386
world,2020.1,4.0197,94.3819,1.6096
world,2020.2,4.1641,94.1644,1.6830
world,2020.3,4.3122,93.9406,1.7590
world,2020.4,4.4641,93.7105,1.8376
world,2020.5,4.6198,93.4740,1.9187
world,2020.6,4.7793,93.2310,2.0025
world,2020.7,4.9427,92.9814,2.0890
world,2020.8,5.1101,92.7251,2.1782
world,2020.9,5.2814,92.4620,2.2703
world,2021.0,5.4568,92.1922,2.3651
world,2021.1,5.6364,91.9136,2.4643
world,2021.2,5.8201,91.6295,2.5649
world,2021.3,6.0080,91.3384,2.6683
world,2021.4,6.2001,91.0402,2.7745
world,2021.5,6.3965,90.7348,2.8836
world,2021.6,6.5972,90.4222,2.9956
world,2021.7,6.8023,90.1022,3.1105
world,2021.8,7.0118,89.7749,3.2282
world,2021.9,7.2257,89.4401,3.3489
world,2022.0,7.4442,89.0979,3.4725
world,2022.1,7.6672,88.7482,3.5989
world,2022.2,7.8948,88.3909,3.7282
world,2022.3,8.1270,88.0260,3.8604
world,2022.4,8.3639,87.6536,3.9954
world,2022.5,8.6055,87.2735,4.1331
world,2022.6,8.8519,86.8859,4.2736
world,2022.7,9.1031,86.4906,4.4167
world,2022.8,9.3591,86.0877,4.5626
world,2022.9,9.6200,85.6772,4.7109
world,2023.0,9.8858,85.2591,4.8618
world,2023.1,10.1566,84.8335,5.0152
world,2023.2,10.4324,84.4004,5.1708
world,2023.3,10.7132,83.9598,5.3288
world,2023.4,10.9990,83.5118,5.4905
world,2023.5,11.2900,83.0564,5.6548
world,2023.6,11.5861,82.5937,5.8213
world,2023.7,11.8874,82.1237,5.9899
world,2023.8,12.1939,81.6467,6.1604
world,2023.9,12.5056,81.1626,6.3327
world,2024.0,12.8226,80.6715,6.5066
world,2024.1,13.1449,80.1735,6.6822
