group,year,bev_share,ice_share,phev_share
world,2015.0,0.3491,99.5649,0.1429
world,2015.1,0.3725,99.5359,0.1505
world,2015.2,0.3971,99.5054,0.1584
world,2015.3,0.4230,99.4731,0.1666
world,2015.4,0.4501,99.4392,0.1752
world,2015.5,0.4786,99.4035,0.1841
world,2015.6,0.5084,99.3660,0.1933
world,2015.7,0.5397,99.3265,0.2028
world,2015.8,0.5723,99.2851,0.2127
world,2015.9,0.6065,99.2417,0.2229
world,2016.0,0.6422,99.1962,0.2334
world,2016.1,0.6794,99.1484,0.2443
world,2016.2,0.7183,99.0984,0.2556
world,2016.3,0.7589,99.0460,0.2673
world,2016.4,0.8013,98.9911,0.2793
world,2016.5,0.8454,98.9337,0.2917
world,2016.6,0.8913,98.8737,0.3045
world,2016.7,0.9391,98.8110,0.3176
world,2016.8,0.9889,98.7455,0.3311
world,2016.9,1.0406,98.6772,0.3450
world,2017.0,1.0943,98.6059,0.3593
world,2017.1,1.1502,98.5309,0.3746
world,2017.2,1.2083,98.4526,0.3904
world,2017.3,1.2685,98.3709,0.4066
world,2017.4,1.3310,98.2858,0.4234
world,2017.5,1.3958,98.1972,0.4406
world,2017.6,1.4629,98.1049,0.4583
world,2017.7,1.5324,98.0090,0.4765
world,2017.8,1.6043,97.9093,0.4951
world,2017.9,1.6787,97.8058,0.5177
world,2018.0,1.7557,97.6982,0.5484
world,2018.1,1.8356,97.5867,0.5806
world,2018.2,1.9179,97.4709,0.6143
world,2018.3,2.0029,97.3510,0.6496
world,2018.4,2.0906,97.2267,0.6864
world,2018.5,2.1810,97.0979,0.7249
world,2018.6,2.2743,96.9647,0.7651
world,2018.7,2.3704,96.8267,0.8071
world,2018.8,2.4695,96.6841,0.8508
world,2018.9,2.5716,96.5366,0.8964
world,2019.0,2.6767,96.3842,0.9439
world,2019.1,2.7848,96.2268,0.9933
world,2019.2,2.8961,96.0642,1.0447
world,2019.3,3.0106,95.8963,1.0982
world,2019.4,3.1284,95.7231,1.1537
world,2019.5,3.2494,95.5445,1.2114
world,2019.6,3.3738,95.3603,1.2714
world,2019.7,3.5016,95.1704,1.3335
world,2019.8,3.6328,94.9748,1.3980
world,2019.9,3.7676,94.7733,1.4649
world,2020.0,3.9058,94.5659,1.5341
world,2020.1,4.0477,94.3524,1.6058
world,2020.2,4.1933,94.1327,1.6800
world,2020.3,4.3425,93.9068,1.7567
world,2020.4,4.4955,93.6745,1.8361
world,2020.5,4.6522,93.4358,1.9181
world,2020.6,4.8129,93.1905,2.0028
world,2020.7,4.9774,92.9387,2.0902
world,2020.8,5.1459,92.6800,2.1804
world,2020.9,5.3183,92.4146,2.2733
world,2021.0,5.4948,92.1424,2.3692
world,2021.1,5.6755,91.8614,2.4695
world,2021.2,5.8604,91.5748,2.5712
world,2021.3,6.0494,91.2812,2.6758
world,2021.4,6.2426,90.9805,2.7832
world,2021.5,6.4401,90.6726,2.8936
world,2021.6,6.6419,90.3573,3.0068
world,2021.7,6.8481,90.0348,3.1231
world,2021.8,7.0587,89.7048,3.2422
world,2021.9,7.2737,89.3675,3.3643
world,2022.0,7.4932,89.0226,3.4894
world,2022.1,7.7172,88.6702,3.6174
world,2022.2,7.9459,88.3102,3.7491
world,2022.3,8.1791,87.9427,3.8838
world,2022.4,8.4170,87.5676,4.0214
world,2022.5,8.6595,87.1849,4.1620
world,2022.6,8.9068,86.7946,4.3054
world,2022.7,9.1589,86.3968,4.4517
world,2022.8,9.4157,85.9913,4.6007
world,2022.9,9.6775,85.5783,4.7524
world,2023.0,9.9441,85.1577,4.9068
world,2023.1,10.2156,84.7296,5.0638
world,2023.2,10.4920,84.2941,5.2232
world,2023.3,10.7735,83.8511,5.3851
world,2023.4,11.0599,83.4009,5.5492
world,2023.5,11.3514,82.9433,5.7156
world,2023.6,11.6480,82.4785,5.8842
world,2023.7,11.9497,82.0066,6.0547
world,2023.8,12.2565,81.5277,6.2271
world,2023.9,12.5685,81.0418,6.4012
world,2024.0,12.8856,80.5492,6.5769
world,2024.1,13.2080,80.0498,6.7542
world,2024.2,13.5357,79.5439,6.9328
world,2024.3,13.8686,79.0315,7.1126
world,2024.4,14.2069,78.5128,7.2933
world,2024.5,14.5504,77.9880,7.4748
world,2024.6,14.8993,77.4572,7.6569
world,2024.7,15.2536,76.9207,7.8395
world,2024.8,15.6132,76.3784,8.0223
world,2024.9,15.9783,75.8307,8.2053
world,2025.0,16.3487,75.2778,8.3880
world,2025.1,16.7246,74.7198,8.5704
world,2025.2,17.1060,74.1569,8.7521
world,2025.3,17.4929,73.5895,8.9330
world,2025.4,17.8852,73.0175,9.1128
world,2025.5,18.2830,72.4415,9.2913
world,2025.6,18.6863,71.8614,9.4682
world,2025.7,19.0950,71.2776,9.6434
world,2025.8,19.5093,70.6904,9.8165
world,2025.9,19.9291,70.0999,9.9874
world,2026.0,20.3543,69.5065,10.1556
world,2026.1,20.7851,68.9105,10.3211
world,2026.2,21.2212,68.3120,10.4843
world,2026.3,21.6628,67.7113,10.6446
world,2026.4,22.1098,67.1088,10.8012
world,2026.5,22.5621,66.5048,10.9540
world,2026.6,23.0198,65.8995,11.1027
world,2026.7,23.4827,65.2933,11.2469
world,2026.8,23.9508,64.6864,11.3866
world,2026.9,24.4240,64.0793,11.5213
world,2027.0,24.9022,63.4721,11.6510
world,2027.1,25.3854,62.8654,11.7752
world,2027.2,25.8734,62.2593,11.8939
world,2027.3,26.3661,61.6542,12.0067
world,2027.4,26.8634,61.0506,12.1135
world,2027.5,27.3651,60.4487,12.2140
world,2027.6,27.8710,59.8490,12.3081
world,2027.7,28.3811,59.2518,12.3957
world,2027.8,28.8950,58.6575,12.4771
world,2027.9,29.4126,58.0664,12.5516
world,2028.0,29.9337,57.4790,12.6189
world,2028.1,30.4580,56.8956,12.6789
world,2028.2,30.9853,56.3165,12.7316
