"country","variant","v1","v2","t0","data_per","model_date","source","baseline_date","ice_v1","ice_v2","ice_t0","ttm_bev_share","obs_bev_share","obs_phev_share","obs_ice_share","refit_swing"
"Austria","Whole",-0.000457901292779738,1.7600672316783,2011,"2016-02","2016-02","backtest","",-0.000457901292779738,1.7600672316783,2011,0.00662324831656397,0.00662324831656397,0,0.993376751683436,
"Brazil","Whole",-2.13437090817724e-06,1.63195277310789,2011,"2016-02","2016-02","backtest","",-2.13437090817724e-06,1.63195277310789,2011,2.53104274975021e-05,2.53104274975021e-05,0,0.999974689572502,
"China","Whole",-6.75942612602551e-07,4.79028242935731,2009,"2016-02","2016-02","backtest","",-2.21885659765598e-06,4.36101880962595,2009,,0.00916874777024617,0.00281840884766322,0.988012843382091,
"Czechia","Whole",-0.000128334461789667,1.27830182019571,2010,"2016-02","2016-02","backtest","",-0.000369946074754353,1.57853157641811,2010,0.0011165547281635,0.0011165547281635,0.00469547349562294,0.994187971776214,
"Denmark","Whole",-0.0029822723318044,2.02198863130326,2013,"2016-02","2016-02","backtest","",-0.00303817474617062,2.10238599335678,2013,0.0203229782920131,0.0203229782920131,0.00208941158552547,0.977587610122461,
"Finland","Buses",0,4.15,2013,"2016-02","2016-02","backtest","",0,4.15,2013,0,0,0,1,
"Finland","HDV",-5.51916491124235e-05,1.42762012455067,2013,"2016-02","2016-02","backtest","",-5.51916491124235e-05,1.42762012455067,2013,0.000350385423966363,0.000350385423966363,0,0.999649614576034,
"Finland","Industry",-0.0030513549715213,0.517393433259615,2013,"2016-02","2016-02","backtest","",-0.00454898067955986,1.23216787166931,2013,0.00497329158224351,0.00497329158224351,0.00936768149882904,0.985659026918927,
"Finland","Private",-0.000461087018130731,0.690688291198402,2013,"2016-02","2016-02","backtest","",-0.00112856038609377,1.3281246447542,2013,0.00108081817936178,0.00108081817936178,0.00297224999324489,0.995946931827393,
"Finland","Vans",-0.00164170974282735,0.822906096796907,2013,"2016-02","2016-02","backtest","",-0.00164170974282735,0.822906096796907,2013,0.00316455696202532,0.00316455696202532,0,0.996835443037975,
"Finland","Whole",-0.00137248789613762,0.543435528663713,2013,"2016-02","2016-02","backtest","",-0.00244104495057394,1.19437733902439,2013,0.00240133546388624,0.00240133546388624,0.00514189303791253,0.992456771498201,
"France","Whole",-0.000628981030645415,1.57321831453502,2010,"2016-02","2016-02","backtest","",-0.000447139760961608,1.93532759174391,2010,0.00935800163705557,0.00935800163705557,0.00702042832603811,0.983621570036906,
"Germany","Whole",-0.000559045011196244,1.27005375766739,2011,"2016-02","2016-02","backtest","",-0.00250279135564116,0.788476127987681,2011,0.00385683535794556,0.00385683535794556,0.00447705427025515,0.991666110371799,
"Indonesia","Whole",-2.32103040235737e-06,-0.952227074302587,2009,"2016-02","2016-02","backtest","",-2.32103040235737e-06,-0.952227074302587,2009,0,0,0,1,
"Ireland","Buses",0,4.15,2009,"2016-02","2016-02","backtest","",0,4.15,2009,0,0,0,1,
"Ireland","HDV",-0.00452567569079804,-2.75606227304272,2009,"2016-02","2016-02","backtest","",-0.00452567569079804,-2.75606227304272,2009,0,0,0,1,
"Ireland","Vans",-0.00120440371219066,-0.283694217750419,2009,"2016-02","2016-02","backtest","",-0.00120368724188731,-0.258123446067006,2009,0.000715307582260372,0.000715307582260372,0,0.99928469241774,
"Ireland","Whole",-3.69713370387625e-05,2.02276873838324,2007,"2016-02","2016-02","backtest","",-1.64869108956818e-05,2.5195090696074,2007,0.00339366515837104,0.00339366515837104,0.00113833632146618,0.995467998520163,
"Japan","Whole",-0.00358086431428374,0.193580939320962,2011,"2016-02","2016-02","backtest","",-0.00739639422082546,0.199672821164375,2011,0.00486116134303388,0.00486116134303388,0.00455004701715251,0.990588791639814,
"Luxembourg","HDV",-0.000308018288371265,-0.576189962513726,2009,"2016-02","2016-02","backtest","",-0.000308018288371265,-0.576189962513726,2009,0,0,0,1,
"Luxembourg","Vans",-0.00251199965796729,0.393295258990133,2009,"2016-02","2016-02","backtest","",-0.00251200021148778,0.393295105040808,2009,0.00129600829445308,0.00129600829445308,0,0.998703991705547,
"Luxembourg","Whole",-0.000385680052849505,1.24144045535396,2009,"2016-02","2016-02","backtest","",-0.000483227278533717,1.21932684815607,2009,0.00166631512339169,0.00166631512339169,0.000527314912465724,0.997806369964143,
"Netherlands","Whole",-0.00113795956704615,1.16291937749326,2010,"2016-02","2016-02","backtest","",-0.00647693682097058,1.55909546022633,2010,0.00871442840858155,0.00871442840858155,0.0813650025824742,0.909920569008944,
"New Zealand","Whole",-1.64029816141767e-05,2.75817607383129,2011,"2016-02","2016-02","backtest","",-0.000102580944605116,1.90799943548321,2011,0.00115901715345387,0.00115901715345387,0.000779397042322603,0.998061585804224,
"Norway","Whole",-7.54765213740565e-07,5.06166950188623,2004,"2016-02","2016-02","backtest","",-4.75875252702247e-08,6.32273714228494,2004,0.165294407937456,0.165294407937456,0.0641282044622218,0.770577387600322,
"Poland","Whole",-0.000131624086712714,0.335156164013623,2010,"2016-02","2016-02","backtest","",-3.04210824796472e-05,1.77551587393373,2010,0.000209238580804453,0.000209238580804453,0.000639340108013605,0.999151421311182,
"Portugal","Whole",-7.82646865543688e-05,1.99391725073714,2009,"2016-02","2016-02","backtest","",-3.30724986921966e-06,4.02304946261448,2009,0.00371083683710837,0.00371083683710837,0.00314661603146616,0.993142547131425,
"Sweden","Whole",-2.25863069190779e-08,5.3840885507585,2005,"2016-02","2016-02","backtest","",-1.14966730054505e-08,6.1838734300674,2005,0.00826653922304909,0.00826653922304909,0.0162490612412098,0.975484399535741,
"Switzerland","Whole",-0.000135126178321274,2.35767842374955,2009,"2016-02","2016-02","backtest","",-5.59075694828985e-05,3.10828319042857,2009,0.0122614934407847,0.0122614934407847,0.00807404908851674,0.979664457470699,
"USA","Whole",-0.000618305915269817,1.13970046767044,2010,"2016-02","2016-02","backtest","",-0.00193313001319627,0.790450704557776,2010,0.00404884748936155,0.00404884748936155,0.00259904008640964,0.993352112424229,
