"country","variant","v1","v2","t0","data_per","model_date","source","baseline_date","ice_v1","ice_v2","ice_t0","ttm_bev_share","obs_bev_share","obs_phev_share","obs_ice_share","refit_swing"
"Albania","2-Wheelers",-0.021694828549757,-0.326735262803561,2019,"2024-03","2024-03","backtest","",-0.0216948295324023,-0.326735299824156,2019,0.0115957078573901,0.0115957078573901,0,0.98840429214261,
"Albania","Buses",-1.98760705247524e-208,289.829157978744,2019,"2024-03","2024-03","backtest","",-1.98760705247524e-208,289.829157978744,2019,0.00702576112412178,0.00702576112412178,0,0.992974238875878,
"Albania","HDV",0,4.15,2019,"2024-03","2024-03","backtest","",0,4.15,2019,0,0,0,1,
"Albania","Whole",-0.00010965967730257,3.17519304426991,2018,"2024-03","2024-03","backtest","",-0.000194942252519965,2.91733277194396,2018,0.0276675423397239,0.0276675423397239,0.00375887317645744,0.968573584483819,
"Australia","Whole",-1.25848387963205e-05,3.84152646996074,2014,"2024-03","2024-03","backtest","",-2.69827690646477e-05,3.56086011475434,2014,0.0802286932603875,0.0802286932603875,0.0116039536914585,0.908167353048154,
"Austria","Used",-0.00224196268803328,1.47401928594139,2018,"2024-03","2024-03","backtest","",-0.00302015862224991,1.56772812746856,2018,0.0280971318156648,0.0280971318156648,0.0164080641143298,0.955494804070005,
"Austria","Whole",-8.43132050897114e-06,4.03000843078573,2011,"2024-03","2024-03","backtest","",-9.03937860481023e-06,4.14836393349353,2011,0.197141556059676,0.197141556059676,0.0703748730996278,0.732483570840697,
"Belgium","Whole",-0.000574368203532878,3.15853757710471,2017,"2024-03","2024-03","backtest","",-0.00470703768969306,2.50062376975249,2017,0.212898580076059,0.212898580076059,0.217417133598866,0.569684286325075,
"Brazil","Whole",-2.62889591627616e-34,28.6969765229394,2011,"2024-03","2024-03","backtest","",-6.1271398943071e-24,19.6370081695452,2011,0.014106456401042,0.014106456401042,0.0169044905934508,0.968989053005507,
"Bulgaria","Whole",-0.00126212893466878,1.88182746688868,2017,"2024-03","2024-03","backtest","",-0.00157936401250578,1.87309219070161,2017,0.0447339165740248,0.0447339165740248,0.0106095026342501,0.944656580791725,
"Canada","Pickups",-8.41391274492329e-08,6.05598262566822,2016,"2024-02","2024-03","backtest","",-8.43129779275945e-08,6.05506798994114,2016,0.0191831819281614,0.0191831819281614,5.49897719024261e-06,0.980811319094648,
"Canada","Vans",-2.38932775719159e-06,4.61302489487848,2016,"2024-02","2024-03","backtest","",-0.000797570371871876,2.10191324555131,2016,0.0279256369351298,0.0279256369351298,0.0258406911911042,0.946233671873766,
"Canada","Whole",-1.84135751299231e-06,4.22293210055877,2010,"2024-02","2024-03","backtest","",-8.68663647712681e-06,3.7353016061485,2010,0.108748361194876,0.108748361194876,0.0366246033831768,0.854627035421947,
"Chile","Whole",-4.25409179019963e-08,5.20218204936375,2014,"2024-03","2024-03","backtest","",-9.75571687666475e-08,4.9666804216867,2014,0.00544352091565608,0.00544352091565608,0.00212222373620384,0.99243425534814,
"China","Whole",-2.49708735474799e-07,5.1956337820359,2009,"2024-03","2024-03","backtest","",-1.74827442829758e-08,6.36892511339603,2009,0.23757973227922,0.23757973227922,0.130446500763633,0.631973766957147,
"Colombia","Whole",-0.00084493004717478,1.80909914106863,2018,"2024-03","2024-03","backtest","",-0.000844930047451695,1.80909914092117,2018,0.0214132048096326,0.0214132048096326,0,0.978586795190367,
"Croatia","Whole",-0.0117952834820703,0.479787826644418,2018,"2024-03","2024-03","backtest","",-0.0154054459012268,0.65457767890625,2018,0.021244436980435,0.021244436980435,0.0188093038878159,0.959946259131749,
"Cyprus","Whole",-0.000700691914107958,2.90637385927115,2019,"2024-03","2024-03","backtest","",-0.00157945558503514,2.71028910605207,2019,0.0610495780590717,0.0610495780590717,0.0390954641350211,0.899854957805907,
"Czechia","Whole",-2.67706923612809e-07,4.446193771312,2010,"2024-03","2024-03","backtest","",-2.72275897898416e-06,3.79231820742801,2010,0.0299528926770342,0.0299528926770342,0.0244024016202404,0.945644705702725,
