"country","variant","v1","v2","t0","data_per","model_date","source","baseline_date","ice_v1","ice_v2","ice_t0","ttm_bev_share","obs_bev_share","obs_phev_share","obs_ice_share","refit_swing"
"Austria","Whole",-0.000486565363231583,1.80883580135073,2011,"2018-06","2018-06","backtest","",-0.000196023408628092,2.37534645954476,2011,,0.0157123179051686,0.00367775405324219,0.980609928041589,
"Brazil","Whole",-2.69228507328842e-07,3.12662759057921,2011,"2018-06","2018-06","backtest","",-2.69228507328842e-07,3.12662759057921,2011,0.000124227347188769,0.000124227347188769,0,0.999875772652811,
"Chile","Whole",-2.02737256402897e-05,1.89868229171353,2014,"2018-06","2018-06","backtest","",-2.82132695253273e-05,1.89876886462282,2014,0.000265617223349894,0.000265617223349894,0.000104043612832908,0.999630339163817,
"China","Whole",-7.00159633139959e-08,5.86981163160837,2009,"2018-06","2018-06","backtest","",-1.05133867505549e-07,5.80230364245681,2009,0.0266898799333718,0.0266898799333718,0.0078157280801774,0.965494391986451,
"Czechia","Whole",-0.000139969182052997,1.11780494147487,2010,"2018-06","2018-06","backtest","",-0.000831024772582641,1.11302274458367,2010,0.00158127178899509,0.00158127178899509,0.00613161390179744,0.992287114309207,
"Denmark","Whole",-0.012636545828644,-0.354382420342147,2013,"2018-06","2018-06","backtest","",-0.0107060780935544,0.113600792242362,2013,,0.004960226753223,0.00992959678156716,0.98511017646521,
"Finland","Buses",-0.000613031935183304,1.92013031686638,2013,"2018-06","2018-06","backtest","",-0.000613031939753482,1.92013031168155,2013,0.00595238095238095,0.00595238095238095,0,0.994047619047619,
"Finland","HDV",-0.000108297000246091,-0.589046049185265,2013,"2018-06","2018-06","backtest","",-0.000108297000246091,-0.589046049185265,2013,0,0,0,1,
"Finland","Industry",-0.00247153272862109,0.630640814715362,2013,"2018-06","2018-06","backtest","",-0.0011367574821573,2.41114558294604,2013,0.00737972909855208,0.00737972909855208,0.049112564222326,0.943507706679122,
"Finland","Private",-0.000108030056871846,2.1338343778814,2013,"2018-06","2018-06","backtest","",-3.97581421469019e-05,4.1634684395828,2013,0.0032868722815342,0.0032868722815342,0.0285933175168051,0.968119810201661,
"Finland","Vans",-0.00300134676465698,-0.0160320853760447,2013,"2018-06","2018-06","backtest","",-0.00291538759563064,0.0766567962051539,2013,0.00202365142604186,0.00202365142604186,0.000442673749446658,0.997533674824511,
"Finland","Whole",-0.000694044851572538,1.16593851202745,2013,"2018-06","2018-06","backtest","",-0.000205715909448447,3.28015114272935,2013,0.0047031063128293,0.0047031063128293,0.0356935061576753,0.959603387529495,
"France","Whole",-0.00111914289279774,1.18123319017092,2010,"2018-06","2018-06","backtest","",-0.000932013727309423,1.4530318712455,2010,,0.0119637560493145,0.00613896127052172,0.981897282680164,
"Germany","Whole",-0.000182310367528832,1.96021426900365,2011,"2018-06","2018-06","backtest","",-0.000512815581640815,1.88333651281343,2011,0.00918939205047882,0.00918939205047882,0.0127291150061805,0.978081492943341,
"Indonesia","Whole",-2.44147029567479e-06,-1.08417127512149,2009,"2018-06","2018-06","backtest","",-2.44147029567479e-06,-1.08417127512149,2009,0,0,0,1,
"Ireland","Buses",0,4.15,2009,"2018-06","2018-06","backtest","",0,4.15,2009,0,0,0,1,
"Ireland","HDV",-0.00453197516539652,-2.76873498776385,2009,"2018-06","2018-06","backtest","",-0.00453197516539652,-2.76873498776385,2009,0,0,0,1,
