"country","variant","v1","v2","t0","data_per","model_date","source","baseline_date","ice_v1","ice_v2","ice_t0","ttm_bev_share","refit_swing"
"Austria","Whole",-0.000360548179207068,1.99595900531021,2011,"2018-01","2018-01","backtest","",-0.000285667958399882,2.14346761345517,2011,0.0140366844021283,
"Brazil","Whole",-1.60663268686578e-07,3.43035195237743,2011,"2018-01","2018-01","backtest","",-1.60663268686578e-07,3.43035195237743,2011,0.000109346414657061,
"Chile","Whole",-1.18799652691515e-05,2.35200924971597,2014,"2018-01","2018-01","backtest","",-1.65321415226025e-05,2.3521074828814,2014,8.13705958165014e-05,
"China","Whole",-1.49865788881935e-06,4.3798789060712,2009,"2018-01","2018-01","backtest","",-3.97296045123713e-06,4.03476309070625,2009,0.0302513038089506,
"Czechia","Whole",-0.000261316763597081,0.720264883899403,2010,"2018-01","2018-01","backtest","",-0.000203842001766333,1.94348071116722,2010,0.000775227184633274,
"Denmark","Whole",-0.0122600545915445,-0.293732247871675,2013,"2018-01","2018-01","backtest","",-0.0118440567302812,-0.0311581509750867,2013,0.00180931798763633,
"Finland","Buses",-0.000445658663083539,2.20252316150356,2013,"2018-01","2018-01","backtest","",-0.000445658663082579,2.20252316150435,2013,0,
"Finland","HDV",-0.000105591284479959,-0.474473605119521,2013,"2018-01","2018-01","backtest","",-0.000105591284480064,-0.474473605118777,2013,0,
"Finland","Industry",-0.00298470773057421,0.424986668808029,2013,"2018-01","2018-01","backtest","",-0.00161698936207259,2.14180388457554,2013,0.00477707006369427,
"Finland","Private",-0.000186582340643028,1.7059555877626,2013,"2018-01","2018-01","backtest","",-5.40558284025948e-05,3.94467806601366,2013,0.00163256421419242,
"Finland","Vans",-0.00268301989478362,0.157940673794917,2013,"2018-01","2018-01","backtest","",-0.00251077231676521,0.286465724137568,2013,0.000663129973474801,
"Finland","Whole",-0.0010078966528603,0.830829795127267,2013,"2018-01","2018-01","backtest","",-0.000318148625733568,2.96409186267728,2013,0.00265017667844523,
"France","Whole",-0.00105471489756507,1.2197048819295,2010,"2018-01","2018-01","backtest","",-0.000821483637788001,1.5305059506866,2010,0.00808851677595426,
"Germany","Whole",-0.000214955585243106,1.85728582678797,2011,"2018-01","2018-01","backtest","",-0.000774261309575276,1.63026056516639,2011,0.0102587323562052,
"Indonesia","Whole",-2.42612296296716e-06,-1.0677903103616,2009,"2018-01","2018-01","backtest","",-2.42612296296716e-06,-1.0677903103616,2009,0,
"Ireland","Buses",0,4.15,2009,"2018-01","2018-01","backtest","",0,4.15,2009,0,
"Ireland","HDV",-0.00453151165486041,-2.76781586070532,2009,"2018-01","2018-01","backtest","",-0.0045315116548604,-2.7678158607053,2009,0,
"Ireland","Vans",-3.30669299055291e-12,9.33834290927095,2009,"2018-01","2018-01","backtest","",-1.27261994531166e-11,8.7206801227752,2009,0.00266587677725119,
"Ireland","Whole",-8.49326124307954e-05,1.60294303405297,2007,"2018-01","2018-01","backtest","",-2.57073792678449e-05,2.31579694302851,2007,0.00280898876404494,
"Italy","NonRental",-0.00055755952209504,0.248387921302736,2014,"2018-01","2018-01","backtest","",-0.0143175050088089,-0.578800835916109,2014,0.00113147770988912,
"Italy","Rental",-0.00168338642968395,-0.0117044738019901,2014,"2018-01","2018-01","backtest","",-0.0441335354619784,-0.79624823336532,2014,0.00240749830540168,
"Italy","Whole",-0.000765417019261846,0.189117782604373,2014,"2018-01","2018-01","backtest","",-0.0200872868052048,-0.626452378393691,2014,0.00143515119150925,
"Japan","Whole",-0.00327058552052505,0.296565485751246,2011,"2018-01","2018-01","backtest","",-0.00557567022926367,0.488288795681946,2011,0.0104622938928103,
"Latvia","Whole",-0.000873187350061567,0.645910698843614,2014,"2018-01","2018-01","backtest","",-0.0014712018035909,0.59314671102256,2014,0.00198019801980198,
"Luxembourg","HDV",-5.95891819342492e-15,12.7055284947964,2009,"2018-01","2018-01","backtest","",-5.95891702142543e-15,12.7055285840739,2009,0.0123456790123457,
"Luxembourg","Vans",-0.00199933713182373,0.56043553908087,2009,"2018-01","2018-01","backtest","",-0.00199933732117966,0.56043550294155,2009,0.00549450549450549,
"Luxembourg","Whole",-0.000242768618313057,1.50786533114907,2009,"2018-01","2018-01","backtest","",-9.04415718502188e-09,6.82198017941803,2009,0.00643382352941176,
"Netherlands","Whole",-0.000239863280459724,2.15751024271195,2010,"2018-01","2018-01","backtest","",-0.0162465460876162,0.70903313724857,2010,0.0225027535372363,
