"country","variant","v1","v2","t0","data_per","model_date","source","baseline_date","ice_v1","ice_v2","ice_t0","ttm_bev_share","refit_swing"
"Austria","Whole",-0.000229071936938644,2.24653037583886,2011,"2019-05","2019-05","backtest","",-9.33378951935667e-05,2.79176020093186,2011,0.0228625629619939,
"Brazil","Whole",-1.16787576968449e-06,2.25248017095565,2011,"2019-05","2019-05","backtest","",-1.16787576968449e-06,2.25248017095565,2011,0.000108930534300273,
"Chile","Whole",-1.39568039977684e-05,2.19079619233522,2014,"2019-05","2019-05","backtest","",-2.09830641980604e-05,2.13512634952178,2014,0.000352518907832329,
"China","Whole",-8.22788594192555e-07,4.70192143565928,2009,"2019-05","2019-05","backtest","",-1.1586513324531e-06,4.6672834556252,2009,0.0463476393046654,
"Czechia","Whole",-2.96238033450954e-05,1.96619077209227,2010,"2019-05","2019-05","backtest","",-0.0016334570538597,0.673758325230487,2010,0.002535433725425,
"Denmark","Whole",-0.0102517336169224,-0.0512976184062191,2013,"2019-05","2019-05","backtest","",-0.00448155989921617,0.913778547579104,2013,0.0220411574219158,
"Finland","Buses",-0.00148436933834215,1.00601049207409,2013,"2019-05","2019-05","backtest","",-0.00148436939511872,1.00601045759614,2013,0,
"Finland","HDV",-0.000111982907115875,-0.745918873020341,2013,"2019-05","2019-05","backtest","",-2.10670053985059e-05,1.34052820172956,2013,0,
"Finland","Industry",-0.00061821870981569,1.68289721036361,2013,"2019-05","2019-05","backtest","",-0.0020988144972052,1.98530703383364,2013,0.00756322382415505,
"Finland","Private",-8.77083972939494e-08,6.53348501506385,2013,"2019-05","2019-05","backtest","",-0.000242080066523378,2.96941890290551,2013,0.00915915915915916,
"Finland","Vans",-0.00262067837620115,0.160554700360125,2013,"2019-05","2019-05","backtest","",-0.00255697478399907,0.240749709109821,2013,0.00226073850791258,
"Finland","Whole",-9.43595534830422e-06,3.97193423859219,2013,"2019-05","2019-05","backtest","",-0.000631813793234559,2.52429169422045,2013,0.00853916077495179,
"France","Whole",-0.000869180130483775,1.33431412037486,2010,"2019-05","2019-05","backtest","",-0.000776253266442395,1.56000492924651,2010,0.0144157931767642,
"Germany","Whole",-3.35013967439624e-05,2.90058637866469,2011,"2019-05","2019-05","backtest","",-9.12666221271082e-05,2.84669433964045,2011,0.0139054907166584,
"Greece","Whole",-0.000211511178020377,0.903074468635389,2014,"2019-05","2019-05","backtest","",-0.000343894157554387,1.40175053850305,2014,0.00168080067232027,
"Indonesia","Whole",-2.46878000099403e-06,-1.11294382917365,2009,"2019-05","2019-05","backtest","",-2.46878000099403e-06,-1.11294382917365,2009,0,
"Ireland","Buses",0,4.15,2009,"2019-05","2019-05","backtest","",0,4.15,2009,0,
"Ireland","HDV",-0.00453268141652156,-2.77012854545214,2009,"2019-05","2019-05","backtest","",-0.00453268141652156,-2.77012854545214,2009,0,
"Ireland","Vans",-1.77923647087279e-09,6.33260945606386,2009,"2019-05","2019-05","backtest","",-1.59064156300936e-09,6.39218139332775,2009,0.0337798485730926,
"Ireland","Whole",-1.15828405690195e-15,12.3005527125804,2007,"2019-05","2019-05","backtest","",-3.68180656176403e-14,11.0500249600146,2007,0.0270569620253165,
"Israel","Vans",0,4.15,2016,"2019-05","2019-05","backtest","",-4.96055722551714e-05,1.98923736551707,2016,0,
"Israel","Whole",-0.000113790343476216,1.80543255753991,2016,"2019-05","2019-05","backtest","",-0.0060719326255962,0.885281139126795,2016,0.00128872622300119,
"Italy","NonRental",-2.17814840240767e-05,3.02327499993482,2014,"2019-05","2019-05","backtest","",-0.0149696359143791,-0.698378752943909,2014,0.00450096722912796,
"Italy","Rental",-2.04633215431349e-05,3.60862137235852,2014,"2019-05","2019-05","backtest","",-0.0453049843042015,-0.879430025790424,2014,0.0111232850609756,
"Italy","Whole",-2.33459682316664e-05,3.14497767028027,2014,"2019-05","2019-05","backtest","",-0.0209282654660343,-0.740034666405021,2014,0.00590080406007542,
"Japan","Whole",-0.00268448633104133,0.479404598205175,2011,"2019-05","2019-05","backtest","",-0.0056067687228978,0.486262949366966,2011,0.00823002690043078,
"Latvia","Whole",-0.000309604436931959,1.70988755154372,2014,"2019-05","2019-05","backtest","",-0.000962551551865124,1.07855094842887,2014,0.00566893424036281,
"Lithuania","Whole",-0.00160301781470743,0.711566275364883,2016,"2019-05","2019-05","backtest","",-0.00160301781470743,0.711566275364883,2016,0.00226500566251416,
"Luxembourg","HDV",-2.1759935912721e-10,8.01581160861952,2009,"2019-05","2019-05","backtest","",-1.30111643093512e-08,6.34752611553762,2009,0,
