"country","variant","v1","v2","t0","data_per","model_date","source","baseline_date","ice_v1","ice_v2","ice_t0","ttm_bev_share","refit_swing"
"Albania","2-Wheelers",-0.0264328354257895,-0.691067521372418,2019,"2023-02","2023-02","backtest","",-0.0264328363772908,-0.69106757526655,2019,0,
"Albania","Buses",0,4.15,2019,"2023-02","2023-02","backtest","",0,4.15,2019,0,
"Albania","HDV",0,4.15,2019,"2023-02","2023-02","backtest","",0,4.15,2019,0,
"Albania","Whole",-7.91174424219121e-05,3.37730547916563,2018,"2023-02","2023-02","backtest","",-6.34332745061637e-05,3.65953838293179,2018,0.033096926713948,
"Australia","Whole",-4.69355595938205e-05,3.11312875896965,2014,"2023-02","2023-02","backtest","",-0.000106354236576369,2.78914346513955,2014,0.0714070757045009,
"Austria","Used",-0.00192551910974027,1.61159917504182,2018,"2023-02","2023-02","backtest","",-0.00273561654768629,1.66093298405798,2018,0.0215264543061984,
"Austria","Whole",-9.29861995611095e-07,5.0004004586726,2011,"2023-02","2023-02","backtest","",-8.3371549001764e-07,5.2013057558278,2011,0.190835428890752,
"Belgium","Whole",-0.00114883236388005,2.69532343813488,2017,"2023-02","2023-02","backtest","",-0.00517638578751119,2.42571752507725,2017,0.122385173247381,
"Brazil","Whole",-1.79650787275617e-12,8.80817273807356,2011,"2023-02","2023-02","backtest","",-8.98196179160742e-19,14.825478398547,2011,0.00532083465381215,
"Bulgaria","Whole",-0.000676288227701369,2.28018645392899,2017,"2023-02","2023-02","backtest","",-0.001309889770995,1.98260289843978,2017,0.0316724604094245,
"Canada","Pickups",-1.59009909141069e-12,11.8222322206219,2016,"2023-02","2023-02","backtest","",-1.59536209449889e-12,11.8205287746609,2016,0.0160769857948347,
"Canada","Vans",-1.14647178546395e-10,10.0217349051235,2016,"2023-02","2023-02","backtest","",-0.000100345632170487,3.32818040515514,2016,0.033203590436095,
"Canada","Whole",-8.78656965479606e-07,4.53073522783443,2010,"2023-02","2023-02","backtest","",-1.4847663917187e-05,3.50502096506711,2010,0.0874223311580854,
"Chile","Whole",-2.65381422589934e-10,7.63772632853738,2014,"2023-02","2023-02","backtest","",-3.16500518280224e-08,5.52941071874156,2014,0.00911517925247902,
"China","Whole",-3.78130414075805e-09,6.86379475645048,2009,"2023-02","2023-02","backtest","",-5.00633652967981e-10,7.7707226413383,2009,0.212230215827338,
"Colombia","Whole",-0.00204300273875257,1.12099063742455,2018,"2023-02","2023-02","backtest","",-0.00204300275786897,1.12099063080565,2018,0.0204936235010469,
"Croatia","Whole",-0.00248545236241263,1.81616887746184,2018,"2023-02","2023-02","backtest","",-0.00406560084665951,1.80539648543172,2018,0.0415438220316269,
