"country","variant","v1","v2","t0","data_per","model_date","source","baseline_date","ice_v1","ice_v2","ice_t0","ttm_bev_share","refit_swing"
"Albania","2-Wheelers",-0.0203491820897461,-0.236146379530112,2019,"2023-08","2023-08","backtest","",-0.020349183545183,-0.236146427214459,2019,0.00336700336700337,
"Albania","Buses",0,4.15,2019,"2023-08","2023-08","backtest","",0,4.15,2019,0,
"Albania","HDV",0,4.15,2019,"2023-08","2023-08","backtest","",0,4.15,2019,0,
"Albania","Whole",-0.000126400691116225,3.06502718306158,2018,"2023-08","2023-08","backtest","",-0.000131142910582312,3.15758303889576,2018,0.0234291799787007,
"Australia","Whole",-1.32835744680808e-05,3.81432582146447,2014,"2023-08","2023-08","backtest","",-3.68423764638293e-05,3.39509682821644,2014,0.0660875489695112,
"Austria","Used",-0.00245386437419494,1.39882216042501,2018,"2023-08","2023-08","backtest","",-0.00338880023306733,1.47389674307307,2018,0.0265125228692196,
"Austria","Whole",-2.63256874124191e-06,4.53986773754692,2011,"2023-08","2023-08","backtest","",-2.59389839470094e-06,4.69748014019438,2011,0.209952102182012,
"Belgium","Whole",-0.000515305906169699,3.22136334114214,2017,"2023-08","2023-08","backtest","",-0.00413066762251365,2.58371838443914,2017,0.122385173247381,
"Brazil","Whole",-7.0607925824857e-10,6.27729848763878,2011,"2023-08","2023-08","backtest","",-2.93896426489472e-21,17.1577693678712,2011,0.00592482027537468,
"Bulgaria","Whole",-0.000760271916001073,2.20170844587065,2017,"2023-08","2023-08","backtest","",-0.0011685471617162,2.06173323578066,2017,0.0441908106526193,
"Canada","Pickups",-2.67407559992544e-09,7.84578609828554,2016,"2023-08","2023-08","backtest","",-2.6672589520471e-09,7.8472763496549,2016,0.0210944092002875,
"Canada","Vans",-8.19403448379234e-08,6.44575035294559,2016,"2023-08","2023-08","backtest","",-0.000291034374943552,2.70638661770674,2016,0.0294083925705114,
"Canada","Whole",-8.80084277662959e-07,4.52868656444468,2010,"2023-08","2023-08","backtest","",-7.23275574818519e-06,3.81162951637787,2010,0.119865552864416,
"Chile","Whole",-2.10344512276503e-07,4.44502105141621,2014,"2023-08","2023-08","backtest","",-6.69512094360707e-07,4.05088091360994,2014,0.00286077558804832,
"China","Whole",-2.77482958619082e-08,6.06948591736198,2009,"2023-08","2023-08","backtest","",-2.80699063743324e-09,7.08866150511728,2009,0.255729166666667,
"Colombia","Whole",-0.00156931779081176,1.34684559926879,2018,"2023-08","2023-08","backtest","",-0.0015693177908022,1.34684559927244,2018,0.0196608337274508,
"Croatia","Whole",-0.00854162878642891,0.75621995521412,2018,"2023-08","2023-08","backtest","",-0.0133255435508246,0.7739033099366,2018,0.0419760137064535,
"Cyprus","Whole",-0.000717896796006064,2.88528515691295,2019,"2023-08","2023-08","backtest","",-0.00166893872889382,2.66505308911613,2019,0.0557065217391304,
"Czechia","Whole",-8.60926300834884e-08,4.91262540941863,2010,"2023-08","2023-08","backtest","",-1.4614725026698e-06,4.05041563717779,2010,0.0317875841436051,
"Denmark","HDV",-0.00276735430244865,3.25666789226681,2020,"2023-08","2023-08","backtest","",-0.00276735430630295,3.2566678910274,2020,0.148014440433213,
"Denmark","Industry",-0.00164285771877526,2.73284414684793,2017,"2023-08","2023-08","backtest","",-0.0117611650932076,2.06944625895003,2017,0.282451465550057,
"Denmark","Private",-0.00160518029474311,3.1351084094834,2017,"2023-08","2023-08","backtest","",-0.0110602005834391,2.36353174181432,2017,0.394619911132461,
"Denmark","Vans",-0.00049840244929416,2.94186919887574,2017,"2023-08","2023-08","backtest","",-0.000794316636871435,2.77337797750445,2017,0.114932126696833,
"Denmark","Whole",-1.13623085944149e-06,5.46859207440341,2013,"2023-08","2023-08","backtest","",-2.92504376920076e-05,4.33242878735588,2013,0.351225977468522,
"Estonia","Whole",-0.000363764251532066,2.7496818685255,2017,"2023-08","2023-08","backtest","",-0.000452463539828634,2.84059091428931,2017,0.0701357466063348,
"Finland","Buses",-9.31667893227348e-07,6.28213643666707,2013,"2023-08","2023-08","backtest","",-9.31667798629113e-07,6.28213648725021,2013,0.612903225806452,
"Finland","HDV",-2.07478265206643e-15,12.4889224299149,2013,"2023-08","2023-08","backtest","",-4.23996373652695e-14,11.2325293680573,2013,0.0125673249551167,
