"country","variant","v1","v2","t0","data_per","model_date","source","baseline_date","ice_v1","ice_v2","ice_t0","ttm_bev_share","obs_bev_share","obs_phev_share","obs_ice_share","refit_swing"
"Albania","2-Wheelers",-0.0163571770776277,-0.073772629077018,2019,"2026-02","2026-02","backtest","",-0.0163571770589708,-0.0737726282796392,2019,0.015922735578178,0.015922735578178,0,0.984077264421822,
"Albania","Buses",-2.16065578202775e-07,5.85009272031887,2019,"2026-02","2026-02","backtest","",-2.16065515657485e-07,5.85009287711904,2019,0.010230179028133,0.010230179028133,0,0.989769820971867,
"Albania","HDV",-5.02326637791107e-12,11.4780579015761,2019,"2026-02","2026-02","backtest","",-5.02326637791107e-12,11.4780579015761,2019,0.00617283950617284,0.00617283950617284,0,0.993827160493827,
"Albania","Whole",-9.16356243979066e-07,5.6460956317975,2018,"2026-02","2026-02","backtest","",-2.08837400922623e-06,5.24385428959735,2018,0.0816318977534882,0.0816318977534882,0.000949925363007192,0.917418176883505,
"Argentina","Industry",-2.09690481293397e-10,8.25286733012423,2017,"2026-02","2026-02","backtest","",-2.72554819452358e-33,32.7529515002538,2017,0.00999677523379555,0.00999677523379555,0.00943781575835752,0.980565409007847,
"Argentina","Private",-6.43744551167214e-37,35.8838046898862,2017,"2026-02","2026-02","backtest","",-5.96241614275468e-55,55.2412753280667,2017,0.00433112487477099,0.00433112487477099,0.00565952100249628,0.990009354122733,
"Argentina","Whole",-2.36680674149498e-33,32.191782086552,2017,"2026-02","2026-02","backtest","",-8.64484739016215e-51,50.9119694058755,2017,0.00497728348203887,0.00497728348203887,0.00609042964009091,0.98893228687787,
"Australia","Whole",-6.16425905777258e-05,3.0335221164756,2014,"2026-02","2026-02","backtest","",-3.85097124908643e-05,3.37215750451589,2014,0.0939980318670045,0.0939980318670045,0.0483138962752036,0.857688071857792,
"Austria","Used",-0.00223317727984026,1.47667614617033,2018,"2026-02","2026-02","backtest","",-0.00242397101953996,1.71601540833473,2018,0.0430117551234699,0.0430117551234699,0.0336412669478999,0.92334697792863,
"Austria","Whole",-0.000104343060395178,2.92599191203143,2011,"2026-02","2026-02","backtest","",-8.28101254720613e-05,3.17346144784936,2011,0.213528264298166,0.213528264298166,0.105330511053928,0.681141224647907,
"Belgium","Whole",-0.00121994593738704,2.75446589938405,2017,"2026-02","2026-02","backtest","",-0.0135886847917087,1.82971290939968,2017,0.348698798281562,0.348698798281562,0.0925145017916889,0.558786699926749,
"Brazil","Whole",-8.09846057070658e-11,7.42327567201872,2011,"2026-02","2026-02","backtest","",-8.11674279758321e-11,7.71098364996243,2011,0.0237138554596037,0.0348489207733155,0.0389894485342407,0.926161630692444,
"Bulgaria","Whole",-0.0024869754548445,1.43723546686354,2017,"2026-02","2026-02","backtest","",-0.00309992671528118,1.43597476463574,2017,0.0528492553429904,0.0528492553429904,0.0122445653281177,0.934906179328892,
