"country","variant","v1","v2","t0","data_per","model_date","source","baseline_date","ice_v1","ice_v2","ice_t0","ttm_bev_share","obs_bev_share","obs_phev_share","obs_ice_share","refit_swing"
"Albania","Whole",-0.00146724725569085,0.958599772476781,2018,"2021-04","2021-04","backtest","",-0.00139918489663018,1.04034533979867,2018,0.00319290980513575,0.00319290980513575,0.00013545677961182,0.996671633415252,
"Argentina","Industry",-3.27547658851318e-05,1.50156837379377,2017,"2021-04","2021-04","backtest","",-0.000206475273275128,0.59792497823296,2017,0.000241984271022384,0.000241984271022384,0,0.999758015728978,
"Argentina","Private",-7.93129154502893e-07,2.73471962702059,2017,"2021-04","2021-04","backtest","",-5.95742274396325e-06,1.44861782487799,2017,3.33190339146116e-05,3.33190339146116e-05,0,0.999966680966085,
"Argentina","Whole",-2.97426744259814e-06,2.14378492646045,2017,"2021-04","2021-04","backtest","",-1.76700608286827e-05,1.15201637347651,2017,5.2850531147838e-05,5.2850531147838e-05,0,0.999947149468852,
"Austria","Used",-0.00276058145497184,1.1263326417568,2018,"2021-04","2021-04","backtest","",-0.00327440218415684,1.36431533605803,2018,0.00859077128278029,0.00859077128278029,0.00432829206867352,0.987080936648546,
"Austria","Whole",-9.60547703492287e-08,5.99574455633704,2011,"2021-04","2021-04","backtest","",-3.37763481502113e-09,7.65347563682375,2011,0.0819294418926665,0.0819294418926665,0.0410484705461963,0.877022087561137,
"Belgium","Whole",-0.00323897186438649,1.84612334980016,2017,"2021-04","2021-04","backtest","",-0.00298981201662884,2.8699801605808,2017,0.0365070465544484,0.0365070465544484,0.109508397264201,0.85398455618135,
"Brazil","Whole",-4.84164275091502e-09,5.20882918339497,2011,"2021-04","2021-04","backtest","",-4.84164275091502e-09,5.20882918339497,2011,0.000703371581201064,0.000703371581201064,0,0.999296628418799,
"Bulgaria","Whole",-0.00160046533830014,1.5828836246653,2017,"2021-04","2021-04","backtest","",-0.00112432427253937,2.17301158535406,2017,0.0133803204667917,0.0133803204667917,0.00587798028700405,0.980741699246204,
"Chile","Whole",-2.26147311243317e-05,1.8444871002195,2014,"2021-04","2021-04","backtest","",-3.53989289469166e-05,1.77469557914325,2014,0.000720929575075627,0.000720929575075627,0.000282717480421814,0.998996352944503,
"China","Whole",-8.2722732395068e-06,3.60918393147154,2009,"2021-04","2021-04","backtest","",-1.59643046745163e-05,3.43012774848364,2009,0.0567925006918181,0.0567925006918181,0.01261991513698,0.930587584171202,
"Colombia","Whole",-0.00246739623040617,0.970520287575189,2018,"2021-04","2021-04","backtest","",-0.00246739623040617,0.970520287575189,2018,0.00675951804965122,0.00675951804965122,0,0.993240481950349,
"Czechia","Whole",-3.12729942743608e-11,8.36052223553226,2010,"2021-04","2021-04","backtest","",-1.84573071852252e-08,5.9421322044516,2010,0.0130652216243428,0.0130652216243428,0.0131079649884355,0.973826813387222,
"Denmark","Industry",-0.00179145824883619,2.68107861308486,2017,"2021-04","2021-04","backtest","",-0.0017490766167647,3.46869294449236,2017,0.0594268822547558,0.0594268822547558,0.106099410063326,0.834473707681918,
"Denmark","Private",-0.00206434966576228,2.89416597853251,2017,"2021-04","2021-04","backtest","",-0.00101734855315379,4.19442100421058,2017,0.091059301729978,0.091059301729978,0.146238495728755,0.762702202541267,
"Denmark","Vans",-0.00129664848153068,2.00676723905604,2017,"2021-04","2021-04","backtest","",-0.00123912987981768,2.24397577625113,2017,0.0181077829533887,0.0181077829533887,0.00604621032174476,0.975846006724867,
"Denmark","Whole",-2.53643119913932e-07,6.18504515947773,2013,"2021-04","2021-04","backtest","",-8.80743463134932e-09,8.31768218030799,2013,0.0786167146974063,0.0786167146974063,0.130449818318506,0.790933466984087,
"Estonia","Whole",-0.000160738191081634,3.48555417867339,2017,"2021-04","2021-04","backtest","",-0.000130996945943242,3.82196343917715,2017,0.0183226758519826,0.0183226758519826,0.00787014264853297,0.973807181499484,
"Finland","Buses",-1.8712125172087e-05,4.39511687219776,2013,"2021-04","2021-04","backtest","",-1.87121245208444e-05,4.39511688965582,2013,0.0926640926640927,0.0926640926640927,0,0.907335907335907,
"Finland","HDV",-1.14768534549213e-09,6.55066006285375,2013,"2021-04","2021-04","backtest","",-2.02230954353445e-06,2.97247241682218,2013,0.00146584579302257,0.00146584579302257,0,0.998534154206977,
"Finland","Industry",-5.38189875129257e-08,6.69081032974812,2013,"2021-04","2021-04","backtest","",-1.55992425493004e-05,4.77747256450023,2013,0.046729214855628,0.046729214855628,0.201211113132521,0.752059672011851,
"Finland","Private",-2.75234942612242e-07,5.94863003648131,2013,"2021-04","2021-04","backtest","",-1.40929730099566e-06,5.83339631832726,2013,0.0570290681341199,0.0570290681341199,0.148100408176755,0.794870523689125,
"Finland","Vans",-2.58094899017648e-10,8.72296079865771,2013,"2021-04","2021-04","backtest","",-7.97397544177983e-10,8.25912157348321,2013,0.0160691275676495,0.0160691275676495,0.00371409080573031,0.98021678162662,
"Finland","Whole",-2.2696093213014e-07,6.02176578861724,2013,"2021-04","2021-04","backtest","",-4.12374295146968e-06,5.35764299188817,2013,0.0530255581371856,0.0530255581371856,0.168744317607839,0.778230124254975,
"France","Whole",-2.37944115054198e-08,6.24183620368816,2010,"2021-04","2021-04","backtest","",-1.36447795115459e-10,8.68319580161666,2010,,0.0670519029230627,0.0581433821837166,0.874804714893221,
"Germany","Whole",-1.49213061719959e-11,9.84878284530461,2011,"2021-04","2021-04","backtest","",-2.70174297221065e-10,8.93103429110613,2011,0.084540132775329,0.084540132775329,0.0934354962141798,0.822024371010491,
"Greece","Whole",-9.95958279720448e-10,8.49927476185145,2014,"2021-04","2021-04","backtest","",-1.33830268311285e-09,8.94177044519328,2014,0.0177594070724059,0.0177594070724059,0.0372862029675029,0.944954389960091,
"Hungary","Whole",-0.00460597989581849,1.19823360249975,2017,"2021-04","2021-04","backtest","",-0.00384659054682324,1.91996932948971,2017,0.0243880041934817,0.0243880041934817,0.0274489397684402,0.948163056038078,
"Iceland","Whole",-0.0226416824156258,1.83489739446477,2017,"2021-04","2021-04","backtest","",-0.126374602459678,1.0997441414483,2017,0.2283366112083,0.2283366112083,0.226075962201641,0.545587426590059,
"Indonesia","Whole",-1.01327145683825e-31,25.9897297249448,2009,"2021-04","2021-04","backtest","",-3.05292904123883e-31,25.5486514106462,2009,0.00119466849901225,0.00119466849901225,2.60276361440578e-06,0.998802728737373,
"Ireland","Buses",-2.13012119741685e-18,14.4402367574541,2009,"2021-04","2021-04","backtest","",-4.74277382582327e-157,144.02725606211,2009,0.0152091254752852,0.0152091254752852,0.380228136882129,0.604562737642586,
"Ireland","HDV",-7.16872385829876e-11,6.71513909020933,2009,"2021-04","2021-04","backtest","",-7.16872385829876e-11,6.71513909020933,2009,0.000986193293885602,0.000986193293885602,0,0.999013806706114,
"Ireland","Vans",-3.31046644196377e-11,8.33194779101146,2009,"2021-04","2021-04","backtest","",-3.3629019385457e-11,8.33746793266584,2009,0.0389195021386459,0.0389195021386459,0.000847751531732881,0.960232746329621,
"Ireland","Whole",-2.39423918628729e-10,7.29713320054296,2007,"2021-04","2021-04","backtest","",-3.25668000210322e-12,9.1868114472102,2007,0.0612548733987404,0.0612548733987404,0.0517008697142367,0.887044256887023,
"Israel","Vans",-8.34365495635469e-30,36.7335020398417,2016,"2021-04","2021-04","backtest","",-4.25292451944262e-05,2.31698561499902,2016,0.00079155672823219,0.00079155672823219,0.000659630606860158,0.998548812664908,
"Israel","Whole",-8.82940580301536e-05,2.93069046081383,2016,"2021-04","2021-04","backtest","",-0.00263463568169719,1.8107165580538,2016,0.00836942648505011,0.00836942648505011,0.0336994957420543,0.957931077772896,
"Italy","NonRental",-5.78809589297358e-08,6.68820513414634,2014,"2021-04","2021-04","backtest","",-1.70140156079502e-08,7.67469288459357,2014,0.0220696672335605,0.0220696672335605,0.0210967513369909,0.956833581429449,
"Italy","Rental",-5.78675119335108e-07,5.84800159364441,2014,"2021-04","2021-04","backtest","",-3.71160199845171e-08,7.72525277728869,2014,0.0481323692658486,0.0481323692658486,0.0600822057544028,0.891785424979749,
"Italy","Whole",-1.25430829495591e-07,6.39179237970276,2014,"2021-04","2021-04","backtest","",-1.84676086779188e-08,7.7713140492142,2014,0.0273892709698819,0.0273892709698819,0.0290391754394339,0.943571553590684,
"Japan","Whole",-0.00303005243868037,0.386874854684011,2011,"2021-04","2021-04","backtest","",-0.00647316099742317,0.372698059769007,2011,0.00581595224722316,0.00581595224722316,0.00700124607812993,0.987182801674647,
"Latvia","Whole",-3.53435832318743e-07,5.86892180266335,2014,"2021-04","2021-04","backtest","",-4.22500015670852e-07,5.884808927615,2014,0.0293733681462141,0.0293733681462141,0.00594720046417174,0.964679431389614,
"Lithuania","Whole",-0.00012468296656086,2.91351597891683,2016,"2021-04","2021-04","backtest","",-0.00012468296656086,2.91351597891683,2016,0.0129547471182746,0.0129547471182746,0,0.987045252881726,
"Luxembourg","HDV",-1.30482625262715e-05,3.15459303760949,2009,"2021-04","2021-04","backtest","",-3.21788667381983e-05,2.81783447987575,2009,0.0241057542768274,0.0241057542768274,0,0.975894245723173,
"Luxembourg","Vans",-0.000342318731531512,1.53874287178829,2009,"2021-04","2021-04","backtest","",-0.000291743864470044,1.6139996536572,2009,0.0144578313253012,0.0144578313253012,0.000602409638554217,0.984939759036145,
"Luxembourg","Whole",-6.71959517182371e-13,10.2709611105889,2009,"2021-04","2021-04","backtest","",-5.52514783470704e-13,10.6749522183612,2009,0.0701072276336253,0.0701072276336253,0.0784767127772776,0.851416059589097,
"Malaysia","Whole",-4.56008683611329e-07,4.56964353281701,2017,"2021-04","2021-04","backtest","",-4.56008683611329e-07,4.56964353281701,2017,,0.000195339751639459,0,0.999804660248361,
"Netherlands","HDV",-0.00150039806839105,0.397802815835614,2017,"2021-04","2021-04","backtest","",-0.00176194732101309,0.344617809336355,2017,0.00289407678950415,0.00289407678950415,0.000289407678950415,0.996816515531545,
"Netherlands","Used",-0.00351924958387543,1.38509549571441,2017,"2021-04","2021-04","backtest","",-0.00534922691118171,1.50180779311128,2017,0.0216304295733022,0.0216304295733022,0.0170575267185328,0.961312043708165,
"Netherlands","Whole",-7.18888822581847e-08,6.37242102035339,2010,"2021-04","2021-04","backtest","",-5.80971890592243e-07,5.5691224310718,2010,0.204130129987405,0.204130129987405,0.0633183622062213,0.732551507806373,
"New Zealand","Whole",-0.000102891980187089,2.34829969463905,2011,"2021-04","2021-04","backtest","",-0.000126036647731263,2.39116682330655,2011,0.0180728168837055,0.0180728168837055,0.00683301021904483,0.97509417289725,
"Norway","Whole",-1.37856535431235e-06,4.69556102955761,2004,"2021-04","2021-04","backtest","",-1.33542409490361e-06,4.91087650583179,2004,0.536878437861561,0.536878437861561,0.227126707215389,0.23599485492305,
"Poland","Whole",-5.4735382696579e-11,7.94359775031196,2010,"2021-04","2021-04","backtest","",-5.73176534580533e-13,10.2377320101173,2010,0.00957310468924628,0.00957310468924628,0.0132582213918004,0.977168673918953,
"Portugal","Whole",-9.66870217085654e-08,5.38799458694847,2009,"2021-04","2021-04","backtest","",-1.96574019802825e-09,7.37359718731797,2009,0.0519220296856892,0.0519220296856892,0.0997947414719969,0.848283228842314,
"Romania","Whole",-1.15333850938443e-08,5.84125913971608,2009,"2021-04","2021-04","backtest","",-5.9909385652028e-10,7.21722086964827,2009,0.0239763766865336,0.0239763766865336,0.0108808456448928,0.965142777668574,
