"country","variant","v1","v2","t0","data_per","model_date","source","baseline_date","ice_v1","ice_v2","ice_t0","ttm_bev_share","refit_swing"
"Austria","Whole",-0.000739729594298601,1.33900648378272,2011,"2015-12","2015-12","backtest","",-0.000739729594298601,1.33900648378272,2011,0.0055386319579064,
"Brazil","Whole",-2.12888302841523e-06,1.63444194517618,2011,"2015-12","2015-12","backtest","",-2.12888302841523e-06,1.63444194517618,2011,1.98712442782558e-05,
"China","Whole",-3.96991622917517e-06,3.7826595986679,2009,"2015-12","2015-12","backtest","",-4.37623040356776e-06,3.97004601031918,2009,0.00392660736423405,
"Czechia","Whole",-9.83090288458274e-05,1.47560097213604,2010,"2015-12","2015-12","backtest","",-0.000378257959820063,1.56293681627868,2010,0.00131525698097936,
"Denmark","Whole",-9.89878384111361e-11,19.1725158312908,2013,"2015-12","2015-12","backtest","",-3.39566339511048e-10,18.0834907392549,2013,0.0843105320304017,
"Finland","Buses",0,4.15,2013,"2015-12","2015-12","backtest","",0,4.15,2013,0,
"Finland","HDV",-3.34863079892108e-05,2.3465950225909,2013,"2015-12","2015-12","backtest","",-3.34863079892108e-05,2.3465950225909,2013,0,
"Finland","Industry",-0.00319762897503999,0.421588385057909,2013,"2015-12","2015-12","backtest","",-0.00606742900978922,0.751261340193302,2013,0.00200688073394495,
"Finland","Private",-0.000386617480810322,1.08485015941131,2013,"2015-12","2015-12","backtest","",-0.00163729077645023,0.674817493329058,2013,0.000676132521974307,
"Finland","Vans",-0.00155096510645287,0.947535962648121,2013,"2015-12","2015-12","backtest","",-0.00155096510645285,0.947535962648135,2013,0.00391389432485323,
"Finland","Whole",-0.0013282823740895,0.624486670259708,2013,"2015-12","2015-12","backtest","",-0.00320636459206537,0.721337569374305,2013,0.00126182965299685,
"France","Whole",-0.000628352664980769,1.57409859256611,2010,"2015-12","2015-12","backtest","",-0.000441314363469399,1.94472273412397,2010,0.0117337564723568,
"Germany","Whole",-0.000471111848613495,1.42699183058944,2011,"2015-12","2015-12","backtest","",-0.00246284097266316,0.806009363813035,2011,0.00776212326413454,
"Indonesia","Whole",-2.3101957525542e-06,-0.940052339087099,2009,"2015-12","2015-12","backtest","",-2.3101957525542e-06,-0.940052339087099,2009,0,
"Ireland","Buses",0,4.15,2009,"2015-12","2015-12","backtest","",0,4.15,2009,0,
"Ireland","HDV",-0.00452343735273365,-2.75152154946274,2009,"2015-12","2015-12","backtest","",-0.00452343735273365,-2.75152154946274,2009,0,
"Ireland","Vans",-0.00105092420517214,-0.0600171624262171,2009,"2015-12","2015-12","backtest","",-0.00103330315962691,-0.0191547749686215,2009,0,
"Ireland","Whole",-2.33950237827411e-06,3.47055799357899,2007,"2015-12","2015-12","backtest","",-7.9615546959196e-07,4.06803737385042,2007,0.00291545189504373,
"Japan","Whole",-0.00361802186948782,0.177497406737169,2011,"2015-12","2015-12","backtest","",-0.00732293305440695,0.21456388721463,2011,0.004078429836977,
"Luxembourg","HDV",-0.000303974489583353,-0.5393922591677,2009,"2015-12","2015-12","backtest","",-0.000303974489583353,-0.5393922591677,2009,0,
"Luxembourg","Vans",-0.00239223180804404,0.453470224474884,2009,"2015-12","2015-12","backtest","",-0.00239223203806722,0.453470156309082,2009,0,
"Luxembourg","Whole",-0.000320365768947504,1.38768788121726,2009,"2015-12","2015-12","backtest","",-0.000404398095683097,1.35902739968032,2009,0.00303490136570561,
"Netherlands","Whole",-0.00114516531828751,1.15725572233949,2010,"2015-12","2015-12","backtest","",-0.00571055503249616,1.66943476430844,2010,0.00456918116224931,
"New Zealand","Whole",-1.54118503066339e-05,2.80133738905826,2011,"2015-12","2015-12","backtest","",-9.20287608013493e-05,1.99383125269477,2011,0.00181664042630495,
"Norway","Whole",-4.17219193725034e-07,5.32077283873957,2004,"2015-12","2015-12","backtest","",-4.18327412044124e-08,6.37832251864828,2004,0.150995831403428,
"Poland","Whole",-0.000134503216963861,0.311936944075326,2010,"2015-12","2015-12","backtest","",-6.17927133203107e-05,1.26874274292975,2010,0.000183461232010316,
"Portugal","Whole",-4.46567360847818e-05,2.32442733755016,2009,"2015-12","2015-12","backtest","",-2.51020169662135e-06,4.17508930198,2009,0.00441333130421549,
"Sweden","Whole",-5.04020467678999e-09,6.05290881371275,2005,"2015-12","2015-12","backtest","",-7.54670180271744e-10,7.3799104968353,2005,0.00938967136150235,
"Switzerland","Whole",-9.52700762276691e-05,2.5726140530842,2009,"2015-12","2015-12","backtest","",-3.84988353176355e-05,3.32687749609322,2009,0.012199296673202,
"USA","Whole",-0.000552898419104679,1.22946109508164,2010,"2015-12","2015-12","backtest","",-0.00184179922370444,0.833646888376036,2010,0.00484434924383935,
