"country","variant","v1","v2","t0","data_per","model_date","source","baseline_date","ice_v1","ice_v2","ice_t0","ttm_bev_share","obs_bev_share","obs_phev_share","obs_ice_share","refit_swing"
"Albania","Whole",-0.00191147538514961,0.515999403571819,2018,"2021-08","2021-08","backtest","",-0.00178135792253395,0.655574419710685,2018,0.0032069157836029,0.0032069157836029,0.000331148912437256,0.99646193530396,
"Argentina","Industry",-1.30955287544621e-05,2.46270578027377,2017,"2021-08","2021-08","backtest","",-0.000180775881295979,0.843579125911245,2017,0.000405171461195624,0.000405171461195624,7.36675383992044e-05,0.999521161000405,
"Argentina","Private",-8.02420369409137e-07,2.71486860434813,2017,"2021-08","2021-08","backtest","",-6.06039617522258e-06,1.4126622962497,2017,3.78138549964707e-05,3.78138549964707e-05,0,0.999962186145004,
"Argentina","Whole",-1.5400346141724e-06,2.78889043741873,2017,"2021-08","2021-08","backtest","",-1.63363395560136e-05,1.30143066894219,2017,7.5427011166969e-05,7.5427011166969e-05,7.5427011166969e-06,0.999917030287716,
"Austria","Used",-0.00251818434454394,1.24563986073776,2018,"2021-08","2021-08","backtest","",-0.00278831741574215,1.56112678243814,2018,0.010817349541574,0.010817349541574,0.00608426772575082,0.983098382732675,
"Austria","Whole",-2.43787366313059e-08,6.61812542815757,2011,"2021-08","2021-08","backtest","",-2.99129467176008e-09,7.70815348628497,2011,0.112524782675004,0.112524782675004,0.0522151898734177,0.835260027451578,
"Belgium","Whole",-0.0027930407214325,1.98558281251863,2017,"2021-08","2021-08","backtest","",-0.00333895469873485,2.77205615126791,2017,0.0579235816287148,0.0579235816287148,0.126221536086453,0.815854882284832,
"Brazil","Whole",-2.39750588336398e-09,5.53130075869311,2011,"2021-08","2021-08","backtest","",-2.39750588336398e-09,5.53130075869311,2011,0.000828482269318488,0.000828482269318488,0,0.999171517730682,
"Bulgaria","Whole",-0.00141053799180273,1.71702975959521,2017,"2021-08","2021-08","backtest","",-0.00139507746256605,1.97552603520414,2017,0.0166967988937613,0.0166967988937613,0.00692598106939373,0.976377220036845,
"Canada","Whole",-6.46194686903451e-06,3.65544322248398,2010,"2021-08","2021-08","backtest","",-6.24773018453383e-05,2.86046675854879,2010,0.0444178965470631,0.0444178965470631,0.0181425101201922,0.937439593332745,
"Chile","Whole",-1.1606802232774e-05,2.26094165728558,2014,"2021-08","2021-08","backtest","",-1.01293319126137e-05,2.54719506596008,2014,0.000975714954475402,0.000975714954475402,0.000489172456960714,0.998535112588564,
"China","Whole",-1.57379296012133e-06,4.33642956499085,2009,"2021-08","2021-08","backtest","",-3.35411936991989e-06,4.11818732598777,2009,0.0801588616885269,0.0801588616885269,0.0177624414034755,0.902078696907998,
"Colombia","Whole",-0.00319873808874537,0.521721589377336,2018,"2021-08","2021-08","backtest","",-0.00319873810048694,0.521721586450582,2018,0.00582440586134713,0.00582440586134713,0,0.994175594138653,
"Czechia","Whole",-7.28085014597384e-09,5.97497194915968,2010,"2021-08","2021-08","backtest","",-4.10208100634564e-07,4.59949021123779,2010,0.0149302070978925,0.0149302070978925,0.0168643371955114,0.968205455706596,
"Denmark","Industry",-0.0022246046108061,2.48265120671141,2017,"2021-08","2021-08","backtest","",-0.00158191197597735,3.55022086561355,2017,0.0740599168617708,0.0740599168617708,0.142338382149171,0.783601700989058,
"Denmark","Private",-0.00176972352029196,3.00849914059483,2017,"2021-08","2021-08","backtest","",-0.00137446163216572,3.94566614360128,2017,0.125319912743263,0.125319912743263,0.185016918875281,0.689663168381456,
"Denmark","Vans",-0.000171747690574598,3.61757563255287,2017,"2021-08","2021-08","backtest","",-0.000236008610255468,3.57003865805452,2017,0.028796042752407,0.028796042752407,0.0078909401407414,0.963313017106852,
"Denmark","Whole",-3.27872548562227e-07,6.04544666216455,2013,"2021-08","2021-08","backtest","",-2.06597234918851e-08,7.88827679721581,2013,0.103880012390459,0.103880012390459,0.167166281962889,0.728953705646652,
"Estonia","Whole",-0.000322308163281308,2.8892350262996,2017,"2021-08","2021-08","backtest","",-0.000252337740891923,3.27793345852129,2017,0.0208479737643476,0.0208479737643476,0.00960412274537362,0.969547903490279,
"Finland","Buses",-4.45247145303284e-12,12.1708362533626,2013,"2021-08","2021-08","backtest","",-4.45247031980038e-12,12.1708363731839,2013,0.498714652956298,0.498714652956298,0,0.501285347043702,
"Finland","HDV",-2.44861237334278e-09,6.11804969114575,2013,"2021-08","2021-08","backtest","",-2.85990166277075e-06,2.77149435546474,2013,0.000816548720740337,0.000816548720740337,0,0.99918345127926,
"Finland","Industry",-3.75177586135279e-09,8.00744422561508,2013,"2021-08","2021-08","backtest","",-2.1611383120719e-05,4.60925442282765,2013,0.0739034006899951,0.0739034006899951,0.22419911286348,0.701897486446525,
"Finland","Private",-8.69318753464403e-08,6.54143294773672,2013,"2021-08","2021-08","backtest","",-2.67748241835874e-06,5.50675204648954,2013,0.0783068447041265,0.0783068447041265,0.168347014273693,0.753346141022181,
"Finland","Vans",-2.12631036288679e-08,6.55507121921053,2013,"2021-08","2021-08","backtest","",-3.51324518543455e-08,6.39029351446553,2013,0.0203343223098632,0.0203343223098632,0.00318402199869745,0.976481655691439,
"Finland","Whole",-4.02223027178094e-08,6.89724949609623,2013,"2021-08","2021-08","backtest","",-6.53882958000055e-06,5.12175697333195,2013,0.0765814045556811,0.0765814045556811,0.190232032675763,0.733186562768556,
"France","Whole",-2.02023495125829e-08,6.3134780877512,2010,"2021-08","2021-08","backtest","",-3.22468772526277e-10,8.31302719288967,2010,,0.0789336944370089,0.0747312529382787,0.846335052624712,
"Germany","Whole",-2.22294311444858e-10,8.63854069511365,2011,"2021-08","2021-08","backtest","",-2.14358519159346e-09,7.99807847616188,2011,0.108054832707165,0.108054832707165,0.111193384545681,0.780751782747154,
"Greece","Whole",-2.49008651728049e-08,6.77977169896391,2014,"2021-08","2021-08","backtest","",-2.90278394796668e-08,7.29884436918713,2014,0.0183149554984598,0.0183149554984598,0.0416716684094169,0.940013376092123,
"Hungary","Whole",-0.00487183057195067,1.13803635000195,2017,"2021-08","2021-08","backtest","",-0.00433239238122985,1.80916886453471,2017,0.0254116096764774,0.0254116096764774,0.0310869190856612,0.943501471237861,
"Iceland","Whole",-0.0266194522160196,1.63031361769171,2017,"2021-08","2021-08","backtest","",-0.127726179960504,1.08102817274474,2017,0.24109970332216,0.24109970332216,0.241133673675503,0.517766623002337,
"Indonesia","Whole",-3.84148730739571e-18,13.2512244669181,2009,"2021-08","2021-08","backtest","",-5.04712395012227e-18,13.1434953540778,2009,0.00121907375943733,0.00121907375943733,1.82496071772055e-06,0.998779101279845,
"Ireland","Buses",-1.93730256391283e-14,10.7008141812575,2009,"2021-08","2021-08","backtest","",-1.20901449209745e-25,22.8487788553908,2009,0.00696864111498258,0.00696864111498258,0.348432055749129,0.644599303135889,
"Ireland","HDV",-2.03918210556593e-09,5.25894136236276,2009,"2021-08","2021-08","backtest","",-2.03918210556593e-09,5.25894136236276,2009,0.000919963201471941,0.000919963201471941,0,0.999080036798528,
"Ireland","Vans",-9.88562337364071e-09,5.92660917997459,2009,"2021-08","2021-08","backtest","",-9.94630953286111e-09,5.93630982185589,2009,0.0364436383178826,0.0364436383178826,0.000772537955125621,0.962783823726992,
"Ireland","Whole",-8.3567676779199e-11,7.71428910850746,2007,"2021-08","2021-08","backtest","",-2.81928907966605e-13,10.1427521445368,2007,0.0766663199599081,0.0766663199599081,0.0698771712510756,0.853456508789016,
"Israel","Vans",-1.00016978742594e-16,18.4651197274874,2016,"2021-08","2021-08","backtest","",-1.64607618284383e-09,8.71360209726688,2016,0.00218014916810098,0.00218014916810098,0.00057372346528973,0.997246127366609,
