"country","variant","v1","v2","t0","data_per","model_date","source","baseline_date","ice_v1","ice_v2","ice_t0","ttm_bev_share","refit_swing"
"Albania","2-Wheelers",-0.0253040642045011,-0.600164717721891,2019,"2022-09","2022-09","backtest","",-0.0253040654595156,-0.600164766453958,2019,0.0113636363636364,
"Albania","Buses",0,4.15,2019,"2022-09","2022-09","backtest","",0,4.15,2019,0,
"Albania","HDV",0,4.15,2019,"2022-09","2022-09","backtest","",0,4.15,2019,0,
"Albania","Whole",-2.99948767206198e-05,4.0988783543135,2018,"2022-09","2022-09","backtest","",-1.62651165657171e-05,4.65780027653234,2018,0.0169833045480714,
"Australia","Whole",-9.27768754022092e-05,2.70624431375109,2014,"2022-09","2022-09","backtest","",-0.000178359786005986,2.47395847854077,2014,0.0810762432175421,
"Austria","Used",-0.00139415960386525,1.89479180120704,2018,"2022-09","2022-09","backtest","",-0.00204832895771386,1.91570682767139,2018,0.0209472335905527,
"Austria","Whole",-4.0921489732854e-07,5.36482163903637,2011,"2022-09","2022-09","backtest","",-3.57390418471259e-07,5.57841972897944,2011,0.219628647214854,
"Belgium","Whole",-0.00180518725577136,2.36864324655687,2017,"2022-09","2022-09","backtest","",-0.0054561682946418,2.3854099046312,2017,0.122385173247381,
"Brazil","Whole",-2.75593288078102e-16,12.5043704641401,2011,"2022-09","2022-09","backtest","",-2.75593288078102e-16,12.5043704641401,2011,0.00778606029772833,
"Bulgaria","Whole",-0.00124632547643962,1.82617504137292,2017,"2022-09","2022-09","backtest","",-0.00187141258195707,1.70131352374247,2017,0.0362865221489161,
"Canada","Whole",-1.11670043348462e-06,4.42718252496587,2010,"2022-08","2022-09","backtest","",-2.07489945822845e-05,3.35834016073572,2010,0.0952654252030104,
"Chile","Whole",-4.12305089197518e-08,5.21287520025015,2014,"2022-09","2022-09","backtest","",-3.34352820252358e-07,4.37952100510933,2014,0.00226047170325181,
"China","Whole",-4.16917530915909e-10,7.7435532139512,2009,"2022-09","2022-09","backtest","",-1.26013752898741e-10,8.31797265490183,2009,0.237773152965661,
"Colombia","Whole",-0.00213674537161405,1.08096178580821,2018,"2022-09","2022-09","backtest","",-0.00213674537161405,1.08096178580821,2018,0.00536215491600687,
"Croatia","Whole",-0.00309777019161368,1.63144294226493,2018,"2022-09","2022-09","backtest","",-0.00446563064219549,1.72333073782052,2018,0.0628227194492255,
"Cyprus","Whole",-1.58941158079209e-05,6.13384380667827,2019,"2022-09","2022-09","backtest","",-0.00073154846175094,3.39853044939234,2019,0.0328836424957841,
"Czechia","Whole",-2.45459007340857e-08,5.44735180426781,2010,"2022-09","2022-09","backtest","",-1.15557894274869e-06,4.15133149995898,2010,0.0206067928581018,
"Denmark","Industry",-0.00267226437295372,2.38172913490276,2017,"2022-09","2022-09","backtest","",-0.00554095752702332,2.62711409885944,2017,0.14313408723748,
"Denmark","Private",-0.00171471287276904,3.08530775694735,2017,"2022-09","2022-09","backtest","",-0.00522627445217592,2.93614851245368,2017,0.308510638297872,
"Denmark","Vans",-0.000343033677220722,3.17634865792902,2017,"2022-09","2022-09","backtest","",-0.000531094965521707,3.03094693082066,2017,0.0761133603238866,
