"country","variant","v1","v2","t0","data_per","model_date","source","baseline_date","ice_v1","ice_v2","ice_t0","ttm_bev_share","obs_bev_share","obs_phev_share","obs_ice_share","refit_swing"
"Albania","Whole",-0.00158012823664585,0.821423032456809,2018,"2021-01","2021-01","backtest","",-0.00156971660434091,0.835353259177636,2018,0.00428765880217786,0.00428765880217786,2.26860254083485e-05,0.995689655172414,
"Austria","Used",-0.00311698158840622,0.938186465773148,2018,"2021-01","2021-01","backtest","",-0.00397608030654645,1.08091900955041,2018,0.00736868045052837,0.00736868045052837,0.00341737655648275,0.989213942992989,
"Austria","Whole",-6.16781950305436e-07,5.13558200076972,2011,"2021-01","2021-01","backtest","",-1.38212977028789e-08,7.01057448609068,2011,0.0694165409271656,0.0694165409271656,0.0324366231232858,0.898146835949549,
"Belgium","Whole",-0.00244106736089319,2.13628227608878,2017,"2021-01","2021-01","backtest","",-0.00153751039585023,3.45490467104701,2017,0.0510668701082613,0.0510668701082613,0.133834677519436,0.815098452372302,
"Brazil","Whole",-4.81868717867639e-10,6.28515059435204,2011,"2021-01","2021-01","backtest","",-4.81868717867639e-10,6.28515059435204,2011,0.000746726733104372,0.000746726733104372,0,0.999253273266896,
"Bulgaria","Whole",-0.0026285433900931,1.01042475651265,2017,"2021-01","2021-01","backtest","",-0.00240655816077478,1.37390608552855,2017,0.0134930028542229,0.0134930028542229,0.00490148297690172,0.981605514168876,
"Chile","Whole",-3.25374604116284e-05,1.60363936202292,2014,"2021-01","2021-01","backtest","",-3.66700941350542e-05,1.7520045648515,2014,0.000619748525117693,0.000619748525117693,0.000321792503426494,0.999058458971456,
"China","Whole",-1.35999101158564e-05,3.38505459005902,2009,"2021-01","2021-01","backtest","",-2.43563780377008e-05,3.23853501124843,2009,0.0502264431509304,0.0502264431509304,0.0120083489129774,0.937765207936092,
"Colombia","Whole",-0.00177643566546663,1.49129505546633,2018,"2021-01","2021-01","backtest","",-0.00177643566546663,1.49129505546633,2018,0.00705872140024198,0.00705872140024198,0,0.992941278599758,
"Czechia","Whole",-2.12059472595729e-25,22.2643442499701,2010,"2021-01","2021-01","backtest","",-4.64134055111154e-06,3.52595470860878,2010,0.0137271884945414,0.0137271884945414,0.00996052048503404,0.976312291020425,
"Denmark","Industry",-0.000469147512500301,3.84276660148468,2017,"2021-01","2021-01","backtest","",-0.000483300526848354,4.55277714758836,2017,0.0560534349007197,0.0560534349007197,0.0909205477917495,0.853026017307531,
"Denmark","Private",-0.000148396460363379,5.09414304789105,2017,"2021-01","2021-01","backtest","",-0.00033803023608797,5.09755314333669,2017,0.0860584909142771,0.0860584909142771,0.104204768536385,0.809736740549338,
