"country","variant","v1","v2","t0","data_per","model_date","source","baseline_date","ice_v1","ice_v2","ice_t0","ttm_bev_share","refit_swing"
"Austria","Whole",-0.000527388811645045,1.75801519164629,2011,"2018-07","2018-07","backtest","",-0.000211013516998452,2.33199617502052,2011,0.0144236878891854,
"Brazil","Whole",-3.82000650308749e-07,2.92055696929436,2011,"2018-07","2018-07","backtest","",-3.82000650308749e-07,2.92055696929436,2011,8.87882012235689e-05,
"Chile","Whole",-1.25469231850094e-05,2.30493054278279,2014,"2018-07","2018-07","backtest","",-1.74600606247991e-05,2.30503968724801,2014,0.000643094303916038,
"China","Whole",-6.15352547051365e-08,5.93116697131309,2009,"2018-07","2018-07","backtest","",-8.34427350549106e-08,5.91196787746145,2009,0.0394944019589223,
"Czechia","Whole",-9.77862080413576e-05,1.32547388738663,2010,"2018-07","2018-07","backtest","",-0.000903746051642204,1.06018316281104,2010,0.00337369442647195,
"Denmark","Whole",-0.0127099124246222,-0.365789858630339,2013,"2018-07","2018-07","backtest","",-0.010339831015699,0.15739060992391,2013,0.00309428467419003,
"Finland","Buses",-0.000911711751209274,1.54458483828452,2013,"2018-07","2018-07","backtest","",-0.000911711669678047,1.54458488955866,2013,0,
"Finland","HDV",-0.000108530256899059,-0.599180069349049,2013,"2018-07","2018-07","backtest","",-1.11222748283657e-221,295.21878888469,2013,0,
"Finland","Industry",-0.0024464052419556,0.640599772235931,2013,"2018-07","2018-07","backtest","",-0.00112349243432729,2.41950773361609,2013,0.00801538954793203,
"Finland","Private",-0.000140476699719861,1.93970395126699,2013,"2018-07","2018-07","backtest","",-6.2230608053973e-05,3.86405432082924,2013,0.00201113861386139,
"Finland","Vans",-0.00286779261656587,0.0503039407663952,2013,"2018-07","2018-07","backtest","",-0.00274571694037436,0.156797175465862,2013,0.0126436781609195,
"Finland","Whole",-0.000730154908277972,1.12427608199745,2013,"2018-07","2018-07","backtest","",-0.000245920755664685,3.15798608234005,2013,0.00396535531670667,
"France","Whole",-0.00116325436651827,1.15603691816975,2010,"2018-07","2018-07","backtest","",-0.000968989309883713,1.42916522095119,2010,0.0100784380113989,
"Germany","Whole",-0.00020238926833035,1.89782485555999,2011,"2018-07","2018-07","backtest","",-0.000465284673545299,1.94087281942085,2011,0.0079471948856057,
"Indonesia","Whole",-2.44519805449478e-06,-1.08811779471372,2009,"2018-07","2018-07","backtest","",-2.44519805449478e-06,-1.08811779471372,2009,0,
"Ireland","Buses",0,4.15,2009,"2018-07","2018-07","backtest","",0,4.15,2009,0,
"Ireland","HDV",-0.00453213628739239,-2.76905442533097,2009,"2018-07","2018-07","backtest","",-0.00453213628739239,-2.76905442533097,2009,0,
"Ireland","Vans",-6.1985062595794e-09,5.80887219606175,2009,"2018-07","2018-07","backtest","",-1.23823851399538e-08,5.49514117426647,2009,0.00229200091680037,
"Ireland","Whole",-1.57925961682098e-07,4.43218887918567,2007,"2018-07","2018-07","backtest","",-1.97337423115378e-08,5.49875769649232,2007,0.0142072854069293,
"Italy","NonRental",-9.36829667543896e-05,1.95743421527366,2014,"2018-07","2018-07","backtest","",-0.0149219110717492,-0.689648669144769,2014,0.00326775253123836,
"Italy","Rental",-0.00027195311196846,1.73216180717897,2014,"2018-07","2018-07","backtest","",-0.0456089589098428,-0.895043240641305,2014,0.00721909237607225,
"Italy","Whole",-0.000127426185401244,1.90671397002728,2014,"2018-07","2018-07","backtest","",-0.0209017611605804,-0.735805024139975,2014,0.00417733810371008,
"Japan","Whole",-0.00289136272891848,0.414749482394278,2011,"2018-07","2018-07","backtest","",-0.00541749450651821,0.512766502960556,2011,0.00918112523870926,
"Latvia","Whole",-0.000251807175973804,1.87844966753561,2014,"2018-07","2018-07","backtest","",-0.000888316408218555,1.15316107147427,2014,0.00363372093023256,
"Luxembourg","HDV",-5.33235614612362e-20,18.1012951445588,2009,"2018-07","2018-07","backtest","",-1.15532189890466e-24,23.2451606347337,2009,0.018018018018018,
"Luxembourg","Vans",-0.00181897489071878,0.622785274952305,2009,"2018-07","2018-07","backtest","",-0.00181897491988846,0.622785265936122,2009,0.0165094339622642,
"Luxembourg","Whole",-0.000219911519334749,1.56314201489141,2009,"2018-07","2018-07","backtest","",-3.91249263720263e-06,3.89353156050114,2009,0.00912593794362198,
"Netherlands","Whole",-2.9940828545236e-05,3.27492430347383,2010,"2018-07","2018-07","backtest","",-0.0175412423725646,0.627493704524006,2010,0.0290360370411693,
"New Zealand","Whole",-1.37695233582498e-06,4.64755806349678,2011,"2018-07","2018-07","backtest","",-2.53323945400733e-06,4.4696977156481,2011,0.0151837230488916,
"Norway","Whole",-2.65663227440821e-05,3.50402044535322,2004,"2018-07","2018-07","backtest","",-1.26160766588213e-06,4.94013483311416,2004,0.225113345160654,
"Poland","Whole",-7.56186959181132e-07,3.44832652663313,2010,"2018-07","2018-07","backtest","",-5.94087364293225e-06,2.87478423645319,2010,0.000756184509020201,
"Portugal","Whole",-9.11893413039197e-11,8.45946576790134,2009,"2018-07","2018-07","backtest","",-9.5054479378079e-08,5.63825808372798,2009,0.016560764496923,
"Singapore","Whole",-0.000623112927971057,1.36434278214057,2015,"2018-07","2018-07","backtest","",-0.000623112927971057,1.36434278214057,2015,0.00346413050324369,
"Spain","2-Wheelers",-0.00114415832382724,2.42703585086198,2014,"2018-07","2018-07","backtest","",-0.00114626000880798,2.42580328028689,2014,0.0274932051014008,
"Spain","Buses",-0.000247672193318944,2.75549702624897,2014,"2018-07","2018-07","backtest","",-0.00117224673575209,1.64514836493147,2014,0.0344827586206897,
"Spain","HDV",-1.88304725111682e-25,33.2449903792615,2014,"2018-07","2018-07","backtest","",-1.64095443064009e-05,2.020728340574,2014,0.0010136847440446,
"Spain","Whole",-0.000751083483282757,1.04371224964975,2014,"2018-07","2018-07","backtest","",-0.00094414402967204,1.39938736531626,2014,0.00291128249655243,
"Spain","NonRental",-0.000510603724312071,1.3189568025292,2014,"2018-07","2018-07","backtest","",-0.000891605637248814,1.40264960527269,2014,0.00207224089552535,
"Spain","Rental",-0.00166838311899693,0.319990762591653,2014,"2018-07","2018-07","backtest","",-0.000537775045054292,1.82394887122524,2014,0.00524919880649796,
"Spain","Used",-1.15221915632826e-05,3.67844181970426,2014,"2018-07","2018-07","backtest","",-7.72932619022533e-05,2.96153122838883,2014,0.00309684684684685,
"Spain","Vans",-0.00631367106673131,0.346309243025694,2014,"2018-07","2018-07","backtest","",-0.00628575350543802,0.351272090899564,2014,0.0112559241706161,
"Sweden","Whole",-7.9491398975738e-06,2.81273397169749,2005,"2018-07","2018-07","backtest","",-1.43830512260221e-06,4.12483221748021,2005,0.0386287867806929,
"Switzerland","Whole",-0.000398233412921892,1.69931196007983,2009,"2018-07","2018-07","backtest","",-0.000383438057974861,1.98102632644682,2009,0.00965365065605422,
"Türkiye","Whole",-1.53546743591307e-05,2.49462041859303,2015,"2018-07","2018-07","backtest","",-1.53546743591307e-05,2.49462041859303,2015,0.000104342382136584,
"UK","Whole",-0.00303817371528181,0.441462007811061,2014,"2018-07","2018-07","backtest","",-0.00777031919247098,0.689571161803118,2014,0.00537529439041355,
"USA","Whole",-0.000463854187980927,1.31576609515507,2010,"2018-07","2018-07","backtest","",-0.00108741359924336,1.18828861432726,2010,0.0112893664102647,
