"country","variant","v1","v2","t0","data_per","model_date","source","baseline_date","ice_v1","ice_v2","ice_t0","ttm_bev_share","obs_bev_share","obs_phev_share","obs_ice_share","refit_swing"
"Austria","Whole",-0.000627847616582249,1.49785332764441,2011,"2015-05","2015-05","backtest","",-0.000627847616582249,1.49785332764441,2011,0.00477707006369427,0.00477707006369427,0,0.995222929936306,
"Brazil","Whole",-1.86822931280573e-06,1.75610624432898,2011,"2015-05","2015-05","backtest","",-1.86822931280573e-06,1.75610624432898,2011,1.89956836270833e-05,1.89956836270833e-05,0,0.999981004316373,
"China","Whole",-3.50134649287973e-08,6.50353695237035,2009,"2015-05","2015-05","backtest","",-2.89907592467978e-08,6.86308188280378,2009,,0.00551784008138996,0.00304281901056106,0.991439340908049,
"Czechia","Whole",-5.41272703721272e-05,1.89461176977134,2010,"2015-05","2015-05","backtest","",-0.000622210716092807,1.16413764707184,2010,0.00120457064974829,0.00120457064974829,0.00276427368229089,0.996031155667961,
"France","Whole",-0.000821872136248887,1.35165388242336,2010,"2015-05","2015-05","backtest","",-0.00071079527460442,1.57699777455875,2010,,0.00855643830137561,0.00560565294174784,0.985837908756876,
"Germany","Whole",-0.000658631205403379,1.09787913622314,2011,"2015-05","2015-05","backtest","",-0.00272943259802256,0.689518282644867,2011,,0.00274543952536274,0.00401835183376865,0.993236208640869,
"Indonesia","Whole",-2.26897253396948e-06,-0.892679720944365,2009,"2015-05","2015-05","backtest","",-2.26897253396948e-06,-0.892679720944365,2009,0,0,0,1,
"Ireland","Buses",0,4.15,2009,"2015-05","2015-05","backtest","",0,4.15,2009,0,0,0,1,
"Ireland","HDV",-0.0045213693653766,-2.7472987545013,2009,"2015-05","2015-05","backtest","",-0.0045213693653766,-2.7472987545013,2009,0,0,0,1,
"Ireland","Vans",-0.00111673884121795,-0.16905228458717,2009,"2015-05","2015-05","backtest","",-0.00109341932880818,-0.114106347171715,2009,0.000780496763234011,0.000780496763234011,9.1823148615766e-05,0.99912768008815,
"Ireland","Whole",-2.21396110701288e-07,4.66705457091005,2007,"2015-05","2015-05","backtest","",-4.3380186355788e-08,5.52648484903596,2007,0.0036344342751028,0.0036344342751028,0.000804704425874342,0.995560861299023,
"Japan","Whole",-0.00338348713027321,0.287736557358329,2011,"2015-05","2015-05","backtest","",-0.00703129572438525,0.279472954148063,2011,0.00348319428407818,0.00348319428407818,0.00487647199790451,0.991640333718017,
"Luxembourg","HDV",-0.000294064079679636,-0.450126790494037,2009,"2015-05","2015-05","backtest","",-0.000294064079679636,-0.450126790494037,2009,0,0,0,1,
"Luxembourg","Vans",-0.00168153713979871,0.847555418171747,2009,"2015-05","2015-05","backtest","",-0.00168153713646114,0.84755535982757,2009,0.00646298472385429,0.00646298472385429,0,0.993537015276146,
"Luxembourg","Whole",-0.00013568511283151,2.03299837304864,2009,"2015-05","2015-05","backtest","",-0.000182418227960744,1.95623828044312,2009,0.00585098657592796,0.00585098657592796,0.000954416249974065,0.993194597174098,
"Netherlands","Whole",-0.00073733633626623,1.55151759414709,2010,"2015-05","2015-05","backtest","",-0.00216889002714907,2.44909676146688,2010,0.00818330605564648,0.00818330605564648,0.0892876514619111,0.902529042482442,
"New Zealand","Whole",-1.15330695835747e-05,3.01390023038614,2011,"2015-05","2015-05","backtest","",-3.79870063072637e-05,2.71505625005801,2011,0.000657521352140751,0.000657521352140751,0.000771722429091513,0.998570756218768,
"Norway","Whole",-1.28117186416352e-08,6.84594915417632,2004,"2015-05","2015-05","backtest","",-2.48456308412669e-09,7.60046468777961,2004,0.144275084679882,0.144275084679882,0.0221000610805708,0.833624854239547,
"Poland","Whole",-0.000100493636984994,0.620009039043219,2010,"2015-05","2015-05","backtest","",-3.438105282553e-05,1.71513668414936,2010,0.000160840783699016,0.000160840783699016,0.000344658822231873,0.999494500394069,
"Portugal","Whole",-0.000121490085726043,1.70195275606616,2009,"2015-05","2015-05","backtest","",-2.05967228761517e-06,4.29185704389953,2009,0.00251910888832772,0.00251910888832772,0.00160754870379837,0.995873342407874,
"Sweden","Whole",-1.51100961084442e-12,9.64640978066167,2005,"2015-05","2015-05","backtest","",-9.61341003304522e-09,6.26861875939563,2005,0.00606214520466089,0.00606214520466089,0.0110158350761876,0.982922019719151,
"Switzerland","Whole",-0.000122064384317432,2.40818477083934,2009,"2015-05","2015-05","backtest","",-7.19511807029067e-05,2.94824139190147,2009,0.00818235513154685,0.00818235513154685,0.00462885684570049,0.987188788022753,
"USA","Whole",-0.000437482065250675,1.42312422309326,2010,"2015-05","2015-05","backtest","",-0.00159648704745211,0.967324101320373,2010,0.00415275013552815,0.00415275013552815,0.00278329632393222,0.99306395354054,
