"country","variant","v1","v2","t0","data_per","model_date","source","baseline_date","ice_v1","ice_v2","ice_t0","ttm_bev_share","refit_swing"
"Austria","Whole",-0.000174849252028862,2.38914897541892,2011,"2020-05","2020-05","backtest","",-4.6290509982601e-05,3.14765093194525,2011,0.0363663351640196,
"Belgium","Whole",-0.00424036792650416,1.4813421769877,2017,"2020-05","2020-05","backtest","",-0.0142427362166225,1.14918881610502,2017,0.0228732887079956,
"Brazil","Whole",-1.20382259561737e-15,12.3001750026424,2011,"2020-05","2020-05","backtest","",-1.20382259561737e-15,12.3001750026424,2011,0.000669248114264035,
"Bulgaria","Whole",-0.002556580926006,1.05911478281598,2017,"2020-05","2020-05","backtest","",-0.00183027348695136,1.72326738054732,2017,0.0174867135294851,
"Chile","Whole",-1.88825731906787e-05,1.98107930411021,2014,"2020-05","2020-05","backtest","",-2.68276232575863e-05,1.96796816521584,2014,0,
"China","Whole",-1.15265757359247e-05,3.46633323428451,2009,"2020-05","2020-05","backtest","",-1.67978852989214e-05,3.41473128539035,2009,0.0376139817629179,
"Czechia","Whole",-1.11694155899744e-11,8.81384941946061,2010,"2020-05","2020-05","backtest","",-0.0012173769338708,0.850991278427963,2010,0.00590212924915951,
"Denmark","Industry",-0.003666493618223,1.85575254708868,2017,"2020-05","2020-05","backtest","",-0.00736864556636711,1.89133094711617,2017,0.0297805642633229,
"Denmark","Private",-0.00286894955810237,2.47537003005489,2017,"2020-05","2020-05","backtest","",-0.00911507674013082,1.92772381949544,2017,0.0334240186552662,
"Denmark","Vans",-0.00487665719152991,0.495425749128633,2017,"2020-05","2020-05","backtest","",-0.00505850451667879,0.678010280328252,2017,0.00553097345132743,
"Denmark","Whole",-1.11688302181594e-06,5.34987970273522,2013,"2020-05","2020-05","backtest","",-6.52761695766726e-06,4.76306427172485,2013,0.0322161600415692,
"Estonia","Whole",-0.000962499001764624,1.47804162738464,2017,"2020-05","2020-05","backtest","",-0.00149408497667381,1.22930296801123,2017,0.0137551581843191,
"Finland","Buses",-1.23231271369924e-05,4.63955692287519,2013,"2020-05","2020-05","backtest","",-1.23231256850055e-05,4.63955698041274,2013,0,
"Finland","HDV",-9.99985391029407e-263,299.999822668225,2013,"2020-05","2020-05","backtest","",-1.7196155726023e-06,3.00155876630502,2013,0.00389105058365759,
"Finland","Industry",-0.000458293077498276,1.87518613628096,2013,"2020-05","2020-05","backtest","",-0.000202790780547049,3.39445615195112,2013,0.0132085855806274,
"Finland","Private",-1.50020689658655e-08,7.47970057138107,2013,"2020-05","2020-05","backtest","",-1.35519071715059e-05,4.62686280206902,2013,0.0266990291262136,
"Finland","Vans",-0.00259050310124856,0.174070898763755,2013,"2020-05","2020-05","backtest","",-0.00245931673375276,0.27610966673165,2013,0.00219298245614035,
"Finland","Whole",-1.5627501539111e-06,4.99353832253458,2013,"2020-05","2020-05","backtest","",-4.53022936765641e-05,4.07226759208283,2013,0.021904948171328,
"France","Whole",-0.000131782723451596,2.30677369105043,2010,"2020-05","2020-05","backtest","",-9.34060456937947e-05,2.63170767989869,2010,0.0421632367409451,
"Germany","Whole",-2.95512223539727e-06,4.12201133499174,2011,"2020-05","2020-05","backtest","",-3.77983227512031e-06,4.45038371326055,2011,0.033173156980755,
"Greece","Whole",-8.70961706259713e-06,3.15239188624947,2014,"2020-05","2020-05","backtest","",-0.000180762176594697,1.91556476376805,2014,0.0041501976284585,
"Hungary","Whole",-0.00750888900414417,0.531169542767,2017,"2020-05","2020-05","backtest","",-0.0101138398047966,0.765177605859336,2017,0.0171803278688525,
"Iceland","Whole",-0.00831225258498212,3.01900483443348,2017,"2020-05","2020-05","backtest","",-0.141084585019812,0.895922581142189,2017,0.155957943934109,
"Indonesia","Whole",-6.73401662776547e-36,29.6551266111228,2009,"2020-05","2020-05","backtest","",-2.29828397331334e-38,32.1224820205971,2009,0,
"Ireland","Buses",-3.71818860449825e-41,36.8378983796386,2009,"2020-04","2020-05","backtest","",-3.71818860449825e-41,36.8378983796386,2009,0,
"Ireland","HDV",-1.11416141389383e-29,25.0363222552199,2009,"2020-05","2020-05","backtest","",-1.11416141278315e-29,25.0363222556358,2009,0,
"Ireland","Vans",-1.57399137619599e-09,6.57319302073546,2009,"2020-05","2020-05","backtest","",-1.15635402986017e-09,6.71999307974345,2009,0.008,
"Ireland","Whole",-5.24875056108252e-11,7.9163588171678,2007,"2020-05","2020-05","backtest","",-2.72272442303916e-11,8.34332322877031,2007,0.0844342331993107,
"Israel","Vans",0,4.15,2016,"2020-05","2020-05","backtest","",-4.33899073576484e-05,2.3217664741217,2016,0,
"Israel","Whole",-3.89573831082522e-06,5.42411910870223,2016,"2020-05","2020-05","backtest","",-0.00354477774321355,1.56231554716567,2016,0.00473064298127052,
"Italy","NonRental",-1.44055137930788e-07,6.16641571819103,2014,"2020-05","2020-05","backtest","",-0.0131385347952053,-0.462661214532941,2014,0.0130671550971739,
"Italy","Rental",-2.08015561953992e-06,5.06297792982387,2014,"2020-05","2020-05","backtest","",-0.0401191451705922,-0.651099360223563,2014,0.0391209476309227,
"Italy","Whole",-2.6727876373327e-07,5.95115102756599,2014,"2020-05","2020-05","backtest","",-0.0184406341427655,-0.508515346104772,2014,0.01805222819766,
"Japan","Whole",-0.00279880879429034,0.4475180080576,2011,"2020-05","2020-05","backtest","",-0.00615569270221084,0.412377548510416,2011,0.00305378046711531,
"Latvia","Whole",-0.000202510072176673,1.98150461383897,2014,"2020-05","2020-05","backtest","",-0.000273581210838186,1.96859006943873,2014,0.00943396226415094,
"Lithuania","Whole",-0.000558799096666292,1.69414009894372,2016,"2020-05","2020-05","backtest","",-0.000558799096666257,1.6941400989438,2016,0.011828486939379,
"Luxembourg","HDV",-3.21425225845e-08,5.87347101567107,2009,"2020-05","2020-05","backtest","",-3.22775793452638e-07,4.93578456870795,2009,0.0493827160493827,
"Luxembourg","Vans",-0.000194134552169831,1.80171278057006,2009,"2020-05","2020-05","backtest","",-0.000194134549849692,1.801712786232,2009,0.00719424460431655,
"Luxembourg","Whole",-1.04658510335865e-07,5.14649549621647,2009,"2020-05","2020-05","backtest","",-2.7940957984057e-07,5.06488345304185,2009,0.0361723117395594,
"Malaysia","Whole",-8.72678842650679e-06,2.243115115492,2017,"2020-05","2020-05","backtest","",-8.72678842650679e-06,2.243115115492,2017,4.09852862822247e-05,
"Netherlands","HDV",-0.00154102007821638,0.347717914220329,2017,"2020-05","2020-05","backtest","",-0.00180016506346495,0.304560594133381,2017,0.00529100529100529,
"Netherlands","Used",-0.00278451957494478,1.66120771054467,2017,"2020-05","2020-05","backtest","",-0.00869462891559717,0.945022378889394,2017,0.0122817912095494,
"Netherlands","Whole",-2.21728281081099e-09,7.93851680012738,2010,"2020-05","2020-05","backtest","",-0.00802840602722403,1.18340780982766,2010,0.0955176462462877,
"New Zealand","Whole",-3.40147952153495e-05,2.93038647753255,2011,"2020-05","2020-05","backtest","",-4.33415867294544e-05,2.94970519815677,2011,0.0115680522499585,
"Norway","Whole",-2.26480161722565e-06,4.50343035642388,2004,"2020-05","2020-05","backtest","",-2.66544375799296e-06,4.64045347793405,2004,0.401984821949796,
"Poland","Whole",-3.4720410679299e-09,6.05589742993385,2010,"2020-05","2020-05","backtest","",-6.33922021704275e-10,7.11535943644256,2010,0.00903115986571469,
"Portugal","Whole",-4.42963201745278e-09,6.74111008623542,2009,"2020-05","2020-05","backtest","",-6.46653964428788e-09,6.85614667439248,2009,0.0482494338965337,
"Romania","Whole",-0.000581018830031054,0.878683219610411,2009,"2020-05","2020-05","backtest","",-3.77862295099299e-08,5.3707430214229,2009,0.00655431452586364,
"Singapore","Whole",-0.00101604665214347,0.735082399665106,2015,"2020-05","2020-05","backtest","",-0.00101604665214347,0.735082399665106,2015,0.0383973288814691,
"Slovakia","Whole",-0.00203430008936243,0.522462425610768,2017,"2020-05","2020-05","backtest","",-1.69871048838899e-07,9.89378334816114,2017,0.0107648348734643,
"Slovenia","Whole",-0.000772830925693843,1.57080813246,2014,"2020-05","2020-05","backtest","",-0.00113061684112039,1.45553265375958,2014,0.0199407699901283,
"South Korea","Whole",-0.00707335056957831,0.75910336175253,2016,"2020-05","2020-05","backtest","",-0.00683551246768743,0.891119444411526,2016,0.0152389529441041,
"Spain","2-Wheelers",-0.000486389066940284,2.93818363581465,2014,"2020-05","2020-05","backtest","",-0.000485961075892891,2.93886276417092,2014,0.158263560247543,
"Spain","Buses",-0.000390088428672632,2.54363144679701,2014,"2020-05","2020-05","backtest","",-0.000577475031979767,2.35833726053822,2014,0,
"Spain","HDV",-9.33733801488391e-05,0.0778372588695772,2014,"2020-05","2020-05","backtest","",-9.02195194003021e-05,0.421340159237018,2014,0,
"Spain","Whole",-7.91128186438182e-05,2.77489989002786,2014,"2020-05","2020-05","backtest","",-0.000166884308522347,2.68064586483279,2014,0.0102974828375286,
"Spain","NonRental",-4.9302764614195e-05,3.05695833885373,2014,"2020-05","2020-05","backtest","",-0.000139729723431114,2.74817656899339,2014,0.0105242942193201,
"Spain","Rental",-7.60467228554606e-05,2.7296148826932,2014,"2020-05","2020-05","backtest","",-0.000137552623451678,2.823325687974,2014,0.0097442143727162,
"Spain","Used",-0.000120867739678127,2.16219675200489,2014,"2020-05","2020-05","backtest","",-0.000204947159107161,2.45657899394658,2014,0.00111172873818788,
"Spain","Vans",-0.0040832319240851,0.774498667468121,2014,"2020-05","2020-05","backtest","",-0.00404057647317879,0.783888728712992,2014,0.0108740254411161,
"Sweden","Whole",-3.94895086886213e-12,8.62974567888356,2005,"2020-05","2020-05","backtest","",-2.93573740361097e-09,6.59385078011028,2005,0.0497662583584828,
"Switzerland","Whole",-2.34147408120278e-06,4.16391194292225,2009,"2020-05","2020-05","backtest","",-1.79866658191277e-05,3.45793714811796,2009,0.050392017106201,
"Thailand","3-Wheelers",-0.141381377652199,1.17674795077829,2017,"2020-05","2020-05","backtest","",-0.1413813752362,1.17674798050138,2017,0.6,
"Thailand","Buses",-0.00628308559490484,-1.59385733377464,2017,"2020-05","2020-05","backtest","",-0.00628308558788308,-1.59385733194193,2017,0.00274725274725275,
